hidden_dim,target_layer_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,loss_Adam,loss_Muon,recovery_error_Adam,recovery_error_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_delta,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_muon_higher
16,0.001,0,0,4.001992561786238e-06,3.917293999400329e-06,2.302579040308706,2.302579040308706,0.8955078125,0.8955078125,0.6417928955552503,0.6295141622305712,3.986007075220354e-06,3.909747088165541e-06,0.9788359020967031,-8.469856238590978e-08,False,0.9808680753406348,-7.625998705481259e-08,False,0.9808680753406345,-0.012278733324679103,False
16,0.001,0,1,4.604241309102974e-06,4.259667622630303e-06,2.302465967843479,2.3024658980229793,0.8955078125,0.8955078125,0.6283265256289922,0.5811332869375261,4.58989338392302e-06,4.258990446174715e-06,0.9251616795602308,-3.4457368647267117e-07,False,0.927906182111472,-3.309029377483058e-07,False,0.9248905835318303,-0.04719323869146608,False
16,0.001,0,2,4.2281650487474565e-06,3.96472546126958e-06,2.3024306966502555,2.3024309921947927,0.8955078125,0.8955078125,0.6307077669736322,0.593211262799494,4.21517557092204e-06,3.957366945520743e-06,0.9376941097519557,-2.634395874778761e-07,False,0.9388379864459826,-2.5780862540129683e-07,False,0.9405485295447363,-0.03749650417413819,False
16,0.001,0,3,4.4244787509306605e-06,4.087040327060976e-06,2.3026019985235955,2.3026035085367176,0.8955078125,0.8955078125,0.6692027630537444,0.6182430548143055,4.425837442424109e-06,4.0861237353530916e-06,0.9237337451787497,-3.374384238696848e-07,False,0.9232430672182687,-3.397137070710171e-07,False,0.9238501227835693,-0.05095970823943885,False
16,0.001,0,4,4.611195695503056e-06,4.001076260529146e-06,2.3024544341413717,2.302456931217671,0.8955078125,0.8955078125,0.6923699946952646,0.5982353321038925,4.609985846630395e-06,4.00385015579284e-06,0.8676873689032732,-6.101194349739103e-07,False,0.8685168000503513,-6.061356908375552e-07,False,0.8640399449534147,-0.09413466259137215,False
16,0.001,0,5,4.8702925297128274e-06,4.3368655013864554e-06,2.302487846632323,2.3024907934848073,0.8955078125,0.8955078125,0.6281012412965442,0.5624879269284964,4.876379049680556e-06,4.336086757705543e-06,0.890473308313202,-5.33427028326372e-07,False,0.8892021546170806,-5.402922919750135e-07,False,0.8955370407601695,-0.06561331436804785,False
16,0.001,0,6,4.080379825577296e-06,3.874040463092143e-06,2.3024988575273184,2.3025016046812317,0.8955078125,0.8955078125,0.6894583470108019,0.6513123630317925,4.079404392081823e-06,3.8718707597374325e-06,0.9494313345067185,-2.0633936248515283e-07,False,0.949126487006972,-2.075336323443902e-07,False,0.9446725329464875,-0.03814598397900937,False
16,0.001,0,7,4.672819119644345e-06,4.227491688713059e-06,2.3025376811164815,2.3025418671090097,0.896484375,0.8955078125,0.6931205553995624,0.6266145723090193,4.6695066633947284e-06,4.227014379632102e-06,0.9046983374427768,-4.45327430931286e-07,False,0.905237894351577,-4.424922837626266e-07,False,0.9040484623166247,-0.06650598309054312,False
16,0.001,0,8,4.5737714318150324e-06,4.046922628120342e-06,2.3025170591775583,2.3025234559231773,0.896484375,0.8955078125,0.7140468440902334,0.630350003821272,4.5645604046288875e-06,4.0461353559108346e-06,0.8848108587084295,-5.268488036946906e-07,False,0.8864238825293402,-5.184250487180529e-07,False,0.882785224860703,-0.0836968402689614,False
16,0.001,0,9,3.4804516131359264e-06,3.431254294028463e-06,2.3024862976193425,2.302489602916012,0.896484375,0.8955078125,0.6636015527605711,0.657576118853867,3.4600034065905935e-06,3.436061165119636e-06,0.9858646737332066,-4.91973191074635e-08,False,0.9930802838444168,-2.3942241470957642e-08,False,0.9909201027610042,-0.00602543390670407,False
