run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,layer_update_fro_norm,layer_param_fro_norm,layer_relative_update_norm,target_layer_relative_update_norm,hidden_dim,base_setting
0,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Adam,0,0,1024,128,2.302579040308706,0.8955078125,full_layer_input_activation,"[[0.0001982412588763672,0.00011668957564412677,0.00010113762787521829,9.223556523090893e-05,7.595068914142612e-05,6.857339092288846e-05,6.81424791039941e-05,5.8420217625445225e-05,4.986802900187808e-05,4.6022970648530736e-05,4.0654993592023416e-05,3.660004408843031e-05,2.780268743514465e-05,2.3123101398058233e-05,2.019566730480049e-05,1.5314382895599587e-21]]",16.0,10.532238700917173,2.5316358400982737,0.6582649188073233,0.1582272400061421,0.24037015415134988,3.077483882019711e-06,0.6542576074158764,0.009756658910769208,1,5.991571827507349,1.4360291020399099,4.17231922319415,2.0819294579996547e-08,8.686474298946139e-08,0.0003154239489322359,0.31542394893223613,0.0009999999999999994,0.001,16,Small MLP per-layer hidden=16
0,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Adam,0,0,1024,128,2.302579040308706,0.8955078125,full_layer_input_activation,"[[6.553754028111674e-05,5.7823747878775265e-05,5.0902448932495136e-05,4.610180536055159e-05,3.1609883457444355e-05,3.0590761938047856e-05,2.3682040307777018e-05,2.043138851460149e-05,1.6478548161033025e-05,1.2583039419609674e-05]]",10.0,8.061483870173868,3.65487961892848,0.8061483870173868,0.365487961892848,0.4533755419955523,9.085231932006433e-07,0.6837094259671941,0.007251190960349451,2,6.023457957428746,1.7489273383916581,3.444087027061979,4.1504373097138485e-05,0.00014294467295019488,0.0001252929619656382,0.12529296196563786,0.0010000000000000026,0.001,16,Small MLP per-layer hidden=16
1,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Muon,0,0,1024,128,2.302579040308706,0.8955078125,full_layer_input_activation,"[[7.885598723306116e-05,7.885598723306113e-05,7.885598723306037e-05,7.885598723306032e-05,7.88559872330595e-05,7.885598723305932e-05,7.885598723305918e-05,7.885598723305898e-05,7.885598723305886e-05,7.885598723305854e-05,7.885598723305854e-05,7.885598723305831e-05,7.885598723305801e-05,7.885598723305762e-05,7.8855987233057e-05,7.885598723305666e-05]]",16.0,15.999999999999998,15.99999999999911,0.9999999999999999,0.9999999999999444,0.9999999999999445,2.878441447729012e-06,0.6119421861738324,0.009125627453061282,1,5.991571827507349,1.4360291020399099,4.17231922319415,2.0819294579996547e-08,8.686474298946139e-08,0.0003154239489322359,0.31542394893223613,0.0009999999999999994,0.001,16,Small MLP per-layer hidden=16
1,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Muon,0,0,1024,128,2.302579040308706,0.8955078125,full_layer_input_activation,"[[3.962111346002851e-05,3.9621113460027986e-05,3.962111346002717e-05,3.962111346002717e-05,3.962111346002679e-05,3.962111346002624e-05,3.962111346002614e-05,3.9621113460025594e-05,3.962111346002484e-05,3.9621113460024666e-05]]",10.0,10.0,9.999999999998993,1.0,0.9999999999998993,0.9999999999998993,1.031305640436529e-06,0.7761093967623849,0.008231153803510239,2,6.023457957428746,1.7489273383916581,3.444087027061979,4.1504373097138485e-05,0.00014294467295019488,0.00012529296196563849,0.12529296196563786,0.001000000000000005,0.001,16,Small MLP per-layer hidden=16
0,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Adam,0,1,1024,128,2.302465967843479,0.8955078125,full_layer_input_activation,"[[0.00020710369602871628,0.0001258349840643937,9.932089537100769e-05,8.829759010780339e-05,7.840377165606846e-05,6.821195755154634e-05,6.118397655046193e-05,5.026004743151034e-05,4.2521029683393874e-05,3.436497196745437e-05,3.1613969802424826e-05,2.7629918111290355e-05,2.48345531941696e-05,1.963512850416244e-05,1.6843147735153945e-05,7.707106923256269e-23]]",16.0,9.57528968330672,2.319664026928086,0.59845560520667,0.14497900168300537,0.24225523233747387,3.504344863433233e-06,0.6365575395512847,0.011109805232890586,1,5.108697659655658,1.4360291020399099,3.557516802687804,2.8516674956398726e-08,1.0144855031417498e-07,0.0003154281096718616,0.3154281096718619,0.000999999999999999,0.001,16,Small MLP per-layer hidden=16
0,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Adam,0,1,1024,128,2.302465967843479,0.8955078125,full_layer_input_activation,"[[7.349646879422165e-05,5.7694160424639874e-05,4.7744190559760485e-05,4.2235883968005156e-05,3.0966333510533116e-05,2.8071804365506703e-05,2.239705978911187e-05,2.0304156941530834e-05,1.2614521990709708e-05,9.104366961920033e-06]]",10.0,7.566565856019973,2.905840306920866,0.7566565856019973,0.2905840306920866,0.38403687514448503,1.085548520489787e-06,0.6879171110434682,0.008664567601924413,2,5.215345356695185,1.7481051460001684,2.983427723800478,5.847846194798753e-05,0.0001744662646208373,0.00012528594274556588,0.12528594274556604,0.0009999999999999987,0.001,16,Small MLP per-layer hidden=16
1,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Muon,0,1,1024,128,2.3024658980229793,0.8955078125,full_layer_input_activation,"[[7.884871214010737e-05,7.884871214010637e-05,7.884871214010629e-05,7.88487121401058e-05,7.884871214010532e-05,7.88487121401051e-05,7.884871214010509e-05,7.884871214010509e-05,7.884871214010473e-05,7.884871214010451e-05,7.88487121401044e-05,7.884871214010397e-05,7.88487121401039e-05,7.884871214010389e-05,7.88487121401037e-05,7.884871214010265e-05]]",16.0,15.999999999999998,15.999999999998991,0.9999999999999999,0.9999999999999369,0.999999999999937,3.118923519037438e-06,0.5638093021261195,0.00988894883119802,1,5.086094866623065,1.4360291020399099,3.5417770151023813,2.880030673179805e-08,1.0200426441058073e-07,0.0003153948485604196,0.3153948485604194,0.0010000000000000007,0.001,16,Small MLP per-layer hidden=16
1,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Muon,0,1,1024,128,2.3024658980229793,0.8955078125,full_layer_input_activation,"[[3.962393069616877e-05,3.962393069616774e-05,3.962393069616753e-05,3.962393069616728e-05,3.962393069616667e-05,3.962393069616666e-05,3.962393069616655e-05,3.962393069616629e-05,3.962393069616569e-05,3.9623930696165524e-05]]",10.0,9.999999999999996,9.99999999999904,0.9999999999999997,0.9999999999999041,0.9999999999999044,1.1400669271372766e-06,0.7222261506123249,0.009098562690378875,2,5.21610612628301,1.7488092404124924,2.9826615766581175,5.853980645690604e-05,0.00017460443142401644,0.0001253018708485486,0.12530187084854938,0.0009999999999999937,0.001,16,Small MLP per-layer hidden=16
0,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Adam,0,2,1024,128,2.3024306966502555,0.8955078125,full_layer_input_activation,"[[0.00021395666536009334,0.00011866775022900198,0.00010000385694844014,9.016963814898129e-05,8.682506846275953e-05,6.152256738951077e-05,5.698701345597088e-05,4.617601398792355e-05,3.738375360946553e-05,3.1198077109338915e-05,2.7972324577630482e-05,2.374005247055307e-05,2.20833893688485e-05,2.0077570341487513e-05,1.4164763196389218e-05,4.418489892246115e-22]]",16.0,9.087860594608175,2.1736140573909437,0.567991287163011,0.13585087858693398,0.23917775088677617,3.276970541809655e-06,0.630843022758239,0.010388563523368451,1,4.903329382820464,1.4360291020399099,3.414505580600825,2.5388071858587646e-08,8.66877130418423e-08,0.0003154401986798566,0.3154401986798573,0.0009999999999999979,0.001,16,Small MLP per-layer hidden=16
0,SmallMLPDigits,Small MLP per-layer hidden=16 target=1e-03,1.0,0.01,Adam,0,2,1024,128,2.3024306966502555,0.8955078125,full_layer_input_activation,"[[6.828235039282257e-05,5.84238222550832e-05,4.793810899498006e-05,4.375263629093573e-05,3.450869079292422e-05,2.8241136709276816e-05,2.5632911192711075e-05,2.1904883170099904e-05,1.4003069848254711e-05,9.305517104088885e-06]]",10.0,7.893608021420121,3.366478818461145,0.7893608021420121,0.3366478818461145,0.4264816303679961,9.382050291123851e-07,0.6936825452316634,0.007488612381197097,2,6.419923097398949,1.746949634542546,3.67493313513876,4.279839628234249e-05,0.0001572812446287799,0.00012528422908736635,0.1252842290873664,0.0009999999999999996,0.001,16,Small MLP per-layer hidden=16
