group_type,hidden_dim,num_factors,target_relative_update_norm,metric,n_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
target_arch,64,3,0.0001,delta_loss,15,0.26666666666666666,0.8458637387918326,0.7632073297105041,0.9374719512642679,False,True
target_arch,64,3,0.0001,update_grad_inner,15,0.13333333333333333,0.8583360436278101,0.7925301263301309,0.9296060040041308,False,True
target_arch,64,3,0.0001,update_grad_cosine,15,0.8,1.0355613526718614,0.9982736939474761,1.0742417852433153,False,False
target_arch,64,3,0.0003,delta_loss,15,0.26666666666666666,0.8458637387918326,0.7632073297105041,0.9374719512642679,False,True
target_arch,64,3,0.0003,update_grad_inner,15,0.13333333333333333,0.8583360436278101,0.7925301263301309,0.9296060040041308,False,True
target_arch,64,3,0.0003,update_grad_cosine,15,0.8,1.0355613526718614,0.9982736939474761,1.0742417852433153,False,False
target_arch,64,3,0.001,delta_loss,15,0.26666666666666666,0.8458637387918326,0.7632073297105041,0.9374719512642679,False,True
target_arch,64,3,0.001,update_grad_inner,15,0.13333333333333333,0.8583360436278101,0.7925301263301309,0.9296060040041308,False,True
target_arch,64,3,0.001,update_grad_cosine,15,0.8,1.0355613526718614,0.9982736939474761,1.0742417852433153,False,False
target_arch,64,4,0.0001,delta_loss,15,0.06666666666666667,0.5963795672572608,0.48884885962931013,0.7275635019618502,False,True
target_arch,64,4,0.0001,update_grad_inner,15,0.0,0.634251214988896,0.5403798492378227,0.7444293200093934,False,True
target_arch,64,4,0.0001,update_grad_cosine,15,0.2,0.9313573790708366,0.8962494333632333,0.9678405756917743,False,True
target_arch,64,4,0.0003,delta_loss,15,0.06666666666666667,0.5963795672572608,0.48884885962931013,0.7275635019618502,False,True
target_arch,64,4,0.0003,update_grad_inner,15,0.0,0.634251214988896,0.5403798492378227,0.7444293200093934,False,True
target_arch,64,4,0.0003,update_grad_cosine,15,0.2,0.9313573790708366,0.8962494333632333,0.9678405756917743,False,True
target_arch,64,4,0.001,delta_loss,15,0.06666666666666667,0.5963795672572608,0.48884885962931013,0.7275635019618502,False,True
target_arch,64,4,0.001,update_grad_inner,15,0.0,0.634251214988896,0.5403798492378227,0.7444293200093934,False,True
target_arch,64,4,0.001,update_grad_cosine,15,0.2,0.9313573790708366,0.8962494333632333,0.9678405756917743,False,True
target_arch,128,3,0.0001,delta_loss,15,0.0,0.5473314880744319,0.45814572800363035,0.6538787541316944,False,True
target_arch,128,3,0.0001,update_grad_inner,15,0.0,0.5767141525951294,0.4993713839151281,0.6660357892274539,False,True
target_arch,128,3,0.0001,update_grad_cosine,15,0.0,0.7777880958796332,0.75403389582477,0.8022906204108506,False,True
target_arch,128,3,0.0003,delta_loss,15,0.0,0.5473314880744319,0.45814572800363035,0.6538787541316944,False,True
target_arch,128,3,0.0003,update_grad_inner,15,0.0,0.5767141525951294,0.4993713839151281,0.6660357892274539,False,True
target_arch,128,3,0.0003,update_grad_cosine,15,0.0,0.7777880958796332,0.75403389582477,0.8022906204108506,False,True
