hidden_dim,num_factors,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,recovery_error_Adam,recovery_error_Muon,relative_update_fro_norm_Adam,relative_update_fro_norm_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_muon_higher
64,3,0.0001,0,0,0.00040392795509980317,0.00039544933646995517,0.859375,0.859375,0.05022317701728696,0.05022317701728694,0.4713416810686498,0.42177461591688686,0.00046471696348382506,0.0004158465645114555,0.9790095770228305,False,0.8948383579415633,False,0.8948383579415637,False
64,3,0.0001,0,1,0.0004641625767196622,0.00046317461469103094,0.8515625,0.7646484375,0.0501636138229288,0.05016361382292885,0.41375754314757296,0.4353249715013381,0.00044174223393798537,0.00045763599070665036,0.9978715172696312,False,1.035979708408176,True,1.0521257647406148,True
64,3,0.0001,0,2,0.000681210231355589,0.0005739214403441828,0.87890625,0.6708984375,0.050056097584389156,0.050056097584389225,0.42792073656694074,0.43124601246431693,0.0006122414001287756,0.0005369851899935655,0.842502672342568,False,0.8770808211934359,False,1.0077707753170686,True
64,3,0.0001,0,3,0.0009347943415742854,0.0006771967285499336,0.857421875,0.5498046875,0.04991080811974144,0.049910808119741336,0.42149544504606035,0.42684327344288897,0.000811134219151487,0.000623354952647902,0.7244339192398918,False,0.76849791061704,False,1.0126877489654584,True
64,3,0.0001,0,4,0.001148818862693357,0.000770641375540837,0.84375,0.537109375,0.04971565342299445,0.049715653422994346,0.40723799504541164,0.43848333544345786,0.0010151640926505117,0.0007196834326205503,0.6708119100117323,False,0.7089331053283365,False,1.0767250128381611,True
64,3,0.0001,1,0,0.0002782115688906295,0.00029093298620797015,0.900390625,0.900390625,0.05039347137262234,0.05039347137262237,0.5145700137800667,0.49909699477544506,0.000328843960597051,0.00031895568744546416,1.0457256949021474,True,0.969930196882334,False,0.9699301968823333,False
64,3,0.0001,1,1,0.0003334168964728157,0.00033617701902155517,0.7734375,0.7744140625,0.050345668828720797,0.0503456688287209,0.47033396862532173,0.49259104045116453,0.0003308889826678212,0.0003348280490363023,1.0082782923659195,True,1.0119044953891243,True,1.047321846412444,True
64,3,0.0001,1,2,0.0004508011343848928,0.00040032562803338223,0.689453125,0.6787109375,0.05024980098657846,0.05024980098657844,0.4309883891253553,0.48001528431727347,0.0004014354358893486,0.00037361608197525634,0.8880315453944384,False,0.930700303393843,False,1.113754561442857,True
64,3,0.0001,1,3,0.0006667177508865585,0.0005147145655075569,0.6943359375,0.6259765625,0.05007182661507285,0.050071826615072854,0.42778117625729734,0.47947776598915093,0.000565589318547445,0.00047819408935056024,0.7720126917621775,False,0.8454793498905983,False,1.1208482107234183,True
64,3,0.0001,1,4,0.0011630823168227167,0.00070331003856694,0.6494140625,0.509765625,0.04990235429775566,0.04990235429775555,0.3938614136783369,0.4022270478147989,0.0009998158034785006,0.0006561168434316056,0.6046949802213718,False,0.6562377201369315,False,1.0212400449648875,True
64,3,0.0001,2,0,0.0002852086608187143,0.00030604626088193143,0.900390625,0.900390625,0.04973859498055438,0.04973859498055437,0.5300146906763876,0.5004085239219431,0.0003590411231899809,0.0003389853935057712,1.0730608951474374,True,0.9441408563286008,False,0.9441408563286009,False
64,3,0.0001,2,1,0.0003691223431738777,0.0003741412718945014,0.837890625,0.8056640625,0.04968217300183851,0.049682173001838636,0.44213862369314827,0.48651859937760605,0.00037306353012461313,0.00037044436907202776,1.0135969247417231,True,0.992979316279695,False,1.1003757041485211,True
64,3,0.0001,2,2,0.0005415140768096904,0.00046631904500049615,0.6982421875,0.58203125,0.04959521938524455,0.04959521938524461,0.4040528204986116,0.4586685068506017,0.0004823523199843679,0.000432243176257695,0.8611392851461905,False,0.8961150560480421,False,1.1351696698579976,True
64,3,0.0001,2,3,0.000812142259142945,0.0005763273499086452,0.634765625,0.4453125,0.04947301107042026,0.04947301107042018,0.41136548998701217,0.42970444171399536,0.0007155893101137976,0.000532423232395141,0.709638420388128,False,0.7440346367254587,False,1.0445806762438001,True
64,3,0.0001,2,4,0.0009927093213670801,0.0006935986683398454,0.7353515625,0.4619140625,0.04929859799119183,0.04929859799119182,0.4279345107362427,0.4379203515299145,0.0008977741637432274,0.0006469280345766525,0.6986926116344678,False,0.7205910580889477,False,1.0233349742615794,True
64,3,0.0003,0,0,0.00040392795509980317,0.00039544933646995517,0.859375,0.859375,0.05022317701728696,0.05022317701728694,0.4713416810686498,0.42177461591688686,0.00046471696348382506,0.0004158465645114555,0.9790095770228305,False,0.8948383579415633,False,0.8948383579415637,False
64,3,0.0003,0,1,0.0004641625767196622,0.00046317461469103094,0.8515625,0.7646484375,0.0501636138229288,0.05016361382292885,0.41375754314757296,0.4353249715013381,0.00044174223393798537,0.00045763599070665036,0.9978715172696312,False,1.035979708408176,True,1.0521257647406148,True
64,3,0.0003,0,2,0.000681210231355589,0.0005739214403441828,0.87890625,0.6708984375,0.050056097584389156,0.050056097584389225,0.42792073656694074,0.43124601246431693,0.0006122414001287756,0.0005369851899935655,0.842502672342568,False,0.8770808211934359,False,1.0077707753170686,True
64,3,0.0003,0,3,0.0009347943415742854,0.0006771967285499336,0.857421875,0.5498046875,0.04991080811974144,0.049910808119741336,0.42149544504606035,0.42684327344288897,0.000811134219151487,0.000623354952647902,0.7244339192398918,False,0.76849791061704,False,1.0126877489654584,True
64,3,0.0003,0,4,0.001148818862693357,0.000770641375540837,0.84375,0.537109375,0.04971565342299445,0.049715653422994346,0.40723799504541164,0.43848333544345786,0.0010151640926505117,0.0007196834326205503,0.6708119100117323,False,0.7089331053283365,False,1.0767250128381611,True
64,3,0.0003,1,0,0.0002782115688906295,0.00029093298620797015,0.900390625,0.900390625,0.05039347137262234,0.05039347137262237,0.5145700137800667,0.49909699477544506,0.000328843960597051,0.00031895568744546416,1.0457256949021474,True,0.969930196882334,False,0.9699301968823333,False
64,3,0.0003,1,1,0.0003334168964728157,0.00033617701902155517,0.7734375,0.7744140625,0.050345668828720797,0.0503456688287209,0.47033396862532173,0.49259104045116453,0.0003308889826678212,0.0003348280490363023,1.0082782923659195,True,1.0119044953891243,True,1.047321846412444,True
64,3,0.0003,1,2,0.0004508011343848928,0.00040032562803338223,0.689453125,0.6787109375,0.05024980098657846,0.05024980098657844,0.4309883891253553,0.48001528431727347,0.0004014354358893486,0.00037361608197525634,0.8880315453944384,False,0.930700303393843,False,1.113754561442857,True
64,3,0.0003,1,3,0.0006667177508865585,0.0005147145655075569,0.6943359375,0.6259765625,0.05007182661507285,0.050071826615072854,0.42778117625729734,0.47947776598915093,0.000565589318547445,0.00047819408935056024,0.7720126917621775,False,0.8454793498905983,False,1.1208482107234183,True
64,3,0.0003,1,4,0.0011630823168227167,0.00070331003856694,0.6494140625,0.509765625,0.04990235429775566,0.04990235429775555,0.3938614136783369,0.4022270478147989,0.0009998158034785006,0.0006561168434316056,0.6046949802213718,False,0.6562377201369315,False,1.0212400449648875,True
64,3,0.0003,2,0,0.0002852086608187143,0.00030604626088193143,0.900390625,0.900390625,0.04973859498055438,0.04973859498055437,0.5300146906763876,0.5004085239219431,0.0003590411231899809,0.0003389853935057712,1.0730608951474374,True,0.9441408563286008,False,0.9441408563286009,False
64,3,0.0003,2,1,0.0003691223431738777,0.0003741412718945014,0.837890625,0.8056640625,0.04968217300183851,0.049682173001838636,0.44213862369314827,0.48651859937760605,0.00037306353012461313,0.00037044436907202776,1.0135969247417231,True,0.992979316279695,False,1.1003757041485211,True
64,3,0.0003,2,2,0.0005415140768096904,0.00046631904500049615,0.6982421875,0.58203125,0.04959521938524455,0.04959521938524461,0.4040528204986116,0.4586685068506017,0.0004823523199843679,0.000432243176257695,0.8611392851461905,False,0.8961150560480421,False,1.1351696698579976,True
64,3,0.0003,2,3,0.000812142259142945,0.0005763273499086452,0.634765625,0.4453125,0.04947301107042026,0.04947301107042018,0.41136548998701217,0.42970444171399536,0.0007155893101137976,0.000532423232395141,0.709638420388128,False,0.7440346367254587,False,1.0445806762438001,True
64,3,0.0003,2,4,0.0009927093213670801,0.0006935986683398454,0.7353515625,0.4619140625,0.04929859799119183,0.04929859799119182,0.4279345107362427,0.4379203515299145,0.0008977741637432274,0.0006469280345766525,0.6986926116344678,False,0.7205910580889477,False,1.0233349742615794,True
64,3,0.001,0,0,0.00040392795509980317,0.00039544933646995517,0.859375,0.859375,0.05022317701728696,0.05022317701728694,0.4713416810686498,0.42177461591688686,0.00046471696348382506,0.0004158465645114555,0.9790095770228305,False,0.8948383579415633,False,0.8948383579415637,False
64,3,0.001,0,1,0.0004641625767196622,0.00046317461469103094,0.8515625,0.7646484375,0.0501636138229288,0.05016361382292885,0.41375754314757296,0.4353249715013381,0.00044174223393798537,0.00045763599070665036,0.9978715172696312,False,1.035979708408176,True,1.0521257647406148,True
64,3,0.001,0,2,0.000681210231355589,0.0005739214403441828,0.87890625,0.6708984375,0.050056097584389156,0.050056097584389225,0.42792073656694074,0.43124601246431693,0.0006122414001287756,0.0005369851899935655,0.842502672342568,False,0.8770808211934359,False,1.0077707753170686,True
64,3,0.001,0,3,0.0009347943415742854,0.0006771967285499336,0.857421875,0.5498046875,0.04991080811974144,0.049910808119741336,0.42149544504606035,0.42684327344288897,0.000811134219151487,0.000623354952647902,0.7244339192398918,False,0.76849791061704,False,1.0126877489654584,True
64,3,0.001,0,4,0.001148818862693357,0.000770641375540837,0.84375,0.537109375,0.04971565342299445,0.049715653422994346,0.40723799504541164,0.43848333544345786,0.0010151640926505117,0.0007196834326205503,0.6708119100117323,False,0.7089331053283365,False,1.0767250128381611,True
64,3,0.001,1,0,0.0002782115688906295,0.00029093298620797015,0.900390625,0.900390625,0.05039347137262234,0.05039347137262237,0.5145700137800667,0.49909699477544506,0.000328843960597051,0.00031895568744546416,1.0457256949021474,True,0.969930196882334,False,0.9699301968823333,False
64,3,0.001,1,1,0.0003334168964728157,0.00033617701902155517,0.7734375,0.7744140625,0.050345668828720797,0.0503456688287209,0.47033396862532173,0.49259104045116453,0.0003308889826678212,0.0003348280490363023,1.0082782923659195,True,1.0119044953891243,True,1.047321846412444,True
64,3,0.001,1,2,0.0004508011343848928,0.00040032562803338223,0.689453125,0.6787109375,0.05024980098657846,0.05024980098657844,0.4309883891253553,0.48001528431727347,0.0004014354358893486,0.00037361608197525634,0.8880315453944384,False,0.930700303393843,False,1.113754561442857,True
64,3,0.001,1,3,0.0006667177508865585,0.0005147145655075569,0.6943359375,0.6259765625,0.05007182661507285,0.050071826615072854,0.42778117625729734,0.47947776598915093,0.000565589318547445,0.00047819408935056024,0.7720126917621775,False,0.8454793498905983,False,1.1208482107234183,True
64,3,0.001,1,4,0.0011630823168227167,0.00070331003856694,0.6494140625,0.509765625,0.04990235429775566,0.04990235429775555,0.3938614136783369,0.4022270478147989,0.0009998158034785006,0.0006561168434316056,0.6046949802213718,False,0.6562377201369315,False,1.0212400449648875,True
64,3,0.001,2,0,0.0002852086608187143,0.00030604626088193143,0.900390625,0.900390625,0.04973859498055438,0.04973859498055437,0.5300146906763876,0.5004085239219431,0.0003590411231899809,0.0003389853935057712,1.0730608951474374,True,0.9441408563286008,False,0.9441408563286009,False
64,3,0.001,2,1,0.0003691223431738777,0.0003741412718945014,0.837890625,0.8056640625,0.04968217300183851,0.049682173001838636,0.44213862369314827,0.48651859937760605,0.00037306353012461313,0.00037044436907202776,1.0135969247417231,True,0.992979316279695,False,1.1003757041485211,True
64,3,0.001,2,2,0.0005415140768096904,0.00046631904500049615,0.6982421875,0.58203125,0.04959521938524455,0.04959521938524461,0.4040528204986116,0.4586685068506017,0.0004823523199843679,0.000432243176257695,0.8611392851461905,False,0.8961150560480421,False,1.1351696698579976,True
64,3,0.001,2,3,0.000812142259142945,0.0005763273499086452,0.634765625,0.4453125,0.04947301107042026,0.04947301107042018,0.41136548998701217,0.42970444171399536,0.0007155893101137976,0.000532423232395141,0.709638420388128,False,0.7440346367254587,False,1.0445806762438001,True
64,3,0.001,2,4,0.0009927093213670801,0.0006935986683398454,0.7353515625,0.4619140625,0.04929859799119183,0.04929859799119182,0.4279345107362427,0.4379203515299145,0.0008977741637432274,0.0006469280345766525,0.6986926116344678,False,0.7205910580889477,False,1.0233349742615794,True
64,4,0.0001,0,0,2.8796459230484572e-05,2.6249768593888945e-05,0.8818359375,0.8818359375,0.058616998523306395,0.05861699852330651,0.48607729525908794,0.3866361922933864,3.804714725899996e-05,3.0263508062034905e-05,0.9115623689630687,False,0.7954212140011666,False,0.795421214001165,False
64,4,0.0001,0,1,4.485633610773476e-05,3.673025965467147e-05,0.8193359375,0.6748046875,0.05849966994407641,0.05849966994407638,0.43335275746715884,0.38226617434551,4.31500037599043e-05,3.482444355923984e-05,0.8188421712922274,False,0.8070554003427293,False,0.8821131693721359,False
64,4,0.0001,0,2,9.123915914432956e-05,5.451187907867805e-05,0.771484375,0.61328125,0.058328925773103245,0.058328925773103286,0.42317430523971855,0.39124342832657993,6.779835379343041e-05,4.727959329393037e-05,0.5974614364041508,False,0.6973560661661922,False,0.9245443862782489,False
64,4,0.0001,0,3,0.00014166373435386959,6.829787405182586e-05,0.7236328125,0.525390625,0.05808792833168803,0.05808792833168795,0.4200980517473713,0.3951748712125946,0.00011066665079885936,6.130289465871811e-05,0.4821126194599732,False,0.553941898631579,False,0.9406729442540609,False
64,4,0.0001,0,4,0.00022799051824673455,9.056349123248708e-05,0.783203125,0.4541015625,0.057809607001102485,0.05780960700110246,0.39817273330752845,0.38782130337369974,0.00018527426820474024,8.224891456567378e-05,0.39722481412353294,False,0.44393058659815254,False,0.974002665004603,False
64,4,0.0001,1,0,2.1126109929880954e-05,1.9988061233267018e-05,0.892578125,0.892578125,0.058817259479531175,0.058817259479531085,0.573381410720389,0.49461729690727346,2.694886713908735e-05,2.3246961917202295e-05,0.9461307026995883,False,0.8626322508185988,False,0.8626322508186004,False
64,4,0.0001,1,1,3.566008739630533e-05,2.7406926287110167e-05,0.8203125,0.7802734375,0.05873343988748632,0.05873343988748635,0.503204575573706,0.4757610463675547,3.0273311711539623e-05,2.616063634866397e-05,0.7685602669036011,False,0.86414848160441,False,0.9454624807915094,False
64,4,0.0001,1,2,6.285694888896742e-05,3.718595345247877e-05,0.7255859375,0.6318359375,0.0585291296860728,0.05852912968607275,0.4785183890217151,0.4615588488811429,5.070199840790577e-05,3.3606812908202364e-05,0.5915965395992296,False,0.6628301440473829,False,0.9645582269570782,False
64,4,0.0001,1,3,0.00012874634800663642,5.5800113339721236e-05,0.625,0.462890625,0.05828158059137937,0.05828158059137934,0.4322240235259808,0.39435390337145554,0.0001015702439264961,5.0383482624614164e-05,0.4334112322692441,False,0.49604569878827365,False,0.9123831205734706,False
64,4,0.0001,1,4,0.000223779273049729,8.07220137510889e-05,0.6767578125,0.5205078125,0.05803507041146416,0.05803507041146436,0.41324612638488023,0.3886367283124782,0.0001769547728349483,7.025679212889186e-05,0.3607215835988106,False,0.39703247899632943,False,0.9404485692638245,False
64,4,0.0001,2,0,1.7420989344429927e-05,1.84057826779771e-05,0.884765625,0.884765625,0.05814417243328687,0.05814417243328691,0.5576715428650222,0.4806843302560309,2.6378655844902916e-05,2.2737051370273164e-05,1.0565291278283253,True,0.8619488234714806,False,0.86194882347148,False
64,4,0.0001,2,1,3.4715385770045515e-05,2.5930092781845104e-05,0.75390625,0.66796875,0.05808025374287647,0.058080253742876405,0.43618037209158383,0.4411869082338431,2.8638752960819894e-05,2.5040577288288395e-05,0.7469337357679349,False,0.8743599039576168,False,1.011478132585957,True
64,4,0.0001,2,2,6.606407468989772e-05,3.718702920529893e-05,0.7373046875,0.595703125,0.05792640500389863,0.05792640500389857,0.42247372829158125,0.42631974852500076,5.28400821759426e-05,3.3780401876327116e-05,0.5628933634483407,False,0.6392950291759177,False,1.0091035725439597,True
