dataset,model,seeds,geomean_tail_output_drift_sq_ratio_spectral_over_fro,tail_output_drift_sq_ratio_ci95_low,tail_output_drift_sq_ratio_ci95_high,geomean_centered_tail_output_drift_sq_ratio_spectral_over_fro,centered_tail_output_drift_sq_ratio_ci95_low,centered_tail_output_drift_sq_ratio_ci95_high,geomean_true_logit_delta_sq_ratio_spectral_over_fro,true_logit_delta_sq_ratio_ci95_low,true_logit_delta_sq_ratio_ci95_high,geomean_competitor_logit_delta_sq_ratio_spectral_over_fro,competitor_logit_delta_sq_ratio_ci95_low,competitor_logit_delta_sq_ratio_ci95_high,geomean_margin_delta_sq_ratio_spectral_over_fro,margin_delta_sq_ratio_ci95_low,margin_delta_sq_ratio_ci95_high,spectral_less_tail_output_drift_fraction,mean_tail_loss_increase_diff_spectral_minus_fro,tail_loss_increase_diff_ci95_low,tail_loss_increase_diff_ci95_high,mean_tail_loss_increase_frobenius,tail_loss_increase_frobenius_ci95_low,tail_loss_increase_frobenius_ci95_high,mean_tail_loss_increase_spectral,tail_loss_increase_spectral_ci95_low,tail_loss_increase_spectral_ci95_high,mean_tail_margin_drop_diff_spectral_minus_fro,tail_margin_drop_diff_ci95_low,tail_margin_drop_diff_ci95_high,mean_tail_margin_drop_frobenius,tail_margin_drop_frobenius_ci95_low,tail_margin_drop_frobenius_ci95_high,mean_tail_margin_drop_spectral,tail_margin_drop_spectral_ci95_low,tail_margin_drop_spectral_ci95_high,mean_tail_accuracy_drop_diff_spectral_minus_fro,tail_accuracy_drop_diff_ci95_low,tail_accuracy_drop_diff_ci95_high,mean_tail_accuracy_drop_frobenius,tail_accuracy_drop_frobenius_ci95_low,tail_accuracy_drop_frobenius_ci95_high,mean_tail_accuracy_drop_spectral,tail_accuracy_drop_spectral_ci95_low,tail_accuracy_drop_spectral_ci95_high,mean_tail_loss_before,tail_loss_before_ci95_low,tail_loss_before_ci95_high,mean_tail_loss_after_frobenius,tail_loss_after_frobenius_ci95_low,tail_loss_after_frobenius_ci95_high,mean_tail_loss_after_spectral,tail_loss_after_spectral_ci95_low,tail_loss_after_spectral_ci95_high,mean_tail_margin_before,tail_margin_before_ci95_low,tail_margin_before_ci95_high,mean_tail_margin_after_frobenius,tail_margin_after_frobenius_ci95_low,tail_margin_after_frobenius_ci95_high,mean_tail_margin_after_spectral,tail_margin_after_spectral_ci95_low,tail_margin_after_spectral_ci95_high,mean_tail_accuracy_before,tail_accuracy_before_ci95_low,tail_accuracy_before_ci95_high,mean_tail_accuracy_after_frobenius,tail_accuracy_after_frobenius_ci95_low,tail_accuracy_after_frobenius_ci95_high,mean_tail_accuracy_after_spectral,tail_accuracy_after_spectral_ci95_low,tail_accuracy_after_spectral_ci95_high,mean_tail_positive_margin_fraction_before,tail_positive_margin_fraction_ci95_low,tail_positive_margin_fraction_ci95_high,mean_tail_margin_certified_preserved_fraction_frobenius,tail_margin_certified_preserved_fraction_frobenius_ci95_low,tail_margin_certified_preserved_fraction_frobenius_ci95_high,mean_tail_margin_certified_preserved_fraction_spectral,tail_margin_certified_preserved_fraction_spectral_ci95_low,tail_margin_certified_preserved_fraction_spectral_ci95_high,mean_tail_prediction_changed_fraction_frobenius,tail_prediction_changed_fraction_frobenius_ci95_low,tail_prediction_changed_fraction_frobenius_ci95_high,mean_tail_prediction_changed_fraction_spectral,tail_prediction_changed_fraction_spectral_ci95_low,tail_prediction_changed_fraction_spectral_ci95_high,mean_tail_positive_margin_prediction_changed_fraction_frobenius,tail_positive_margin_prediction_changed_fraction_frobenius_ci95_low,tail_positive_margin_prediction_changed_fraction_frobenius_ci95_high,mean_tail_positive_margin_prediction_changed_fraction_spectral,tail_positive_margin_prediction_changed_fraction_spectral_ci95_low,tail_positive_margin_prediction_changed_fraction_spectral_ci95_high,mean_actual_head_loss_decrease_diff_spectral_minus_fro,actual_head_loss_decrease_diff_ci95_low,actual_head_loss_decrease_diff_ci95_high,mean_actual_head_gain_relative_error_frobenius,actual_head_gain_relative_error_frobenius_ci95_low,actual_head_gain_relative_error_frobenius_ci95_high,mean_actual_head_gain_relative_error_spectral,actual_head_gain_relative_error_spectral_ci95_low,actual_head_gain_relative_error_spectral_ci95_high,mean_nrG,mean_stA_tail,mean_condition_score_tail,protocol_version,search_id,setting_id,setting_index,phase,multiplicity_family,planned_family_size,partition_id,head_train_per_class,tail_train_per_class,tail_eval_per_class,warmup_steps,target_head_gain_fraction_registered,fresh_protocol_id,protocol_status
CIFAR100,resnet18_cifar_stem,5,0.8204009082785788,0.8018286196912752,0.8394033759526591,0.8203462210498165,0.8018942503880926,0.8392227803915767,0.8305252267577032,0.7530580794462666,0.9159614259608407,0.807182536026717,0.7676800244925612,0.8487177283233266,0.8119703867633146,0.7804247541593884,0.8447911287625774,1.0,4.892349243164062e-05,-6.67125897117244e-05,0.00016455957457500565,-0.00010986328125,-0.00024222970232906914,2.2503139829069152e-05,-6.0939788818359374e-05,-0.00012104422135893384,-8.353562777849041e-07,5.850791931152344e-05,-9.951804531252168e-05,0.00021653388393556855,-0.000152587890625,-0.00032975982580416767,2.4584044554167668e-05,-9.407997131347657e-05,-0.0001382123142895246,-4.994762833742853e-05,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,0.0,0.0,0.0,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,4.554818058013916,4.467752033824665,4.641884082203168,4.554708194732666,4.467751006396229,4.641665383069103,4.554757118225098,4.467697722447887,4.641816514002309,-3.486362409591675,-3.5941301494752995,-3.3785946697080504,-3.48620982170105,-3.5938156300976054,-3.3786040133044946,-3.486268329620361,-3.594007680698892,-3.3785289785418304,0.05325,0.04623665012280151,0.06026334987719849,0.05325,0.04623665012280151,0.06026334987719849,0.053125,0.046185,0.060065,0.05325,0.04623665012280151,0.06026334987719849,0.981836324612215,0.9639853794876143,0.9996872697368158,0.9860916437611511,0.9708361179138609,1.0,0.0008750000000000001,0.0,0.001916,0.001375,0.00010004058888135581,0.002649959411118644,0.0,0.0,0.0,0.002247191011235955,0.0,0.008485393258426965,-2.5834888219833374e-06,-1.9632384059775178e-05,1.4465406415808503e-05,0.2314207351319742,0.11625029702896592,0.34659117323498245,0.24630689115480423,0.021645133756219043,0.4709686485533894,26.882316620138653,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w500_rho0p002_tail30,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_mod5_01_vs_34,300,30,40,500,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.6798824782526522,0.6196677413991946,0.7459484387411247,0.6797127445395793,0.6195402918756234,0.7457294079951117,0.6773270442697238,0.5788251299656911,0.7925915810295818,0.6597319801968381,0.6108935864588695,0.7124747997722607,0.6690905540767309,0.6152654511271961,0.7276244241156908,1.0,0.0001850128173828125,0.00012243806102077185,0.00024758757374485313,-0.0002684593200683594,-0.0004245616563782877,-0.00011235698375843106,-8.344650268554688e-05,-0.00022016875311508665,5.32757477439929e-05,0.00023050308227539061,0.000122420650829671,0.0003385855137211102,-0.00032444000244140624,-0.000573295716478439,-7.558428840437348e-05,-9.393692016601562e-05,-0.00024205962488599503,5.4185784553963784e-05,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,0.0,-0.0005486551740392142,0.0005486551740392142,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,4.554818058013916,4.467752033824665,4.641884082203168,4.554549598693848,4.467559441027948,4.641539756359748,4.554734611511231,4.46772950330688,4.641739719715582,-3.486362409591675,-3.5941301494752995,-3.3785946697080504,-3.4860379695892334,-3.5936357020536334,-3.3784402371248334,-3.486268472671509,-3.593936974586636,-3.378599970756382,0.05325,0.04623665012280151,0.06026334987719849,0.05325,0.04619385930554102,0.06030614069445898,0.053125,0.046185,0.060065,0.05325,0.04623665012280151,0.06026334987719849,0.9839639841866831,0.9684459851060004,0.9994819832673657,0.9839639841866831,0.9684459851060004,0.9994819832673657,0.0016250000000000001,0.00044826574792776615,0.002801734252072234,0.0017500000000000003,0.0009000270592542376,0.002599972940745763,0.002247191011235955,0.0,0.008485393258426965,0.002247191011235955,0.0,0.008485393258426965,2.2646039724349975e-06,-1.783224170226948e-05,2.2361449647139473e-05,0.09692197772545774,0.015572952011149985,0.17827100343976549,0.10367150576789057,0.02971034121032684,0.1776326703254543,26.882316620138653,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w500_rho0p005_tail30,1,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_mod5_01_vs_34,300,30,40,500,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.7651623569511109,0.7353590841904842,0.7961735226804116,0.7672851185928115,0.7364787788318231,0.7993800638055071,0.7938121154713514,0.7425978840522883,0.8485584031434332,0.7351035863604839,0.6815311843817785,0.7928870975584563,0.7545683860560407,0.6797226585301296,0.837655538019673,1.0,-0.00015611648559570311,-0.0003129280627126378,6.950915212315309e-07,0.0002850532531738281,8.788042512573903e-05,0.0004822260812219172,0.000128936767578125,1.1484519585419395e-05,0.0002463890155708306,-0.00014801025390625,-0.0002962655939344501,2.450861219501562e-07,0.000412750244140625,0.00014643918315881879,0.0006790613051224312,0.000264739990234375,9.690840803074869e-05,0.0004325715724380014,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,-0.0001250000000000001,-0.00047200000000000036,0.00022200000000000014,0.0,0.0,0.0,5.205930709838867,5.049153454066802,5.362707965610932,5.206215763092041,5.049395735341378,5.363035790842705,5.2060596466064455,5.0493520293116525,5.3627672639012385,-4.30419692993164,-4.478709415801215,-4.1296844440620655,-4.304609680175782,-4.4791660941365,-4.1300532662150635,-4.304461669921875,-4.478927880386174,-4.129995459457576,0.04725,0.04488377547557295,0.04961622452442705,0.047375,0.04472096034317495,0.05002903965682505,0.04725,0.04488377547557295,0.04961622452442705,0.04725,0.04488377547557295,0.04961622452442705,0.9890692640692642,0.9666250965354805,1.0,0.9944444444444445,0.9790222222222222,1.0,0.0019999999999999996,0.00098832984624434,0.0030116701537556594,0.00075,0.0,0.0017616701537556596,0.0,0.0,0.0,0.0,0.0,0.0,1.7724232748150825e-09,-7.991305898813281e-08,8.345790553776299e-08,0.12983099321116837,0.03322010276959152,0.2264418836527452,0.16249201019630263,0.08152145117077206,0.2434625692218332,28.51414344209569,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w2000_rho0p002_tail30,2,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_mod5_01_vs_34,300,30,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.5309432559526626,0.4999594373026379,0.5638472244118737,0.535726555107606,0.502552810662285,0.5710901138314965,0.5426058853126302,0.4862399025131681,0.6055059349390394,0.5038659551340228,0.4267892680507671,0.5948624291858285,0.51643020645894,0.4558949018688041,0.5850035985266918,1.0,-0.00023040771484375,-0.00048612290681854047,2.5307477131040508e-05,0.0005860328674316406,0.00014361400485019698,0.0010284517300130844,0.0003556251525878906,0.00013335492129452637,0.0005778953838812548,-0.00037403106689453124,-0.0006836440610291504,-6.441807275991198e-05,0.0009246826171875,0.00035567430730492136,0.0014936909270700787,0.0005506515502929687,0.0002505333015697152,0.0008507697990162222,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,0.0,-0.0005486551740392142,0.0005486551740392142,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,5.205930709838867,5.049153454066802,5.362707965610932,5.206516742706299,5.04980179244561,5.363231692966988,5.206286334991455,5.04951903928623,5.3630536306966805,-4.30419692993164,-4.478709415801215,-4.1296844440620655,-4.305121612548828,-4.479557750286863,-4.130685474810794,-4.304747581481934,-4.479264498816466,-4.130230664147401,0.04725,0.04488377547557295,0.04961622452442705,0.04725,0.04436760151956742,0.05013239848043258,0.04712499999999999,0.04451672307835229,0.049733276921647696,0.04725,0.04488377547557295,0.04961622452442705,0.9890692640692642,0.9666250965354805,1.0,0.9916666666666666,0.9685333333333332,1.0,0.001875,0.001326344825960786,0.002423655174039214,0.002,0.0007250405888813559,0.0032749594111186444,0.0027777777777777775,0.0,0.010488888888888886,0.0027777777777777775,0.0,0.010488888888888886,-1.6394187696278094e-08,-1.0528746349912713e-07,7.249908810657093e-08,0.04912468323033557,0.00939523140131869,0.08885413505935245,0.06439462467743245,0.01407342194992181,0.1147158274049431,28.51414344209569,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w2000_rho0p005_tail30,3,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_mod5_01_vs_34,300,30,40,2000,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.8079752815813781,0.7708710799048795,0.8468654132505029,0.8101735032429032,0.7728219116476246,0.8493303508404683,0.8165227342423603,0.7558243175066407,0.8820956935257146,0.8017800232335021,0.7473458466031271,0.8601790035740934,0.824744614284823,0.7846716920409548,0.8668640473349959,1.0,-4.2724609375e-05,-0.00020074500221368215,0.00011529578346368214,0.00011568069458007812,-8.034072121120539e-05,0.00031170211037136165,7.295608520507812e-05,-6.002668832653463e-05,0.00020593885873669088,-7.9345703125e-05,-0.00029077361308085055,0.00013208220683085052,0.00014324188232421874,-6.20390151910262e-05,0.0003485227798394637,6.389617919921875e-05,-9.10802006379279e-05,0.0002188725590363654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.810939979553223,5.669127536051157,5.952752423055289,5.811055660247803,5.669145912896435,5.95296540759917,5.811012935638428,5.6691157755051,5.952910095771756,-5.024626636505127,-5.176886169040548,-4.872367103969706,-5.024769878387451,-5.177092955272926,-4.872446801501976,-5.0246905326843265,-5.177024980180625,-4.872356085188028,0.039625,0.037838708170538755,0.041411291829461246,0.039625,0.037838708170538755,0.041411291829461246,0.039625,0.037838708170538755,0.041411291829461246,0.039625,0.037838708170538755,0.041411291829461246,0.9904123199205166,0.972369065089235,1.0,0.9935963114754098,0.9827051635516469,1.0,0.0015,0.0008060000000000002,0.0021939999999999998,0.002,0.0007250405888813559,0.0032749594111186444,0.0,0.0,0.0,0.0,0.0,0.0,5.7734723668545485e-09,-1.3132731894187471e-09,1.2860217923127843e-08,0.04101443244373994,-0.0016601923356241513,0.08368905722310402,0.14697472700400865,0.014181691443421796,0.2797677625645955,26.64029634946194,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p002_tail30,4,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_mod5_01_vs_34,300,30,40,5000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.5894486184554335,0.5484390152239256,0.633524720441628,0.5953357243415429,0.553080861977698,0.6408188188069345,0.5864368094922884,0.5163418014495521,0.6660474332351632,0.5680672641029496,0.5117355381050723,0.6305999730648992,0.5956244115626664,0.5149261152935479,0.6889695999340159,1.0,2.6988983154296876e-05,-0.0002515514577881425,0.00030552942409673627,0.00023288726806640624,-0.00022743490454402957,0.000693209440676842,0.0002598762512207031,9.930993608829228e-06,0.000509821508832577,-2.55584716796875e-05,-0.00036109607017919854,0.0003099791268198235,0.00033893585205078123,-0.00024193445539740486,0.0009198061594989673,0.00031337738037109377,2.8999799894680587e-05,0.000597754960847507,0.0001250000000000001,-0.00022200000000000014,0.00047200000000000036,-0.0001250000000000001,-0.00047200000000000036,0.00022200000000000014,0.0,0.0,0.0,5.810939979553223,5.669127536051157,5.952752423055289,5.811172866821289,5.669241606830107,5.953104126812472,5.8111998558044435,5.669213037856921,5.953186673751966,-5.024626636505127,-5.176886169040548,-4.872367103969706,-5.024965572357178,-5.17740931471841,-4.872521829995945,-5.024940013885498,-5.1773761643809,-4.872503863390096,0.039625,0.037838708170538755,0.041411291829461246,0.03975,0.0381410271910315,0.041358972808968504,0.039625,0.037838708170538755,0.041411291829461246,0.039625,0.037838708170538755,0.041411291829461246,0.9934426229508198,0.9752393442622952,1.0,0.9967213114754099,0.9876196721311477,1.0,0.0015,0.0010750135296271187,0.0019249864703728813,0.00125,0.000474084411807573,0.002025915588192427,0.0,0.0,0.0,0.0,0.0,0.0,-3.2589014153927563e-09,-6.121159685513558e-09,-3.9664314527195407e-10,0.04219480650678488,0.003168199074986673,0.08122141393858309,0.03431446034294835,-0.009179430235436076,0.07780835092133277,26.64029634946194,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_mod5_01_vs_34,300,30,40,5000,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.7327727405307906,0.698703515232532,0.7685032028016973,0.7327535013596564,0.69867870881909,0.7684901328428251,0.7294796892534532,0.6856185687659404,0.7761467400031565,0.7227445748386145,0.6579673390128886,0.7938991641170466,0.723777325388988,0.6840110129735215,0.7658555298253883,1.0,5.779266357421875e-05,-0.00012814190445832753,0.00024372723160676502,-0.00012598037719726562,-0.00040787483009609637,0.0001559140757015651,-6.818771362304688e-05,-0.00018510122163334326,4.872579438724951e-05,7.429122924804688e-05,-0.0002003990444913267,0.00034898150298742043,-0.0001750946044921875,-0.0005941246039954684,0.0002439353950110934,-0.00010080337524414063,-0.00025728063897631216,5.567388848803089e-05,-0.00010000000000000009,-0.0003776000000000003,0.0001776000000000001,0.00020000000000000017,-0.00013998917629830517,0.0005399891762983055,0.00010000000000000009,-0.0001776000000000001,0.0003776000000000003,4.532721328735351,4.385480091167545,4.679962566303158,4.5325953483581545,4.3854714450430885,4.6797192516732204,4.532653141021728,4.38541643061258,4.679889851430877,-3.400015640258789,-3.5688824612058196,-3.231148819311758,-3.399840545654297,-3.56856618014596,-3.231114911162634,-3.399914836883545,-3.568772698902437,-3.231056974864653,0.05450000000000001,0.041961818696477554,0.06703818130352246,0.0543,0.04177257910661576,0.06682742089338424,0.054400000000000004,0.041958997429467355,0.06684100257053266,0.05450000000000001,0.041961818696477554,0.06703818130352246,0.9946249241569369,0.9884589924738623,1.0,0.9946249241569369,0.9884589924738623,1.0,0.0015000000000000002,0.0005185357877130724,0.002481464212286928,0.0011000000000000003,8.003247110508491e-05,0.0021199675288949157,0.003680160588825694,0.0,0.009997973491561165,0.001639344262295082,0.0,0.006190163934426229,-8.732080459594727e-06,-4.981386214618346e-05,3.2349701226994004e-05,0.15150662544502244,0.05673324074681817,0.2462800101432267,0.22858856095353697,0.1401219562835483,0.31705516562352565,28.882725437150544,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p002_tail30,6,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_decade_even_vs_odd,300,30,40,500,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.4681750952455857,0.40814085563604513,0.5370398890026132,0.46802769694732016,0.407906324591197,0.5370103670967691,0.454427681876148,0.39101859201722894,0.5281194354211952,0.4433841508866142,0.37978104804668705,0.5176390614238255,0.4508083142984793,0.3966694080329713,0.512336298502112,1.0,0.00017938613891601562,-0.00024073220312312025,0.0005995044809551515,-0.00025463104248046875,-0.0009254148662521922,0.0004161527812912547,-7.524490356445313e-05,-0.0003489994949641454,0.00019850968783523918,0.0002067089080810547,-0.000408615367033913,0.0008220331831960224,-0.0003215789794921875,-0.0013005919824901318,0.0006574340235057567,-0.00011487007141113282,-0.0005059453658532255,0.0002762052230309599,0.00010000000000000009,-0.0001776000000000001,0.0003776000000000003,0.0,-0.0004389241392313714,0.0004389241392313714,0.00010000000000000009,-0.0004193420452842232,0.0006193420452842234,4.532721328735351,4.385480091167545,4.679962566303158,4.532466697692871,4.3855253264256335,4.679408068960108,4.5326460838317875,4.385465988233066,4.679826179430509,-3.400015640258789,-3.5688824612058196,-3.231148819311758,-3.399694061279297,-3.5681898380284,-3.231198284530194,-3.399900770187378,-3.5687092279517274,-3.2310923124230286,0.05450000000000001,0.041961818696477554,0.06703818130352246,0.05450000000000001,0.04180150667204964,0.06719849332795037,0.054400000000000004,0.04179744917248893,0.06700255082751108,0.05450000000000001,0.041961818696477554,0.06703818130352246,0.9903983633330794,0.982599411480418,0.9981973151857408,0.9946249241569369,0.9884589924738623,1.0,0.0025,0.0018792675294460586,0.0031207324705539415,0.0022000000000000006,0.0007709665364310052,0.003629033463568996,0.002040816326530612,0.0,0.007706122448979591,0.003680160588825694,0.0,0.009997973491561165,-5.482137203216552e-06,-4.462754781020389e-05,3.366327340377078e-05,0.0611510822367065,0.014860937655737934,0.10744122681767507,0.08914244142353081,0.0070024649348759405,0.17128241791218568,28.882725437150544,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p005_tail30,7,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_decade_even_vs_odd,300,30,40,500,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.7941599301818383,0.7703994300351008,0.8186532467679615,0.7964173314302655,0.7719920683667663,0.8216153919099136,0.7866785820574059,0.7492705086037246,0.8259542906888333,0.7828347344083991,0.7411600066206899,0.8268527928138767,0.7993191778133223,0.76152156948596,0.8389928448795501,1.0,-0.00010519027709960937,-0.0002468494274976471,3.6468873298428354e-05,0.00022096633911132811,8.59842473725728e-05,0.0003559484308500834,0.00011577606201171876,-2.3105866918466853e-06,0.0002338627107152842,-0.00016851425170898436,-0.00034044427734417656,3.4157739262078628e-06,0.00035037994384765623,0.0002160525059150847,0.0004847073817802278,0.00018186569213867186,6.36899000981728e-05,0.00030004148417917095,0.00010000000000000009,-0.0001776000000000001,0.0003776000000000003,-0.00010000000000000009,-0.0003776000000000003,0.0001776000000000001,0.0,0.0,0.0,5.358740901947021,5.165886374544412,5.55159542934963,5.358961868286133,5.166089354865423,5.5518343817068425,5.358856678009033,5.166081813398557,5.55163154261951,-4.4771520614624025,-4.705049890994626,-4.249254231930179,-4.47750244140625,-4.705410966805545,-4.249593916006955,-4.477333927154541,-4.705156453995848,-4.249511400313235,0.0422,0.03777578401973864,0.04662421598026136,0.042300000000000004,0.03768398693242751,0.046916013067572496,0.0422,0.03777578401973864,0.04662421598026136,0.0422,0.03777578401973864,0.04662421598026136,0.990381929898059,0.9771141280377734,1.0,0.9881092026253316,0.9729064019032869,1.0,0.002,0.001122151721537258,0.002877848278462742,0.0013,0.0007448,0.0018552,0.0,0.0,0.0,0.0,0.0,0.0,-3.587338142096996e-08,-1.4010651806018108e-07,6.835975521824117e-08,0.12566828450963147,0.060085333601745894,0.19125123541751704,0.09382983247091367,0.024395756099870325,0.16326390884195702,30.976174489436566,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p002_tail30,8,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_decade_even_vs_odd,300,30,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
CIFAR100,resnet18_cifar_stem,5,0.5607744031450063,0.5174771382331615,0.6076943462591134,0.5658740117150656,0.5219685858014974,0.6134725457525485,0.5369223369143219,0.5038908993757603,0.5721190762418532,0.5206871720743574,0.45620595495764293,0.5942823152932398,0.5459492680626535,0.48785499606589283,0.6109614653979871,1.0,-0.00033369064331054685,-0.0005291704285476384,-0.00013821085807345533,0.0006242752075195313,0.00037484840572138417,0.0008737020093176784,0.00029058456420898436,0.00012142803642989329,0.0004597410919880754,-0.00048456192016601565,-0.000688796168594819,-0.0002803276717372123,0.0009327888488769531,0.0006290251181097384,0.0012365525796441679,0.0004482269287109375,0.00025353725869081505,0.00064291659873106,-0.00010000000000000009,-0.0003776000000000003,0.0001776000000000001,0.0,0.0,0.0,-0.00010000000000000009,-0.0003776000000000003,0.0001776000000000001,5.358740901947021,5.165886374544412,5.55159542934963,5.359365177154541,5.1664997472492304,5.552230607059852,5.35903148651123,5.1662664598600765,5.551796513162384,-4.4771520614624025,-4.705049890994626,-4.249254231930179,-4.478084850311279,-4.7059204933983265,-4.250249207224232,-4.4776002883911135,-4.705388273374493,-4.249812303407734,0.0422,0.03777578401973864,0.04662421598026136,0.0422,0.03777578401973864,0.04662421598026136,0.042300000000000004,0.03768398693242751,0.046916013067572496,0.0422,0.03777578401973864,0.04662421598026136,0.9858364753526045,0.9667099234003326,1.0,0.9907066052227342,0.9787831148081395,1.0,0.0024000000000000002,0.0004667397071268446,0.004333260292873156,0.0013000000000000002,0.0007448000000000002,0.0018552,0.002150537634408602,0.0,0.008120430107526881,0.0,0.0,0.0,-6.007030606269837e-09,-6.23122538501222e-08,5.0298192637582524e-08,0.0336752178116339,0.013397209516581236,0.05395322610668656,0.017245105810875433,-0.007678739633816947,0.04216895125556781,30.976174489436566,,,nns_phase1_runner_v1,NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p005_tail30,9,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_decade_even_vs_odd,300,30,40,2000,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
