problem_family,base_setting,budget,direction,points,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine,mean_nr_update,mean_st_update,mean_grad_rank_fraction
MatrixFactorizationInput,MF input kappa=1e+02,fro,flat_polar,30,6.190301484449008e-07,6.053257990641547e-07,0.12870595561686207,5.0,4.999999999999997,0.2868887981934555
MatrixFactorizationInput,MF input kappa=1e+02,fro,gd_spectrum,30,1.3118923927281877e-06,1.2519741739952557e-06,0.25596933522957827,1.4344439909672775,1.0463879160763967,0.2868887981934555
MatrixFactorizationInput,MF input kappa=1e+02,fro,top_singular,30,1.3064017368986304e-06,1.2459106517375982e-06,0.25308258527819705,1.0,1.0,0.2868887981934555
MatrixFactorizationInput,MF input kappa=1e+02,op,flat_polar,30,7.306269528322685e-07,7.110171703613168e-07,0.1410553311804187,5.0,4.9999999999999964,0.2868887981934555
MatrixFactorizationInput,MF input kappa=1e+02,op,gd_spectrum,30,6.761493721615758e-07,6.587068418276408e-07,0.2802102951924473,1.4344439909672775,1.0463879160763967,0.2868887981934555
MatrixFactorizationInput,MF input kappa=1e+02,op,top_singular,30,6.694295178751844e-07,6.520230272532719e-07,0.27655133677557575,1.0,1.0,0.2868887981934555
MatrixSensing,Matrix sensing kappa=1e+02,fro,flat_polar,30,0.00012739480126802697,0.00012870454840789523,0.8192912342910922,59.99999999999999,59.99999999999992,0.6714596640524327
MatrixSensing,Matrix sensing kappa=1e+02,fro,gd_spectrum,30,0.00015459390499464218,0.00015640115766317114,1.0,40.28757984314597,7.547459428541965,0.6714596640524327
MatrixSensing,Matrix sensing kappa=1e+02,fro,top_singular,30,5.622205447165408e-05,5.657936594711834e-05,0.36539609471377477,1.0000000000000009,1.0,0.6714596640524327
MatrixSensing,Matrix sensing kappa=1e+02,op,flat_polar,30,0.00026462538757796315,0.0002709259140275174,0.8192912342910922,60.00000000000001,59.999999999999915,0.6714596640524327
MatrixSensing,Matrix sensing kappa=1e+02,op,gd_spectrum,30,0.00011693986977401237,0.0001180915676376411,1.0,40.28757984314597,7.547459428541965,0.6714596640524327
MatrixSensing,Matrix sensing kappa=1e+02,op,top_singular,30,1.5274744941643747e-05,1.5303392228039587e-05,0.36539609471377477,1.0000000000000009,1.0,0.6714596640524327
SmallMLPDigits,Small MLP digits hidden=16,fro,flat_polar,30,9.46499690440176e-05,9.444672553251992e-05,0.5846859380162386,13.0,12.99999999999999,0.44830723877220774
SmallMLPDigits,Small MLP digits hidden=16,fro,gd_spectrum,30,0.00015089426255091945,0.00015068275439807593,0.9108641539139928,5.572268681300474,2.063863038293251,0.44830723877220774
SmallMLPDigits,Small MLP digits hidden=16,fro,top_singular,30,0.00010535063519302075,0.00010595031774084886,0.6516413795801506,1.0000000000000002,1.0,0.44830723877220774
SmallMLPDigits,Small MLP digits hidden=16,op,flat_polar,30,0.00016604187819044825,0.0001654202782518591,0.5802617245786039,13.0,12.999999999999988,0.44830723877220774
SmallMLPDigits,Small MLP digits hidden=16,op,gd_spectrum,30,0.00010505773041233902,0.00010490954861908156,0.9264854095604055,5.572268681300474,2.063863038293251,0.44830723877220774
SmallMLPDigits,Small MLP digits hidden=16,op,top_singular,30,5.126695459124105e-05,5.138464361197737e-05,0.6628678927166599,1.0000000000000002,1.0,0.44830723877220774
SmallMLPDigits,Small MLP digits hidden=64,fro,flat_polar,30,0.00028179075309333614,0.0002813923769233732,0.4347921003378793,37.0,36.999999999999964,0.36971666062885533
SmallMLPDigits,Small MLP digits hidden=64,fro,gd_spectrum,30,0.0005665177513143178,0.0005668643466841023,0.8976059870857972,7.007232575218165,2.2497574827687377,0.36971666062885533
SmallMLPDigits,Small MLP digits hidden=64,fro,top_singular,30,0.00038041837401983083,0.00038296810215826977,0.6110657937262167,1.0000000000000007,1.0,0.36971666062885533
SmallMLPDigits,Small MLP digits hidden=64,op,flat_polar,30,0.000617810934014192,0.0006171448332861578,0.35714613049570815,37.0,36.99999999999996,0.36971666062885533
SmallMLPDigits,Small MLP digits hidden=64,op,gd_spectrum,30,0.00036538245645772647,0.0003652517471359267,0.9276265684156051,7.007232575218165,2.2497574827687377,0.36971666062885533
SmallMLPDigits,Small MLP digits hidden=64,op,top_singular,30,0.00016494431996956217,0.00016523028087874758,0.6300917964439312,1.0000000000000004,1.0,0.36971666062885533
