run_id,problem_family,base_setting,seed,state_source,budget,target_relative_norm,direction,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm,update_op_norm,mean_nr_update,mean_st_update,mean_grad_rank_fraction
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,fro,0.001,gd_spectrum,0.0001532792239327137,0.00015326049557205936,1.8728360654326906e-08,1.8629079724695174e-08,0.11469055970254778,0.006329184407616905,0.0022132405069928878,1.477937561623897,1.0297493717603627,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,fro,0.001,flat_polar,0.0001532792239327137,0.00015326892286325437,1.0301069459315573e-08,1.0288938982481073e-08,0.0633442010064416,0.006329184407616905,0.0010000000000000005,5.0,4.9999999999999964,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,fro,0.001,top_singular,0.0001532792239327137,0.0001532608460256451,1.8377907068579296e-08,1.827395640516429e-08,0.11250423096906596,0.006329184407616907,0.0022360679774997894,1.0,1.0,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,fro,0.01,gd_spectrum,0.0001532792239327137,0.000153082673791776,1.9655014093768403e-07,1.8629079724695176e-07,0.11469055970254778,0.06329184407616906,0.022132405069928866,1.4779375616238968,1.0297493717603627,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,fro,0.01,flat_polar,0.0001532792239327137,0.00015317503044312764,1.0419348958604535e-07,1.0288938982481074e-07,0.0633442010064416,0.06329184407616906,0.010000000000000002,5.0,4.999999999999996,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,fro,0.01,top_singular,0.0001532792239327137,0.00015308577568170123,1.9344825101245597e-07,1.8273956405164284e-07,0.11250423096906596,0.06329184407616906,0.022360679774997904,1.0,1.0,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,op,0.001,gd_spectrum,0.0001532792239327137,0.00015327011627283118,9.107659882507096e-09,9.084598721740083e-09,0.1237333148492764,0.0028609029208316833,0.0010000000000000005,1.477937561623897,1.0297493717603627,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,op,0.001,flat_polar,0.0001532792239327137,0.00015326817299385283,1.1050938860860228e-08,1.103756032826167e-08,0.06792766450117677,0.006331555641509775,0.001,5.0,4.999999999999995,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,op,0.001,top_singular,0.0001532792239327137,0.00015327048361685975,8.74031585393906e-09,8.716987604560002e-09,0.11995684177785639,0.002831557763547631,0.001,1.0,1.0,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,op,0.01,gd_spectrum,0.0001532792239327137,0.00015318603532640243,9.318860631126065e-08,9.084598721740081e-08,0.12373331484927641,0.028609029208316827,0.009999999999999997,1.4779375616238974,1.0297493717603627,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,op,0.01,flat_polar,0.0001532792239327137,0.00015316740306456572,1.1182086814796335e-07,1.1037560328261667e-07,0.06792766450117675,0.06331555641509774,0.01,5.0,4.999999999999995,0.2955875123247794
0,MatrixFactorizationInput,MF input kappa=1e+02,0,initial,op,0.01,top_singular,0.0001532792239327137,0.000153189688417882,8.95355148316894e-08,8.716987604560002e-08,0.1199568417778564,0.02831557763547631,0.010000000000000002,1.0,1.0,0.2955875123247794
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,fro,0.001,gd_spectrum,0.00011891317213957395,0.00011833790893303179,5.752632065421603e-07,5.719424941817428e-07,0.5332569023344701,0.006369904757744222,0.0022395379667324044,1.1566372274816907,1.0060616861069778,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,fro,0.001,flat_polar,0.00011891317213957395,0.00011863824802344773,2.749241161262235e-07,2.741853894195066e-07,0.25563977657648185,0.006369904757744222,0.0010035342851309507,5.0,4.9999999999999964,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,fro,0.001,top_singular,0.00011891317213957395,0.00011833945764534554,5.73714494228413e-07,5.703743467919501e-07,0.5317948227932723,0.006369904757744223,0.0022439708793044614,1.0,1.0,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,fro,0.01,gd_spectrum,0.00011891317213957395,0.00011286580573623932,6.0473664033346256e-06,5.7194249418174296e-06,0.5332569023344702,0.06369904757744223,0.02239537966732405,1.1566372274816907,1.0060616861069782,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,fro,0.01,flat_polar,0.00011891317213957395,0.0001160976408369025,2.815531302671447e-06,2.7418538941950664e-06,0.25563977657648185,0.06369904757744223,0.010035342851309506,5.0,4.999999999999997,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,fro,0.01,top_singular,0.00011891317213957395,0.00011287953059717433,6.033641542399623e-06,5.7037434679195e-06,0.5317948227932723,0.06369904757744223,0.022439708793044615,1.0,1.0,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,op,0.001,gd_spectrum,0.00011891317213957395,0.00011861033372205434,3.02838417519613e-07,3.0188428640483313e-07,0.5918314932228133,0.003029420051583271,0.0010553790065509297,1.1566372274816907,1.0060616861069778,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,op,0.001,flat_polar,0.00011891317213957395,0.00011858786592727823,3.253062122957214e-07,3.24238660320352e-07,0.28488360627672155,0.0067594972771831095,0.0010553790065509292,5.0,4.999999999999996,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,op,0.001,top_singular,0.00011891317213957395,0.00011861226393075336,3.0090820882058866e-07,2.9995414888334524e-07,0.5893082723902576,0.003022939081101235,0.0010553790065509292,1.0,1.0,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,op,0.01,gd_spectrum,0.00011891317213957395,0.00011579905704978415,3.114115089789801e-06,3.018842864048331e-06,0.5918314932228134,0.030294200515832707,0.010553790065509293,1.156637227481691,1.0060616861069782,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,op,0.01,flat_polar,0.00011891317213957395,0.00011556397133861308,3.349200800960872e-06,3.2423866032035203e-06,0.2848836062767216,0.06759497277183109,0.010553790065509295,5.0,4.999999999999998,0.23132744549633819
1,MatrixFactorizationInput,MF input kappa=1e+02,0,adam_step3,op,0.01,top_singular,0.00011891317213957395,0.00011581836101123974,3.0948111283342122e-06,2.999541488833451e-06,0.5893082723902574,0.03022939081101235,0.010553790065509295,1.0,1.0,0.23132744549633819
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,fro,0.001,gd_spectrum,0.0001513786363547434,0.00015133303267078312,4.560368396027358e-08,4.5180122528606466e-08,0.17006698375967375,0.006373322997122617,0.002234489539228493,1.3362074404240318,1.0207143025491536,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,fro,0.001,flat_polar,0.0001513786363547434,0.0001513550749046147,2.3561450128694586e-08,2.345931135805607e-08,0.08830552243893412,0.006373322997122617,0.0010068804252660794,5.0,4.999999999999997,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,fro,0.001,top_singular,0.0001513786363547434,0.00015133352880078736,4.510755395603378e-08,4.467606732466487e-08,0.1681696195343236,0.006373322997122617,0.00225145307610885,1.0,1.0,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,fro,0.01,gd_spectrum,0.0001513786363547434,0.0001508823510042955,4.962853504478909e-07,4.518012252860646e-07,0.17006698375967377,0.06373322997122616,0.02234489539228493,1.3362074404240318,1.0207143025491539,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,fro,0.01,flat_polar,0.0001513786363547434,0.00015113361881072585,2.4501754401754406e-07,2.345931135805607e-07,0.08830552243893415,0.06373322997122616,0.010068804252660797,5.0,4.999999999999998,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,fro,0.01,top_singular,0.0001513786363547434,0.00015088652512747604,4.921112272673542e-07,4.467606732466486e-07,0.1681696195343236,0.06373322997122616,0.022514530761088496,1.0,1.0,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,op,0.001,gd_spectrum,0.0001513786363547434,0.00015135649984755655,2.2136507186841644e-08,2.203631658395562e-08,0.1798952533318299,0.0029387174547334275,0.0010297822611532018,1.3362074404240318,1.0207143025491539,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,op,0.001,flat_polar,0.0001513786363547434,0.00015135316640885784,2.5469945885551494e-08,2.5350787614274998e-08,0.09325612278558915,0.006521577135013967,0.001029782261153202,4.999999999999999,4.9999999999999964,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,op,0.001,top_singular,0.0001513786363547434,0.00015135701007085517,2.1626283888226362e-08,2.1526483821892853e-08,0.17706959654081977,0.002916537958879912,0.0010297822611532018,1.0,1.0,0.26724148808480636
2,MatrixFactorizationInput,MF input kappa=1e+02,0,muon_step3,op,0.01,gd_spectrum,0.0001513786363547434,0.00015114801310636423,2.3062324837916457e-07,2.203631658395562e-07,0.17989525333182993,0.029387174547334274,0.010297822611532018,1.3362074404240318,1.0207143025491539,0.26724148808480636
