warmup_steps,seeds,parameters,paired_points,mean_tail_accuracy_before,geomean_jvp_tail_drift_sq_ratio_spectral_over_fro,jvp_tail_drift_sq_ratio_ci95_low,jvp_tail_drift_sq_ratio_ci95_high,geomean_scaled_jvp_tail_drift_sq_ratio_spectral_over_fro,scaled_jvp_tail_drift_sq_ratio_ci95_low,scaled_jvp_tail_drift_sq_ratio_ci95_high,geomean_observed_tail_drift_sq_ratio_spectral_over_fro,observed_tail_drift_sq_ratio_ci95_low,observed_tail_drift_sq_ratio_ci95_high,spectral_less_scaled_jvp_tail_drift_fraction,spectral_less_observed_tail_drift_fraction
2000,10,21,210,0.5142,2.268784258913616,2.1653613109517496,2.377146939617092,0.18253427719616183,0.16599678765283182,0.20071932007026913,0.35527783167646576,0.33784753778170995,0.373607392581579,1.0,1.0
5000,10,21,210,0.5142,2.332157324344687,2.2213046314286506,2.448542045309859,0.192190468727719,0.17415473882374183,0.21209400628003375,0.39524105093081524,0.375833637391063,0.41565063048986667,1.0,1.0
10000,10,21,210,0.5064,2.359975917725213,2.2417967124243607,2.4843850922682083,0.19448974318922896,0.17456559460941573,0.21668794638741462,0.42857603347729123,0.4066085811727397,0.4517303002837919,1.0,1.0
