seed,layer_index,parameter,shape,warmup_steps,gradient_nuclear_rank,gradient_fro_norm,gradient_op_norm,alignment_ratio_spectral_over_fro,step_size_ratio_spectral_over_fro,jvp_tail_drift_sq_ratio_spectral_over_fro,scaled_jvp_tail_drift_sq_ratio_spectral_over_fro,observed_tail_drift_sq_ratio_spectral_over_fro,linearization_relative_error_diff_spectral_minus_fro,tail_loss_increase_diff_spectral_minus_fro,tail_accuracy_drop_diff_spectral_minus_fro,tail_margin_drop_diff_spectral_minus_fro,actual_head_loss_decrease_diff_spectral_minus_fro,tail_accuracy_before,tail_loss_before,spectral_less_jvp_tail_drift,spectral_less_scaled_jvp_tail_drift,spectral_less_observed_tail_drift
0,1,conv1.weight,64x3x3x3,2000,5.229269060172764,1.9277946949005127,1.6467068195343018,2.28676216010215,0.4372995222010014,1.2164691764955624,0.23262648068341266,0.6183682884349889,0.3439955711364746,0.00015616416931152344,0.0,0.00021076202392578125,-4.979968070983887e-05,0.366,3.6031548976898193,False,True,True
0,2,layer1.0.conv1.weight,128x64x1x1,2000,16.039940425938603,0.6435216665267944,0.44634518027305603,4.004997915065454,0.24968802012064392,1.2000443569203403,0.07481569261988989,0.8162240219711111,0.33308136463165283,9.5367431640625e-07,0.0,-2.09808349609375e-05,-4.235655069351196e-05,0.366,3.6031548976898193,False,True,True
0,3,layer1.0.conv2.weight,128x128x3x3,2000,44.758970107090136,1.1865766048431396,0.766792893409729,6.690233323728888,0.1494716180455478,1.1955360658883227,0.026710382830328134,0.8110268823096146,1.3740829229354858,-1.049041748046875e-05,0.0,-2.6226043701171875e-06,-6.765127182006836e-05,0.366,3.6031548976898193,False,True,True
0,4,layer1.0.conv3.weight,256x128x1x1,2000,42.25764801866281,0.6295199990272522,0.4119582176208496,6.500633900526758,0.1538311517464425,1.1677268814676391,0.02763311714005329,0.8694007641990933,0.6888881921768188,2.9325485229492188e-05,0.0,3.0517578125e-05,1.4036893844604492e-05,0.366,3.6031548976898193,False,True,True
0,5,layer1.0.downsample.0.weight,256x64x1x1,2000,17.673291548967025,0.6921476721763611,0.4555097222328186,4.2039666350651475,0.2378705843331469,1.1815196150545844,0.06685322663831686,0.8807624921719321,0.4105947017669678,3.814697265625e-05,0.0005000000000000004,6.985664367675781e-05,-4.379451274871826e-05,0.366,3.6031548976898193,False,True,True
0,6,layer1.1.conv1.weight,128x256x1x1,2000,42.31497687704863,0.40355777740478516,0.26616573333740234,6.505030000401739,0.15372719263988666,1.0972783205552377,0.025930937921892497,0.7975364398036232,0.4189176559448242,4.0531158447265625e-05,0.0005000000000000004,4.172325134277344e-05,-3.56137752532959e-05,0.366,3.6031548976898193,False,True,True
0,7,layer1.1.conv2.weight,128x128x3x3,2000,57.47798360804705,0.9623635411262512,0.6039111018180847,7.581494137694547,0.1319001217752164,1.1657354841246372,0.020281051316907033,0.7859273864472238,1.3281089067459106,0.00015234947204589844,0.0,0.00015735626220703125,-1.2814998626708984e-05,0.366,3.6031548976898193,False,True,True
0,8,layer1.1.conv3.weight,256x128x1x1,2000,51.16330188360001,0.48793625831604004,0.3070003092288971,7.152897476011796,0.13980348569983486,1.1440174345450937,0.022359835747634695,0.8502829302090877,0.5805482864379883,5.078315734863281e-05,0.0010000000000000009,7.68899917602539e-05,4.264712333679199e-05,0.366,3.6031548976898193,False,True,True
0,9,layer1.2.conv1.weight,128x256x1x1,2000,45.72253955996896,0.3233359754085541,0.22080960869789124,6.761858079292094,0.1478883449302874,1.1017189673251717,0.024095653554083232,0.7514943102680871,0.33847296237945557,6.031990051269531e-05,0.0,0.00011098384857177734,4.1931867599487305e-05,0.366,3.6031548976898193,False,True,True
0,10,layer1.2.conv2.weight,128x128x3x3,2000,62.23533511340636,0.7462028861045837,0.4625743329524994,7.8889776147926325,0.12675913772716238,1.108856511112919,0.01781697132040506,0.7627104083367375,1.055135726928711,-0.0001010894775390625,0.0005000000000000004,-0.00025093555450439453,-4.9464404582977295e-05,0.366,3.6031548976898193,False,True,True
0,11,layer1.2.conv3.weight,256x128x1x1,2000,52.9497991960982,0.37729787826538086,0.23547688126564026,7.276723820886167,0.13742448176055955,1.1146531213615365,0.02105076795512335,0.7634643130826927,0.4392542839050293,-1.2159347534179688e-05,-0.0005000000000000004,-5.507469177246094e-05,-1.52587890625e-05,0.366,3.6031548976898193,False,True,True
0,12,layer2.0.conv1.weight,256x256x1x1,2000,63.74816840225764,0.42721685767173767,0.30033519864082336,7.984447039487911,0.12524348837864366,1.1069236052297826,0.01736312440689172,0.738288013192069,0.575771689414978,-6.341934204101562e-05,0.0,-0.00011873245239257812,2.6404857635498047e-05,0.366,3.6031548976898193,False,True,True
0,13,layer2.0.conv2.weight,256x256x3x3,2000,117.1074498418837,0.8111535906791687,0.49411725997924805,10.821841208462198,0.09240571735778608,1.1134707146739204,0.009507722027795724,0.7337123933679276,1.7345170974731445,4.9591064453125e-05,0.0,8.106231689453125e-05,-3.475695848464966e-05,0.366,3.6031548976898193,False,True,True
0,14,layer2.0.conv3.weight,512x256x1x1,2000,86.53667685810365,0.5099084377288818,0.33264297246932983,9.302628393617885,0.1074965007401623,1.1032355987442681,0.01274843662266255,0.7744158931507326,0.8510274887084961,-3.62396240234375e-05,0.0005000000000000004,-7.367134094238281e-05,-2.041459083557129e-05,0.366,3.6031548976898193,False,True,True
0,15,layer2.0.downsample.0.weight,512x256x1x1,2000,65.261665433156,0.6201657652854919,0.4617433547973633,8.0784541150091,0.1237860592835556,1.0601919396896322,0.016245310667635137,0.6690609193533502,0.8962513208389282,4.291534423828125e-05,0.0,7.271766662597656e-06,2.4713575839996338e-05,0.366,3.6031548976898193,False,True,True
0,16,layer2.1.conv1.weight,256x512x1x1,2000,81.53081632849066,0.3403640389442444,0.2261592447757721,9.029549620418043,0.11074749484057908,1.123818325152756,0.01378363860547939,0.7546226611261202,0.5167282819747925,3.123283386230469e-05,-0.0005000000000000004,3.361701965332031e-05,1.5214085578918457e-05,0.366,3.6031548976898193,False,True,True
0,17,layer2.1.conv2.weight,256x256x3x3,2000,121.89557411314702,0.7835859656333923,0.4771091639995575,11.040846492330367,0.09057276547542437,1.1003790570827316,0.00902687775972594,0.7999364069113338,1.727353811264038,4.315376281738281e-05,0.0,0.00015056133270263672,-2.6777386665344238e-05,0.366,3.6031548976898193,False,True,True
0,18,layer2.1.conv3.weight,512x256x1x1,2000,94.56253236187398,0.4492173194885254,0.2914917767047882,9.724436537565401,0.10283372163898753,1.1115950168275968,0.011754867426345036,0.6946507953541206,0.7787295579910278,0.00010752677917480469,0.0005000000000000004,0.0002372264862060547,-4.544854164123535e-06,0.366,3.6031548976898193,False,True,True
0,19,layer2.2.conv1.weight,256x512x1x1,2000,82.82981563946427,0.29799535870552063,0.20620623230934143,9.101195651673866,0.10987567329311097,1.1049067080548054,0.013339167308576358,0.6402118249684189,0.4468275308609009,-2.6226043701171875e-05,0.0005000000000000004,-3.325939178466797e-05,8.791685104370117e-06,0.366,3.6031548976898193,False,True,True
0,20,layer2.2.conv2.weight,256x256x3x3,2000,120.48486544814055,0.6411914825439453,0.4007183313369751,10.976778983045175,0.09110140611782458,1.1325954232839615,0.009399937465912087,0.688162422938439,1.3538762331008911,-2.9325485229492188e-05,-0.0005000000000000004,-8.535385131835938e-05,-2.9243528842926025e-05,0.366,3.6031548976898193,False,True,True
0,21,layer2.2.conv3.weight,512x256x1x1,2000,92.93342196545768,0.36152005195617676,0.2317158579826355,9.640331993525793,0.10373086742983283,1.167584598914001,0.012563319988729308,0.5771824398591066,0.5812792778015137,2.3126602172851562e-05,0.0005000000000000004,2.3484230041503906e-05,-3.334134817123413e-05,0.366,3.6031548976898193,False,True,True
0,22,layer2.3.conv1.weight,256x512x1x1,2000,83.0321645251795,0.2804529368877411,0.198366180062294,9.112192227396854,0.10974307554590265,1.1271095824334156,0.013574391730410707,0.5099005079191071,0.41595780849456787,-5.745887756347656e-05,-0.0005000000000000004,-0.00018107891082763672,-2.4363398551940918e-05,0.366,3.6031548976898193,False,True,True
0,23,layer2.3.conv2.weight,256x256x3x3,2000,119.10771912853859,0.5877526998519897,0.36239805817604065,10.913890715133872,0.09162635270053954,1.1418785462238956,0.009586515326911127,0.6001494097422554,1.1905689239501953,5.14984130859375e-05,-0.0005000000000000004,9.655952453613281e-06,1.7955899238586426e-05,0.366,3.6031548976898193,False,True,True
0,24,layer2.3.conv3.weight,512x256x1x1,2000,84.55022783228023,0.34179335832595825,0.23012675344944,9.19521339857769,0.10875223408677814,1.204989926627804,0.014251476132844738,0.4361177233798312,0.5212100744247437,8.416175842285156e-05,0.0,0.00010347366333007812,-4.194676876068115e-06,0.366,3.6031548976898193,False,True,True
0,25,layer3.0.conv1.weight,512x512x1x1,2000,95.69273828723684,0.46776726841926575,0.36384153366088867,9.782615122240129,0.10222215506838923,1.184701475600604,0.012379383936059005,0.3644057317903188,0.7904586791992188,-5.5789947509765625e-05,0.0,-7.963180541992188e-05,2.650916576385498e-05,0.366,3.6031548976898193,False,True,True
0,26,layer3.0.conv2.weight,512x512x3x3,2000,175.74574124933457,0.7265616059303284,0.44476431608200073,13.257286491523978,0.07543021723482767,1.1517566101497219,0.006553170565489896,0.6493926071596898,1.9061425924301147,-3.5762786865234375e-05,0.0,-4.470348358154297e-05,1.169741153717041e-06,0.366,3.6031548976898193,False,True,True
0,27,layer3.0.conv3.weight,1024x512x1x1,2000,135.46277241940092,0.4863830506801605,0.306706964969635,11.639126864410509,0.08591709770410234,1.1802668185607041,0.008712431313704243,0.6197032801430254,1.051493763923645,2.6464462280273438e-05,-0.0005000000000000004,9.655952453613281e-06,-1.3612210750579834e-05,0.366,3.6031548976898193,False,True,True
0,28,layer3.0.downsample.0.weight,1024x512x1x1,2000,104.87793202852203,0.6101987957954407,0.4518848955631256,10.241068173710683,0.09764606416419025,1.2305743283395316,0.01173322458563882,0.512534913355848,1.1230263710021973,5.91278076171875e-05,0.0,0.00011599063873291016,3.666430711746216e-05,0.366,3.6031548976898193,False,True,True
0,29,layer3.1.conv1.weight,512x1024x1x1,2000,134.22273696386733,0.30280548334121704,0.18654024600982666,11.58577140204284,0.08631276807547547,1.1917802320882567,0.008878636028837029,0.547154293312423,0.6016119718551636,6.747245788574219e-05,-0.0005000000000000004,8.940696716308594e-06,7.241964340209961e-06,0.366,3.6031548976898193,False,True,True
0,30,layer3.1.conv2.weight,512x512x3x3,2000,178.85810532089525,0.6468060612678528,0.38400471210479736,13.374364932594297,0.07476990534054649,1.209449948312716,0.006761476708656302,0.6394645423062335,1.6610130071640015,2.3126602172851562e-05,-0.0005000000000000004,2.205371856689453e-05,-2.03549861907959e-05,0.366,3.6031548976898193,False,True,True
