seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,protocol_version,search_id,setting_id,setting_index,phase,multiplicity_family,planned_family_size,partition_id,head_train_per_class,tail_train_per_class,tail_eval_per_class,warmup_steps,target_head_gain_fraction_registered,fresh_protocol_id,protocol_status
0,frobenius,layer3.1.conv2.weight,256x256x3x3,28.588161765058626,28.589311805420323,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,frobenius,layer4.0.conv1.weight,512x256x3x3,31.571137276845075,31.571933234761904,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,frobenius,layer4.0.conv2.weight,512x512x3x3,33.918593643554814,33.91832280310096,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,frobenius,layer4.0.downsample.0.weight,512x256x1x1,14.082532618844025,14.082362063697905,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,frobenius,layer4.1.conv1.weight,512x512x3x3,26.486904364397038,26.487090924449017,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,frobenius,layer4.1.conv2.weight,512x512x3x3,19.770662818122492,19.77043603578201,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,frobenius,fc.weight,100x512,21.11582952474636,21.115751719952943,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,conv1.weight,64x3x3x3,4.3634071579960585,26.999999999839545,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer1.0.conv1.weight,64x64x3x3,23.115270181064737,63.99999999816447,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer1.0.conv2.weight,64x64x3x3,30.448196793083337,63.999999998115825,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
