split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_role,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,threshold_below_one_accuracy_ci95_low,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,2000,source_observed_drift_positive_control,positive_control,21,0.29740259740259745,-0.186322151835066,0.6650752306318698,0.5312994685356275,0.09646103386854928,0.7958341209900269,0.2,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,5000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,54,0.017495711835334476,-0.2576787413478691,0.2900450531263624,0.07915187974023295,-0.1991047322697042,0.3455978030138624,0.0,,,0.48148148148148145,,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,5000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,54,0.005984372022107871,-0.2683950822825783,0.2794656876857652,-0.01537545592634669,-0.2881014480507304,0.2596576669615138,0.4,0.5185185185185185,0.5185185185185185,0.48148148148148145,0.9629629629629629,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,5000,early_layer_prior,baseline,54,-0.7031446540880502,-0.8192759456578339,-0.5316018460323673,-0.7944803912854629,-0.8774516803269563,-0.6653466671051185,0.0,,,0.48148148148148145,,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,5000,source_observed_drift_positive_control,positive_control,21,-0.045454545454545456,-0.49350098787168734,0.42165745877423627,0.1364139749078328,-0.3433826797655077,0.5597450198535112,0.2,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,10000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,54,0.6011435105774727,0.3917095819957595,0.7513525413442027,0.641189937135849,0.4455015969185966,0.778404760565794,0.4,,,1.0,,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,10000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.6465789975223936,-0.782006693491369,-0.45284989746892473,-0.6449506436601765,-0.7809192894087599,-0.45062676299579685,0.0,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,10000,early_layer_prior,baseline,54,0.031446540880503145,-0.24460001262221437,0.3027777370004512,-0.2690579680301126,-0.5057228259157239,0.005269913381349775,0.0,,,1.0,,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,5000,10000,source_observed_drift_positive_control,positive_control,21,0.2714285714285714,-0.21345328454391033,0.6490164333963028,0.3388153783691792,-0.14148285692205,0.6899947572202911,0.2,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,2000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,54,0.6766914427291785,0.49440017364330413,0.8019680832075367,0.6664563345843413,0.48018331263483155,0.7952145219797201,0.4,,,1.0,,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,2000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.670516485610825,-0.7978974114989494,-0.48581129331379064,-0.6354612270938549,-0.7745658806472568,-0.4377189688389258,0.0,1.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,2000,early_layer_prior,baseline,54,0.3881456070135315,0.1277943121481652,0.5984525640774081,0.10314092303765605,-0.17576465565989427,0.3667189693848675,0.0,,,1.0,,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,2000,source_observed_drift_positive_control,positive_control,21,0.3649350649350649,-0.1121508482955353,0.7052951230586447,0.60099518474022,0.1969058403871969,0.8305465132705997,0.2,1.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,5000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,54,0.04341528492471888,-0.23329883468276214,0.3136247549489173,0.09172686789707317,-0.18690917193214507,0.35670322810995064,0.0,,,0.48148148148148145,,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,5000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.016275967219363443,-0.28892720711801306,0.258817463312912,-0.02270544788953336,-0.2948112056439128,0.25280644682334863,0.4,0.5185185185185185,0.5185185185185185,0.48148148148148145,0.9629629629629629,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,5000,early_layer_prior,baseline,54,-0.6805793786925861,-0.8045251436997789,-0.499826310677015,-0.7689878668755992,-0.8614562868470576,-0.6271644341589429,0.0,,,0.48148148148148145,,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,5000,source_observed_drift_positive_control,positive_control,21,-0.10259740259740259,-0.5357330917738798,0.3732831573356844,0.16824867650280215,-0.3143168237147087,0.581718218102011,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,10000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,54,0.6130360205831904,0.4075360240342726,0.7594392369320094,0.6520136377135133,0.4602870989475203,0.7856299529512323,0.4,,,1.0,,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,10000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.6493996569468267,-0.7838883624822065,-0.4567065539389777,-0.6436918736444247,-0.7800781258377912,-0.44890985857919,0.0,1.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,10000,early_layer_prior,baseline,54,0.08953687821612348,-0.18903927674261733,0.3547745397257912,-0.1942202351482255,-0.44450973779870995,0.08419899695757345,0.0,,,1.0,,-0.11792713215154826,0.6101643131658269
v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,10000,10000,source_observed_drift_positive_control,positive_control,21,0.2896103896103896,-0.1945396996842432,0.660293033500864,0.4088511029399142,-0.060885718095195884,0.7303247785399672,0.2,1.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,2000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.735064935064935,-0.8926561753426974,-0.41733912628919356,-0.8597296811977375,-0.9454960540061534,-0.6624210479105621,0.0,,,1.0,,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,2000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6870129870129871,0.3337873693175276,0.871062897012437,0.8022334085009168,0.543884306335674,0.9216744699315036,0.8,1.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,2000,early_layer_prior,baseline,21,-0.9155844155844156,-0.967790657435487,-0.7878815481040444,-0.7851476194572926,-0.9144176223384953,-0.5105404856821609,0.0,,,1.0,,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,2000,source_observed_drift_positive_control,positive_control,21,-0.12337662337662336,-0.5505711124195122,0.35502661881523545,0.05390814759356436,-0.414664804856258,0.4998847828392247,0.2,1.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,5000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.725974025974026,-0.888625697142956,-0.40110901861323006,-0.8432214294924251,-0.9387491063116933,-0.6273448318300651,0.0,,,1.0,,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,5000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6350649350649351,0.24930077290631988,0.8468900999953803,0.7816678993754562,0.5038493706298331,0.9129294244649284,0.8,1.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
