group_type,problem_family,base_setting,source_algo,horizon,metric,n_pairs,switched_better_pairs,mean_signed_switched_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_switched_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,loss_after,5,0,1.431966674743458,1.2798438219450463,1.5840895275418698,1.4279942897411568,1.289376985788576,1.5815139513182852,5,3.2715840594878414e-05,2.670445863686552e-05,3.872722255289131e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,total_decrease,5,0,0.14003678408666917,0.1257716456570862,0.15430192251625213,0.13965590496590555,0.12601465161120654,0.15477384210862324,5,-3.2715840594878414e-05,-3.872722255289131e-05,-2.670445863686552e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,recovery_after,5,0,1.175060329527891,1.1156368918653612,1.2344837671904207,1.174304182039165,1.1176707996198383,1.2338072287687205,5,0.12625388631925263,0.09738136938426105,0.1551264032542442
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,loss_after,5,0,2.539507753035186,1.6809986203832965,3.398016885687076,2.4735097554932985,1.8156508905760298,3.3697284771410287,5,5.7374775149233426e-05,4.9204034800383744e-05,6.55455154980831e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,total_decrease,5,0,0.231868810498216,0.1965319917964688,0.2672056291999632,0.23040088500017897,0.1966171563165611,0.26998950042486386,5,-5.7374775149233426e-05,-6.554551549808311e-05,-4.9204034800383744e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,recovery_after,5,0,1.581736241439831,1.3501034394515974,1.8133690434280647,1.5733706665892682,1.3661387138222756,1.8120379939731375,5,0.2933654137449858,0.2323835021521068,0.35434732533786484
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,10,loss_after,5,0,3.8881887227837084,2.78518756992406,4.991189875643357,3.8022676794060986,2.8216088042884255,5.123757582512282,5,3.514657484944907e-05,2.504649295414231e-05,4.524665674475582e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,10,total_decrease,5,0,0.66163750389934,0.5780017199826117,0.7452732878160682,0.6589765093938704,0.5822723062359687,0.7457851511779573,5,-3.514657484944907e-05,-4.524665674475582e-05,-2.5046492954142313e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,10,recovery_after,5,0,1.9894886389623612,1.6869762608775463,2.292001017047176,1.977277171006199,1.6933330329057643,2.308834077531311,5,0.29138688101665433,0.21169651532580708,0.3710772467075016
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,30,loss_after,5,5,0.5106882917750639,0.3309377925877891,0.6904387909623387,0.49326545941746835,0.3396036742417035,0.7164551855854078,5,-8.79004955874023e-07,-1.385743323349222e-06,-3.722665883988239e-07
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,30,total_decrease,5,5,1.007663198238183,1.0034505855753177,1.0118758109010482,1.0076586296512595,1.0034555752277698,1.0118792889064159,5,8.790049558740252e-07,3.7226658839882996e-07,1.3857433233492205e-06
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Adam,30,recovery_after,5,5,0.6661357587718828,0.546067505713882,0.7862040118298836,0.6604909376779857,0.5508377646548235,0.7919723496592778,5,-0.03721693708189838,-0.05366982369272011,-0.020764050471076653
