problem_family,setting,kappa,lr,seed_count,mean_delta_nrG,delta_nrG_ci95_low,delta_nrG_ci95_high,nrG_muon_higher_seed_count,mean_delta_stA,delta_stA_ci95_low,delta_stA_ci95_high,stA_muon_higher_seed_count,stA_ci95_excludes_zero,mean_delta_loss,delta_loss_ci95_low,delta_loss_ci95_high,mean_delta_recovery,delta_recovery_ci95_low,delta_recovery_ci95_high,centroid_distance_std,nearest_centroid_balanced_accuracy,delta_stA_95ci
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=1e-02,1.0,0.01,5,2.568756771751147,2.0017626158547257,3.1357509276475684,5,1.606294315880493,1.121690276222536,2.09089835553845,5,True,0.00021933471636271943,0.00013409299691852277,0.0003045764358069161,0.0030774237658176126,0.002197413024527358,0.003957434507107867,2.2655128930013055,0.8909090909090909,"[1.122, 2.091]"
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=3e-02,1.0,0.03,5,3.2522479060249503,3.0768061461207354,3.427689665929165,5,2.013389469260563,1.6400346107979633,2.3867443277231626,5,True,-0.0006836036919062538,-0.0008429268354070323,-0.0005242805484054753,-0.05947494191137633,-0.06628388196574903,-0.05266600185700363,2.474458318187482,0.9363636363636363,"[1.64, 2.387]"
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=1 num_factors=10 input_columns_multiplier=2 lr=3e-03,1.0,0.003,5,0.9083447241160318,0.4363011479725689,1.3803883002594948,5,0.4752217086672627,0.20414531499549676,0.7462981023390287,5,True,1.3436562485156815e-05,7.186383238507483e-06,1.9686741731806147e-05,0.00017584691201578785,0.00013198847431760536,0.00021970534971397035,1.4411027819806848,0.7181818181818183,"[0.2041, 0.7463]"
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=1e-02,10.0,0.01,5,1.69779426286495,1.3565234372433326,2.0390650884865673,5,1.6367861874768068,1.2098350062921384,2.0637373686614753,5,True,0.0001751503540360062,0.00012222782002876327,0.0002280728880432491,0.018486193192435323,0.013668373871851127,0.023304012513019518,2.2985794171080536,0.9181818181818182,"[1.21, 2.064]"
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=3e-02,10.0,0.03,5,1.4673331024236318,1.3420321596189713,1.5926340452282923,5,1.7275220045669601,1.4430074215253792,2.012036587608541,5,True,1.4332728867149625e-05,-6.418969038511632e-05,9.285514811941558e-05,-0.01421247171838971,-0.02355120437466666,-0.004873739062112758,2.2977276886701103,0.9363636363636363,"[1.443, 2.012]"
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=3e-03,10.0,0.003,5,0.7548618037400606,0.49664029670762516,1.0130833107724961,5,0.5491188212920839,0.12898772461285307,0.9692499179713148,5,True,1.1783023552981142e-05,8.126394675902521e-06,1.5439652430059762e-05,0.001098382711151175,0.000882476086331331,0.001314289335971019,1.5690353954455398,0.7727272727272727,"[0.129, 0.9692]"
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=1e-02,1.0,0.01,5,-0.15270804888344333,-0.20341500658568318,-0.10200109118120348,0,0.0,0.0,0.0,0,False,-0.001372666265763965,-0.0024277385043442205,-0.00031759402718370953,-0.000785661424997978,-0.001640563388727089,6.924053873113298e-05,0.405417877962625,0.5333333333333333,"[0, 0]"
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=3e-02,1.0,0.03,5,-0.4591628045112862,-0.628301764351884,-0.2900238446706885,0,0.0,0.0,0.0,0,False,-0.0025644228876555144,-0.0051440960203898945,1.5250245078865694e-05,-0.0021553574937988075,-0.004690713785456432,0.0003799987978588162,0.9524952851197903,0.7166666666666667,"[0, 0]"
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=3e-03,1.0,0.003,5,-0.04675747708231898,-0.060533248183499616,-0.03298170598113834,0,0.0,0.0,0.0,0,False,-0.00047751116729135196,-0.00083694176032794,-0.00011808057425476387,-0.0002601710641385517,-0.0005392682014765387,1.892607319943534e-05,0.12807505171790828,0.5,"[0, 0]"
MatrixSensing,overlap MS d=20 rank=10 kappa=10 measurement_multiplier=2 lr=1e-02,10.0,0.01,5,-0.5268856686208112,-0.6172268581736944,-0.436544479067928,0,0.0,0.0,0.0,0,False,5.048685538818974e-05,-0.000278960937084499,0.00037993464786087845,0.008137543721259011,0.006023642328153869,0.010251445114364155,1.052772514962232,0.7333333333333334,"[0, 0]"
