row_type,held_out_family,feature,test_pairs,train_min,train_max,test_min,test_max,frac_test_outside_train_range,mean_feature_outside_fraction,frac_pairs_with_any_feature_outside,median_min_standardized_distance,p90_min_standardized_distance
feature,MatrixFactorizationInput,muon_grad_rank_fraction,300,0.32801223582338446,0.7389734338101019,0.25077066021192906,0.7806126123064495,0.03333333333333333,,,,
feature,MatrixFactorizationInput,adam_grad_rank_fraction,300,0.1895228036214294,0.7389734338101019,0.14274745026628802,0.6266233584775154,0.056666666666666664,,,,
feature,MatrixFactorizationInput,pair_mean_grad_rank_fraction,300,0.2651538378635061,0.7389734338101019,0.23259883397033512,0.6194405898495732,0.01,,,,
feature,MatrixFactorizationInput,delta_mean_grad_rank_fraction,300,-0.1610765625450979,0.21410427724022746,-0.06376104382719,0.5842793216006095,0.3233333333333333,,,,
feature,MatrixFactorizationInput,condition_score_Muon,300,0.09147609084529137,4.562858526085294,0.6774621690264914,1.6591474880868158,0.0,,,,
feature,MatrixFactorizationInput,condition_score_Adam,300,0.11393343799982329,4.304308321188786,0.7446902327980418,2.3191614747399947,0.0,,,,
feature,MatrixFactorizationInput,delta_condition_score,300,-0.46201608976176534,1.3671151737683873,-1.081367846417874,0.7671483171702836,0.043333333333333335,,,,
feature,MatrixFactorizationInput,nrG_Muon,300,4.020308528854299,14.779468676202038,2.507706602119291,7.806126123064496,0.13666666666666666,,,,
feature,MatrixFactorizationInput,nrG_Adam,300,2.357736828249948,14.779468676202038,1.42747450266288,6.266233584775153,0.14333333333333334,,,,
feature,MatrixFactorizationInput,delta_nrG,300,-3.2215312509019576,2.462093107782075,-0.6376104382719006,5.842793216006097,0.26666666666666666,,,,
feature,MatrixFactorizationInput,stA_Muon,300,1.2878885820455264,103.13948246415207,3.3740756648271493,5.563755300840738,0.0,,,,
feature,MatrixFactorizationInput,stA_Adam,300,1.2307243877702092,103.13948246415207,1.9630289559156417,4.783099549207878,0.0,,,,
feature,MatrixFactorizationInput,delta_stA,300,-0.040410404296556734,0.2501239717971131,-0.3761789825604396,3.5409478086237263,0.8033333333333333,,,,
family_summary,MatrixFactorizationInput,ALL,300,,,,,,0.13974358974358975,0.83,14.586931598178008,35.43845647618265
feature,MatrixSensing,muon_grad_rank_fraction,225,0.25077066021192906,0.7806126123064495,0.457649519489893,0.7389734338101019,0.0,,,,
feature,MatrixSensing,adam_grad_rank_fraction,225,0.14274745026628802,0.6266233584775154,0.5875517915331666,0.7389734338101019,0.8844444444444445,,,,
feature,MatrixSensing,pair_mean_grad_rank_fraction,225,0.23259883397033512,0.6194405898495732,0.5340767503370628,0.7389734338101019,0.8444444444444444,,,,
feature,MatrixSensing,delta_mean_grad_rank_fraction,225,-0.06376104382719,0.5842793216006095,-0.1610765625450979,0.0,0.07555555555555556,,,,
feature,MatrixSensing,condition_score_Muon,225,0.6774621690264914,4.562858526085294,0.09147609084529137,0.3236022995010917,1.0,,,,
feature,MatrixSensing,condition_score_Adam,225,0.7446902327980418,4.304308321188786,0.11393343799982329,0.3238288885953577,1.0,,,,
feature,MatrixSensing,delta_condition_score,225,-1.081367846417874,1.3671151737683873,-0.03219637220387826,0.0,0.0,,,,
feature,MatrixSensing,nrG_Muon,225,2.507706602119291,7.806126123064496,9.15299038979786,14.779468676202038,1.0,,,,
feature,MatrixSensing,nrG_Adam,225,1.42747450266288,6.297205267065687,11.751035830663332,14.779468676202038,1.0,,,,
feature,MatrixSensing,delta_nrG,225,-0.6376104382719006,5.842793216006097,-3.2215312509019576,0.0,0.17333333333333334,,,,
feature,MatrixSensing,stA_Muon,225,1.2878885820455264,5.563755300840738,45.04343012446189,103.13948246415207,1.0,,,,
feature,MatrixSensing,stA_Adam,225,1.2307243877702092,4.783099549207878,45.04343012446189,103.13948246415207,1.0,,,,
feature,MatrixSensing,delta_stA,225,-0.3761789825604396,3.5409478086237263,0.0,0.0,0.0,,,,
family_summary,MatrixSensing,ALL,225,,,,,,0.6136752136752137,1.0,78.22087129696693,115.44519170941666
feature,SmallMLPDigits,muon_grad_rank_fraction,150,0.25077066021192906,0.7806126123064495,0.32801223582338446,0.5194041896564716,0.0,,,,
feature,SmallMLPDigits,adam_grad_rank_fraction,150,0.14274745026628802,0.7389734338101019,0.1895228036214294,0.5133751059716305,0.0,,,,
feature,SmallMLPDigits,pair_mean_grad_rank_fraction,150,0.23259883397033512,0.7389734338101019,0.2651538378635061,0.5133751059716305,0.0,,,,
feature,SmallMLPDigits,delta_mean_grad_rank_fraction,150,-0.1610765625450979,0.5842793216006095,-0.023071858087562347,0.21410427724022746,0.0,,,,
feature,SmallMLPDigits,condition_score_Muon,150,0.09147609084529137,1.6591474880868158,2.6622859446984397,4.562858526085294,1.0,,,,
feature,SmallMLPDigits,condition_score_Adam,150,0.11393343799982329,2.3191614747399947,1.9101041321154488,4.304308321188786,0.9666666666666667,,,,
feature,SmallMLPDigits,delta_condition_score,150,-1.081367846417874,0.7671483171702836,-0.46201608976176534,1.3671151737683873,0.16666666666666666,,,,
