group_type,group,predictor,outcome,points,spearman,spearman_ci95_low,spearman_ci95_high,ci95_excludes_zero
All,All,nrUpdateFrac,delta_loss,1350,0.16940832666697891,0.11706734964363621,0.22081079819514537,True
All,All,nrUpdateFrac,relative_loss_decrease,1350,0.08623903327829742,0.03299094609817965,0.13899893609334232,True
All,All,nrUpdateFrac,norm_rank_movement,1350,-0.012177245927479508,-0.06553464698719443,0.04124959319972277,False
All,All,nrUpdateFrac,norm_condition_movement,1350,-0.030758573663203122,-0.08402058510799336,0.0226786922328243,False
All,All,stUpdateFrac,delta_loss,1350,0.23873003806163628,0.1877231521117036,0.28845280349453306,True
All,All,stUpdateFrac,relative_loss_decrease,1350,0.05075494453487649,-0.0026522598797052,0.10387343078835026,False
All,All,stUpdateFrac,norm_rank_movement,1350,0.08049449495104735,0.027211444869468658,0.1333214410488861,True
All,All,stUpdateFrac,norm_condition_movement,1350,0.05109309897707771,-0.002313228326261624,0.10420879454381667,False
All,All,update_flatness,delta_loss,1350,0.12440949238899994,0.07148438069218234,0.17663603236043066,True
All,All,update_flatness,relative_loss_decrease,1350,0.07476296698968161,0.021448581140724655,0.12765334691849828,True
All,All,update_flatness,norm_rank_movement,1350,0.09387972911098436,0.040683667665436844,0.14654508830225518,True
All,All,update_flatness,norm_condition_movement,1350,0.0909081572060755,0.03769111264579828,0.143611013918589,True
All,All,relative_update_fro_norm,delta_loss,1350,0.9177360713902084,0.908877526203981,0.9257669161997469,True
All,All,relative_update_fro_norm,relative_loss_decrease,1350,0.40817289182157857,0.36267796396115914,0.45172687062558936,True
All,All,relative_update_fro_norm,norm_rank_movement,1350,0.11919771625142563,0.06621919607090547,0.17150606864739742,True
All,All,relative_update_fro_norm,norm_condition_movement,1350,0.16368296573227764,0.11125539681806523,0.21520197162850352,True
All,All,update_grad_inner,delta_loss,1350,0.9861711931437731,0.984622955526056,0.9875645232251175,True
All,All,update_grad_inner,relative_loss_decrease,1350,0.5436854609461452,0.5049454309025598,0.5802394926291345,True
All,All,update_grad_inner,norm_rank_movement,1350,-0.022310525882928388,-0.07562044896331992,0.03112657372561616,False
All,All,update_grad_inner,norm_condition_movement,1350,0.07149542590817455,0.018164760408501384,0.12442042249685593,True
All,All,update_grad_cosine,delta_loss,1350,0.7253951873102905,0.6990746053658251,0.7497526968947854,True
All,All,update_grad_cosine,relative_loss_decrease,1350,0.49340674504800125,0.45191371925613183,0.5327693914069602,True
All,All,update_grad_cosine,norm_rank_movement,1350,-0.20825340725823857,-0.25877564774055806,-0.15659484107528643,True
All,All,update_grad_cosine,norm_condition_movement,1350,-0.14612744558475058,-0.19798256243961537,-0.09345669162631205,True
All,All,update_grad_per_update_norm,delta_loss,1350,0.9115184493706631,0.9020245692936187,0.9201309972604867,True
All,All,update_grad_per_update_norm,relative_loss_decrease,1350,0.42301875320379767,0.3781610969904321,0.46589457951685515,True
All,All,update_grad_per_update_norm,norm_rank_movement,1350,-0.1597741331241237,-0.2113707462883672,-0.10728950492248006,True
All,All,update_grad_per_update_norm,norm_condition_movement,1350,-0.062329460497794295,-0.11534556095867551,-0.008959264506430913,True
family,MatrixFactorizationInput,nrUpdateFrac,delta_loss,600,-0.13564657290512322,-0.21352971612506508,-0.056050097487448186,True
family,MatrixFactorizationInput,nrUpdateFrac,relative_loss_decrease,600,-0.17315402998423018,-0.2498898337350849,-0.09425678806438215,True
family,MatrixFactorizationInput,nrUpdateFrac,norm_rank_movement,600,-0.34540803426854066,-0.4141409996191347,-0.2727582151121095,True
family,MatrixFactorizationInput,nrUpdateFrac,norm_condition_movement,600,-0.325383950151089,-0.39527442647120775,-0.2517477376222747,True
family,MatrixFactorizationInput,stUpdateFrac,delta_loss,600,0.09971364681482657,0.01966463380417616,0.17849240910790445,True
family,MatrixFactorizationInput,stUpdateFrac,relative_loss_decrease,600,0.06882725786319671,-0.011442191452756345,0.14821533717524346,False
family,MatrixFactorizationInput,stUpdateFrac,norm_rank_movement,600,-0.17662959316207894,-0.25324816036827996,-0.09780894922221219,True
family,MatrixFactorizationInput,stUpdateFrac,norm_condition_movement,600,-0.20055620043093322,-0.2763176749862536,-0.12231749944342481,True
family,MatrixFactorizationInput,update_flatness,delta_loss,600,0.18950192056362541,0.11098248646518029,0.2656702179519235,True
family,MatrixFactorizationInput,update_flatness,relative_loss_decrease,600,0.19506103751481813,0.11668022973898465,0.27102707029583145,True
family,MatrixFactorizationInput,update_flatness,norm_rank_movement,600,-0.2415866992195514,-0.31567619777672057,-0.1645692355948104,True
family,MatrixFactorizationInput,update_flatness,norm_condition_movement,600,-0.15141750947590635,-0.22884455973466591,-0.07208669200783054,True
family,MatrixFactorizationInput,relative_update_fro_norm,delta_loss,600,0.6699291336020331,0.623209468752294,0.7118840871756261,True
family,MatrixFactorizationInput,relative_update_fro_norm,relative_loss_decrease,600,0.6687658233286072,0.6219187784229897,0.710843040057575,True
family,MatrixFactorizationInput,relative_update_fro_norm,norm_rank_movement,600,0.37998348548889027,0.30920073170063533,0.4465793426436173,True
family,MatrixFactorizationInput,relative_update_fro_norm,norm_condition_movement,600,0.3950929078771156,0.3251915989083802,0.46070009699227477,True
family,MatrixFactorizationInput,update_grad_inner,delta_loss,600,0.9038435662321285,0.8880128251431343,0.9175341876225669,True
family,MatrixFactorizationInput,update_grad_inner,relative_loss_decrease,600,0.832281256336823,0.8058701809122747,0.8553868844775858,True
family,MatrixFactorizationInput,update_grad_inner,norm_rank_movement,600,0.11412387256631266,0.03423091954941396,0.1925674993407529,True
family,MatrixFactorizationInput,update_grad_inner,norm_condition_movement,600,0.2794707763077119,0.20383348344559188,0.3517915430305096,True
family,MatrixFactorizationInput,update_grad_cosine,delta_loss,600,0.534693926133929,0.47485205860593105,0.5896141289793789,True
family,MatrixFactorizationInput,update_grad_cosine,relative_loss_decrease,600,0.4378601477368157,0.37067152720234026,0.500489667427375,True
family,MatrixFactorizationInput,update_grad_cosine,norm_rank_movement,600,0.14714983972245652,0.06774308265464149,0.22470408933262692,True
family,MatrixFactorizationInput,update_grad_cosine,norm_condition_movement,600,0.1253804993578251,0.04563311575289057,0.20353992410214886,True
family,MatrixFactorizationInput,update_grad_per_update_norm,delta_loss,600,0.8079692005785489,0.7781931036493486,0.8341209385073887,True
