group_type,group,points,median_cosine_sq,median_gradient_rank_fraction,median_abs_identity_error,max_abs_identity_error,mean_abs_identity_error
All,All,3525,0.5021934974521929,0.5021934974521904,3.3306690738754696e-16,8.992806499463768e-15,7.667231703749972e-16
family,MatrixFactorizationInput,3000,0.4937647582397748,0.4937647582397745,4.440892098500626e-16,8.992806499463768e-15,8.545016546198288e-16
family,MatrixSensing,225,0.6742788258705962,0.6742788258705963,2.220446049250313e-16,1.3322676295501878e-15,3.2393840696285123e-16
family,SmallMLPDigits,300,0.40558200559518337,0.40558200559518315,1.6653345369377348e-16,1.0547118733938987e-15,2.2102690048579157e-16
