trajectory_step,direction,geomean_tail_output_drift_sq_ratio_vs_fro,tail_output_drift_sq_ratio_vs_fro_ci95_low,tail_output_drift_sq_ratio_vs_fro_ci95_high,mean_direction_cosine_to_polar_grad,direction_cosine_to_polar_grad_ci95_low,direction_cosine_to_polar_grad_ci95_high,mean_gradient_momentum_cosine,gradient_momentum_cosine_ci95_low,gradient_momentum_cosine_ci95_high
0,polar_grad,0.5907425923437888,0.5498217304705454,0.6347090176126731,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
0,polar_momentum,0.5907214406505341,0.5497912550774806,0.6346987465180138,0.7327669511927105,0.7005841634520725,0.7649497389333485,1.0,0.9999999999999999,1.0
0,ns_momentum,0.6316116093532242,0.5866889772593666,0.6799739564450814,0.5163496778025762,0.5041857740376949,0.5285135815674575,1.0,0.9999999999999999,1.0
1,polar_grad,0.5505868506853642,0.513823400663728,0.5899806816039145,1.0,1.0,1.0,0.8918887086017122,0.8492638090998648,0.9345136081035597
1,polar_momentum,0.660298230506017,0.5936367294721858,0.7344453797476914,0.5072279479609281,0.4732650715858323,0.5411908243360238,0.8918887086017122,0.8492638090998648,0.9345136081035597
1,ns_momentum,0.7195131683677042,0.6528702207157231,0.7929588194220182,0.4485669240326028,0.42719505982428246,0.4699387882409231,0.8918887086017122,0.8492638090998648,0.9345136081035597
2,polar_grad,0.5649328668675754,0.5320178158919403,0.5998843169042313,1.0,1.0,1.0,0.8407880080200878,0.7873836794309363,0.8941923366092392
2,polar_momentum,0.7726151660171915,0.6917091329355738,0.862984405347401,0.4218004945123253,0.3920059053412479,0.45159508368340273,0.8407880080200878,0.7873836794309363,0.8941923366092392
2,ns_momentum,0.8557539049008277,0.7634868825648196,0.9591713524833765,0.41811881991464206,0.39900529726222883,0.4372323425670553,0.8407880080200878,0.7873836794309363,0.8941923366092392
3,polar_grad,0.5659488040042894,0.5245590043379044,0.6106044241069964,1.0,1.0,1.0,0.791511980967373,0.7425612694484524,0.8404626924862936
3,polar_momentum,0.7921250240248832,0.7056499380601786,0.8891973482082428,0.3969554929521835,0.3769655672943915,0.4169454186099755,0.791511980967373,0.7425612694484524,0.8404626924862936
3,ns_momentum,0.8848835867324248,0.7890852055222976,0.9923123087197645,0.4101436523190058,0.3925639290109222,0.4277233756270894,0.791511980967373,0.7425612694484524,0.8404626924862936
4,polar_grad,0.5409792406561631,0.5096903132257912,0.5741889363537346,1.0,0.9999999999999999,1.0,0.8240833741397866,0.776894426389555,0.8712723218900182
4,polar_momentum,0.7669490459944116,0.6771192224714241,0.8686961167707239,0.40598221576903565,0.38488318019870543,0.42708125133936586,0.8240833741397866,0.776894426389555,0.8712723218900182
4,ns_momentum,0.8506063207704795,0.7540578633260974,0.959516700407109,0.4160827837789108,0.39965769798942186,0.4325078695683997,0.8240833741397866,0.776894426389555,0.8712723218900182
5,polar_grad,0.550463208777763,0.5150633028182658,0.5882961231365859,1.0,1.0,1.0,0.8051479633746583,0.7389132964707508,0.8713826302785659
5,polar_momentum,0.8214344112126235,0.726667883491201,0.9285596725184014,0.3934679850035062,0.3663615009543435,0.42057446905266893,0.8051479633746583,0.7389132964707508,0.8713826302785659
5,ns_momentum,0.9086194373700474,0.796507155946096,1.0365120712393618,0.4070992033340253,0.38563475105321154,0.428563655614839,0.8051479633746583,0.7389132964707508,0.8713826302785659
