seed,trajectory_step,direction,head_classes,tail_classes,warmup_steps,hidden_dim,momentum_beta,trajectory_steps,trajectory_lr,newton_schulz_steps,head_gradient_fro_norm,momentum_fro_norm,gradient_momentum_cosine,direction_cosine_to_polar_grad,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment
0,0,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5036348234553122,0.0503634823455312,1.0000000000000002,0.30113486853956306,0.12245400290366898,0.12010049103983345,0.0023535118638355335,0.002347386176884874,12.431107949501623,12.434798168562912,0.0036902190612888575,0.19,0.19,0.0,-11.462027261065277,-11.469462682973871,0.007435421908594364,0.5897587344358136,0.013187406205227247,0.5897826329150262,3.287153362916035e-05,5.573499759850739e-05,0.004660889334021913,0.004253414670320708,0.004660889334021913,0.5036348234553122
0,0,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5036348234553122,0.0503634823455312,1.0000000000000002,1.0000000000000002,0.12245400290366898,0.12007320897175082,0.00238079393191816,0.002347386176884874,12.431107949501623,12.437236042362981,0.00612809286135807,0.19,0.19,0.0,-11.462027261065277,-11.473143288916852,0.011116027851574728,0.4975081415708576,0.011124620239120267,0.4975166718073546,0.00024652702747466395,0.0004955151082256047,0.015477747085969109,0.0023882682252310415,0.00238826822523104,0.9828821369751252
0,0,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5036348234553122,0.0503634823455312,1.0000000000000002,0.7237215379896194,0.12245400290366898,0.12007320897175082,0.00238079393191816,0.002347386176884874,12.431107949501623,12.437236042364818,0.006128092863194823,0.19,0.19,0.0,-11.462027261065277,-11.473143288918687,0.011116027853409705,0.4975310577266728,0.011125132659942126,0.49754029814808826,0.00024925352695672376,0.0005009715351389201,0.015477747085969114,0.0023882682252310415,0.00238826822523104,0.982882136975125
0,0,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5036348234553122,0.0503634823455312,1.0000000000000002,0.5325044590834199,0.12245400290366898,0.12007858534759973,0.002375417556069251,0.002347386176884874,12.431107949501623,12.435933650284124,0.004825700782500775,0.19,0.19,0.0,-11.462027261065277,-11.471248545020647,0.009221283955369586,0.5130104918651945,0.011471263329811772,0.5130639890224117,0.0009332498817410934,0.0018189736596390263,0.007037978675249229,0.002614083590627738,0.0026140835906277382,0.897976707899069
0,1,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5679673131601428,0.09496907751600348,0.9446210165683926,0.2922178803100695,0.12851630387026652,0.12593274877794955,0.0025835550923169748,0.0027397215190429532,12.432940077492827,12.44116362976657,0.008223552273744161,0.19,0.19,0.0,-11.465550509001577,-11.481806773724236,0.016256264722658287,0.7005784189964106,0.015665409684453045,0.7005694707878629,0.00027645366037771564,0.00039461277133132116,0.004823730971064645,0.004318892419173742,0.004823730971064646,0.5679673131601427
0,1,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5679673131601428,0.09496907751600348,0.9446210165683926,1.0,0.12851630387026652,0.12592274505288864,0.0025935588173778834,0.0027397215190429532,12.432940077492827,12.443304907704038,0.01036483021121093,0.19,0.19,0.0,-11.465550509001577,-11.482611925464498,0.01706141646292103,0.5530901562139552,0.012367471869803817,0.5530130666040942,0.0003068135437830136,0.0005548034256533462,0.01650730942934166,0.0025471331438082488,0.002547133143808247,1.0756098579702689
0,1,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5679673131601428,0.09496907751600348,0.9446210165683926,0.5959505302416687,0.12851630387026652,0.1259144925025187,0.002601811367747814,0.0027397215190429532,12.432940077492827,12.442658197962675,0.009718120469848657,0.19,0.19,0.0,-11.465550509001577,-11.481789211649549,0.016238702647971337,0.5625643825697014,0.012579322011460505,0.5625563852562863,0.0008208667932523583,0.001459172475445981,0.017056130463086044,0.002631818067844666,0.002631818067844665,1.0409995859959484
0,1,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.5679673131601428,0.09496907751600348,0.9446210165683926,0.4800142538799118,0.12851630387026652,0.12591150603796109,0.002604797832305439,0.0027397215190429532,12.432940077492827,12.440807217762217,0.00786714026938995,0.19,0.19,0.0,-11.465550509001577,-11.480014686297912,0.014464177296334313,0.572492885142947,0.01280133007814609,0.5725114892236945,0.001498841594190494,0.002618011380387965,0.007389385898444329,0.002813452299211666,0.002813452299211666,0.9737934848977634
0,2,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.310748013643498,0.11158836109645241,0.881321116973537,0.3246123539106663,0.08138764290243553,0.07984645029826343,0.001541192604172098,0.0016487648545529126,12.435714903015441,12.44626759632546,0.010552693310019734,0.19,0.19,0.0,-11.47064980350263,-11.488807711167578,0.01815790766494807,0.7198334320773458,0.016095964866019236,0.7197665099239999,0.0008322845104515359,0.0011563256958696463,0.005305793704748949,0.004625451057860002,0.005305793704748948,0.31074801364349813
0,2,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,6,0.001,5,0.310748013643498,0.11158836109645241,0.881321116973537,1.0,0.08138764290243553,0.07982685033228201,0.001560792570153513,0.0016487648545529126,12.435714903015441,12.44561486327266,0.00989996025721851,0.19,0.19,0.0,-11.47064980350263,-11.486731250279004,0.01608144677637391,0.5538247745843885,0.012383898435941905,0.5537469062787945,0.0003016484121743325,0.0005447405823021642,0.016345014725499665,0.0025220905273243234,0.0025220905273243208,0.6537294505055229
