group_type,problem_family,setting,checkpoint_source,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
family,MatrixSensing,All,All,PolarMuon/FreshAdamSign,nrUpdate,210,1.4185008007929079,1.4148282215893544,1.4221829131947679,True,False,1.0
family,MatrixSensing,All,All,PolarMuon/FreshAdamSign,stUpdate,210,4.989575777500039,4.857382941737265,5.1253662184005195,True,False,1.0
family,MatrixSensing,All,All,PolarMuon/GD,delta_loss,210,0.8226884500733815,0.8196120656173985,0.825776381627947,False,True,0.0
family,MatrixSensing,All,All,PolarMuon/GD,update_grad_inner,210,0.8202130770520826,0.8171058185346407,0.8233321517324682,False,True,0.0
family,MatrixSensing,All,All,PolarMuon/GD,update_grad_cosine,210,0.8202130770520826,0.8171058185346407,0.8233321517324682,False,True,0.0
family,MatrixSensing,All,All,PolarMuon/GD,nrUpdate,210,1.4864373919824154,1.4751964189914815,1.4977640210067809,True,False,1.0
family,MatrixSensing,All,All,PolarMuon/GD,stUpdate,210,6.78964902431907,6.4568597516650925,7.13959039632986,True,False,1.0
family,SmallMLPDigits,All,All,FreshAdamSign/GD,delta_loss,210,0.6044793420960783,0.6006267428761582,0.6083566530374216,False,True,0.0
family,SmallMLPDigits,All,All,FreshAdamSign/GD,update_grad_inner,210,0.6063285795804946,0.6023924398460763,0.6102904387545739,False,True,0.0
family,SmallMLPDigits,All,All,FreshAdamSign/GD,update_grad_cosine,210,0.6063285795804946,0.6023924398460763,0.6102904387545739,False,True,0.0
family,SmallMLPDigits,All,All,FreshAdamSign/GD,nrUpdate,210,1.892896645020361,1.8370885612182286,1.9504000973983013,True,False,1.0
family,SmallMLPDigits,All,All,FreshAdamSign/GD,stUpdate,210,1.537576033206269,1.513990260670856,1.5615292378715597,True,False,1.0
family,SmallMLPDigits,All,All,PolarMuon/FreshAdamSign,delta_loss,210,0.856197294018919,0.8330260405804878,0.8800130735102618,False,True,0.3476190476190476
family,SmallMLPDigits,All,All,PolarMuon/FreshAdamSign,update_grad_inner,210,0.8526718284307738,0.8296840801502765,0.8762964897046019,False,True,0.34285714285714286
family,SmallMLPDigits,All,All,PolarMuon/FreshAdamSign,update_grad_cosine,210,0.8526718284307737,0.8296840801502764,0.8762964897046019,False,True,0.34285714285714286
family,SmallMLPDigits,All,All,PolarMuon/FreshAdamSign,nrUpdate,210,1.8896000066665888,1.8282668629316252,1.9529907026094295,True,False,1.0
