axis_id,split_id,split_role,split_display_name,score,score_role,gate_status,mean_spearman,spearman_ci95_low,spearman_ci95_high,top5_overlap,threshold_accuracy,threshold_ci95_low,evidence
architecture_primary_residual_ranking,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,pass,0.4299896237003155,0.224576565868377,0.635402681532254,0.2222222222222222,,,"primary residual Spearman=0.43 CI=[0.2246, 0.6354]"
architecture_direction_threshold_guardrail,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,fail,-0.4430595260783938,-0.6581313920563618,-0.2279876601004258,0.1333333333333333,0.8395061728395061,0.6822222222222222,"direction-axis below-one threshold accuracy=0.8395, CI low=0.6822"
architecture_early_layer_prior_baseline,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,early_layer_prior,baseline,pass,-0.0885288948182029,-0.3971469024462724,0.2200891128098664,0.0,,,primary score must beat early_layer_prior on residual Spearman and top-k overlap
architecture_source_observed_positive_control,v5_final_architecture_resnext50_32x4d_cifar100lt,v5_final_heldout_architecture,ResNeXt50-32x4d CIFAR-100-LT final architecture split,source_observed_drift_positive_control,positive_control,pass,0.1789321789321789,0.0399853186706638,0.3178790391936941,0.1777777777777777,0.8571428571428571,0.7171428571428571,"direction-axis, early-prior, and source-observed controls reported"
data_primary_residual_ranking,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,fail,-0.6851370851370852,-0.7179908499170665,-0.6522833203571038,0.0,,,"primary residual Spearman=-0.6851 CI=[-0.718, -0.6523]"
data_direction_threshold_guardrail,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,pass,0.654834054834055,0.6378549328722569,0.6718131767958531,0.8222222222222223,1.0,1.0,"direction-axis below-one threshold accuracy=1, CI low=1"
data_early_layer_prior_baseline,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,early_layer_prior,baseline,pass,-0.881962481962482,-0.9116880574107562,-0.8522369065142077,0.0,,,primary score must beat early_layer_prior on residual Spearman and top-k overlap
data_source_observed_positive_control,v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,source_observed_drift_positive_control,positive_control,pass,-0.0349206349206349,-0.088632883166936,0.0187916133256661,0.1333333333333333,1.0,1.0,"direction-axis, early-prior, and source-observed controls reported"
