source_warmup_steps,target_warmup_steps,score,score_family,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,target_observed_below_one_fraction,predicted_below_one_fraction
2000,5000,condition_score_v2_calibrated_residual,primary_candidate,21,0.4909090909090909,0.04204050093468775,0.7748888669176771,0.3648503179654465,-0.11224738148995629,0.7052459875588888,0.4,0.9523809523809523,1.0,0.9523809523809523
2000,5000,early_layer_prior,baseline,21,0.312987012987013,-0.16968147768626363,0.6745500063576563,0.06446541930143881,-0.4058536296618672,0.5077897065410393,0.2,,1.0,
2000,5000,legacy_scaled_jvp_ratio,baseline,21,-0.32597402597402597,-0.6823556981992658,0.15560076110646717,-0.3196912833973343,-0.6785896498199959,0.1624371304846036,0.2,1.0,1.0,1.0
2000,5000,theory_sign_composite,baseline,21,0.014285714285714285,-0.44696841192127473,0.46953897454718985,0.21517174941780973,-0.2697592633454308,0.6130416847694407,0.4,,1.0,
2000,5000,source_observed_drift_positive_control,positive_control,21,0.9428571428571428,0.8532514553006837,0.9783870537157292,0.9443729490173557,0.8569692093197908,0.9789705733268812,1.0,1.0,1.0,1.0
2000,10000,condition_score_v2_calibrated_residual,primary_candidate,21,0.6532467532467533,0.278217883466899,0.8554513441044986,0.5635868714119108,0.14191767409087983,0.8121341796119299,0.6,0.9523809523809523,1.0,0.9523809523809523
2000,10000,early_layer_prior,baseline,21,0.28051948051948056,-0.20404170836688962,0.654675549725842,-0.04248429210377602,-0.491246461138051,0.42410127444914536,0.2,,1.0,
2000,10000,legacy_scaled_jvp_ratio,baseline,21,-0.5532467532467533,-0.8069559348378852,-0.12716389533974654,-0.5378722625378529,-0.7991837212934174,-0.1055699652374463,0.0,1.0,1.0,1.0
2000,10000,theory_sign_composite,baseline,21,0.28181818181818186,-0.2026898455144489,0.6554805855906991,0.43520159865361596,-0.028888159055041402,0.74493983501502,0.4,,1.0,
2000,10000,source_observed_drift_positive_control,positive_control,21,0.9129870129870129,0.7818024016502895,0.9667717366155932,0.9303796665422486,0.8229906615512251,0.9735621699607775,0.8,1.0,1.0,1.0
5000,2000,condition_score_v2_calibrated_residual,primary_candidate,21,0.6012987012987013,0.19736263825811873,0.8306938795571414,0.42839917822357193,-0.0372404654476153,0.7411951911935992,0.6,1.0,1.0,1.0
5000,2000,early_layer_prior,baseline,21,0.18441558441558442,-0.29920131755763585,0.5926507017789696,-0.05631263619030437,-0.5016917397872191,0.41266569869197717,0.2,,1.0,
5000,2000,legacy_scaled_jvp_ratio,baseline,21,-0.503896103896104,-0.7816922631763805,-0.05925296051685204,-0.44794806561963235,-0.7519044390527126,0.013061040953861956,0.2,1.0,1.0,1.0
5000,2000,theory_sign_composite,baseline,21,0.4,-0.07142133034416868,0.725348663771792,0.40999029966428463,-0.059522068049628,0.7309627694485313,0.4,,1.0,
5000,2000,source_observed_drift_positive_control,positive_control,21,0.9402597402597404,0.8469020199412454,0.9773858491006716,0.9448397252625094,0.858115886654853,0.979150147993272,1.0,1.0,1.0,1.0
5000,10000,condition_score_v2_calibrated_residual,primary_candidate,21,0.6597402597402597,0.2887128459237657,0.8584823802822512,0.5418330893637355,0.11109434810098437,0.801194415207365,0.6,1.0,1.0,1.0
5000,10000,early_layer_prior,baseline,21,0.24545454545454545,-0.23985656348380086,0.6326139525616938,-0.0990043037498378,-0.5331399159154887,0.3764030991271593,0.2,,1.0,
5000,10000,legacy_scaled_jvp_ratio,baseline,21,-0.5714285714285714,-0.816035304311186,-0.1532329137790791,-0.5350186005171286,-0.7977314405276023,-0.10160627568119299,0.0,1.0,1.0,1.0
