source_warmup_steps,term,coefficient,feature_mean,feature_std,ridge_alpha
2000,depth_intercept,0.29725807207050226,,,1.0
2000,depth_slope_log_early_layer_prior,0.6284144899585095,,,1.0
2000,residual_intercept,-2.0089749969407595e-16,,,1.0
2000,log_gradient_nuclear_rank,0.020858478665774095,3.166264077993272,0.6345221706562162,1.0
2000,log_alignment_ratio,0.026176815496210204,1.5755760313998188,0.31774013004520785,1.0
2000,log_step_size_ratio,-0.03112133045473077,-1.5595512804993394,0.3192126841014105,1.0
2000,log_unit_jvp_ratio,-0.06937395455099257,0.6212160201278527,0.31302971704807303,1.0
2000,log_scaled_jvp_ratio,-0.05995662124029079,-2.514215009217185,0.6761625900205783,1.0
2000,log_tail_accuracy_before,1.6718324836049837e-31,-1.0928787568203486,1.0,1.0
5000,depth_intercept,-0.1932648029430224,,,1.0
5000,depth_slope_log_early_layer_prior,0.6528654485183636,,,1.0
5000,residual_intercept,-2.5376526277146434e-16,,,1.0
5000,log_gradient_nuclear_rank,0.03339802913898873,3.3332645098952733,0.5325615487909428,1.0
5000,log_alignment_ratio,0.021297367935632482,1.6617616277347582,0.2655559011346052,1.0
5000,log_step_size_ratio,0.017424361976077003,-1.6502265355701418,0.2636936111630752,1.0
5000,log_unit_jvp_ratio,-0.07480646444100503,0.5791998091072148,0.2831870855430617,1.0
5000,log_scaled_jvp_ratio,-0.04497336181574042,-2.733440261556214,0.5248763423499319,1.0
5000,log_tail_accuracy_before,0.0,-1.001168024007257,1.0,1.0
10000,depth_intercept,-0.11792713215154826,,,1.0
10000,depth_slope_log_early_layer_prior,0.6101643131658269,,,1.0
10000,residual_intercept,-6.872809200060493e-17,,,1.0
10000,log_gradient_nuclear_rank,0.05012964742925486,3.3344135325297524,0.5429102224973182,1.0
10000,log_alignment_ratio,0.046414831493032556,1.6515225914736498,0.26637311984364054,1.0
10000,log_step_size_ratio,0.027163234910339725,-1.6071769345005895,0.2508787711837154,1.0
10000,log_unit_jvp_ratio,-0.11152184225129165,0.5965504136246405,0.2917527637302969,1.0
10000,log_scaled_jvp_ratio,-0.08412181470243363,-2.667176637533006,0.5378311779596844,1.0
10000,log_tail_accuracy_before,-2.1727087000354157e-31,-0.9837668969990687,1.0,1.0
