gate_id,scope,status,evidence
legacy_checkpoint_residual_spearman,retrospective ResNet18 checkpoint split,pass,"primary residual Spearman=0.5942 CI=[0.5428, 0.6455]"
legacy_checkpoint_threshold_accuracy,retrospective ResNet18 checkpoint split,pass,primary below-one threshold accuracy=0.9841
baseline_comparison,retrospective ResNet18 checkpoint split,pass,primary Spearman=0.5942; early-layer prior Spearman=0.2671
primary_heldout_architecture,P0 protocol,fail,"held-out evaluation: primary residual Spearman=0.1992 CI=[-0.07515, 0.4735]"
primary_heldout_data,P0 protocol,fail,"held-out evaluation: primary residual Spearman=-0.6771 CI=[-0.7011, -0.653]"
p0_predictive_condition_claim,paper claim,not_ready,All generated primary held-out splits must pass residual Spearman and threshold gates. See discussion/e11_cifar100_resnet_condition_score_next_heldout_evaluation.md.
