score,score_family,checkpoint_transfer_pairs,mean_spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,mean_pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,mean_top5_residual_risk_overlap_fraction,top5_residual_risk_overlap_ci95_low,top5_residual_risk_overlap_ci95_high,mean_threshold_below_one_accuracy,threshold_below_one_accuracy_ci95_low,threshold_below_one_accuracy_ci95_high
condition_score_v2_calibrated_residual,primary_candidate,6,0.5941558441558441,0.542770646214286,0.6455410420974023,0.46117828303223724,0.39780123876843315,0.5245553272960414,0.5333333333333333,0.4506924771475997,0.615974189519067,0.9841269841269842,0.9644505897970476,1.0
early_layer_prior,baseline,6,0.2670995670995671,0.22221159103851412,0.3119875431606201,0.0034718832778839422,-0.061728903605225295,0.06867267016099318,0.19999999999999998,0.19999999999999996,0.2,,,
legacy_scaled_jvp_ratio,baseline,6,-0.46666666666666673,-0.5531663574786005,-0.3801669758547329,-0.43514829686044604,-0.5143147394455703,-0.3559818542753218,0.13333333333333333,0.05069247714759968,0.215974189519067,1.0,1.0,1.0
theory_sign_composite,baseline,6,0.23939393939393938,0.09677325217639057,0.3820146266114882,0.3511232836742751,0.26071563121822056,0.4415309361303296,0.39999999999999997,0.3999999999999999,0.4,,,
source_observed_drift_positive_control,positive_control,6,0.9402597402597404,0.9215660958425114,0.9589533846769693,0.9490483229559054,0.9338479177831921,0.9642487281286186,0.8666666666666666,0.7840258104809329,0.9493075228524003,1.0,1.0,1.0
