seed,geometry,step,target_first_order_head_gain,actual_head_loss_decrease,head_batch_loss_after,tail_loss,tail_loss_increase,tail_accuracy,tail_accuracy_drop,tail_margin,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,cumulative_condition_proxy,condition_score_tail,nrG,stA_tail,tail_eval_examples
0,frobenius,0,0.0,0.0,,11.416869640366647,0.0,0.19,0.0,-10.553432632924787,0.0,0.0,0.0,0.0,,,,200
0,frobenius,1,0.0031648917392812018,0.0031072431174465065,0.15513734384661357,11.42058450603107,0.003714865664422362,0.185,0.0050000000000000044,-10.562629806151309,0.009197173226521471,0.7471864123016018,0.016707596097705665,1.425641990979755,2.03245508644472,2.5094051752438404,1.2321463569376347,200
0,frobenius,2,0.0025891070182494863,0.002540921284129291,0.12442587171613091,11.42574544598599,0.008875805619343424,0.185,0.0050000000000000044,-10.571950855529733,0.01851822260494629,1.3366274222410393,0.029887897767212793,2.9138772224196385,2.2148441040989226,2.736312317390203,1.2321596821608516,200
0,frobenius,3,0.0038171311682511544,0.0037330165486554323,0.18140747053892034,11.431837842764118,0.014968202397470876,0.185,0.0050000000000000044,-10.583485208566607,0.030052575641819956,1.9228949938678668,0.042997239198825955,4.387860887388521,2.1726278445950977,2.704406627319057,1.232159047724142,200
0,frobenius,4,0.0035887200638142673,0.003506048687256319,0.16741214144787267,11.437365310343509,0.02049566997686192,0.18,0.010000000000000009,-10.593903332807827,0.04047069988303953,2.5882755860522373,0.0578756015491591,5.830034233745826,2.0798639609434257,2.5589660663711715,1.232153857401437,200
0,frobenius,5,0.001997131051039338,0.0019406098226275176,0.08922358910986718,11.444317066150553,0.027447425783906354,0.18,0.010000000000000009,-10.606044988050755,0.052612355125967625,3.1750900045418238,0.0709971708483563,7.257996418355564,2.039076000675415,2.5267983862867727,1.232159689678567,200
0,frobenius,6,0.003479155013158738,0.003372556908659119,0.15956702781151674,11.454194872734831,0.0373252323681843,0.18,0.010000000000000009,-10.623692180832254,0.07025954790746702,4.0119049245502225,0.08970892130560462,8.859074902211532,2.5634523114665253,3.1753585067736254,1.2321605599045173,200
0,frobenius,7,0.005243929929510394,0.005028584494707639,0.235590843330802,11.464861329998053,0.047991689631405876,0.18,0.010000000000000009,-10.642838797094091,0.08940616416930425,4.854784877714793,0.10855629002708275,10.179564010706985,1.7436914856551173,2.1782883471555134,1.2321570944968356,200
0,frobenius,8,0.0023017203574034048,0.0022071414053817517,0.1051385432270941,11.473593716333689,0.05672407596704154,0.18,0.010000000000000009,-10.66089511172789,0.107462478803102,5.6883429610216,0.12719521540176731,11.88462591623836,2.907236101694281,3.6083459594934673,1.2321524252239096,200
0,spectral,0,0.0,0.0,,11.416869640366647,0.0,0.19,0.0,-10.553432632924787,0.0,0.0,0.0,0.0,,,,200
0,spectral,1,0.0031648917392812018,0.003125461787159667,0.1551191251769004,11.420486548883884,0.003616908517237505,0.185,0.0050000000000000044,-10.560982802720227,0.007550169795440098,0.5498961733358676,0.01229605224146007,1.425641990979755,2.03245508644472,2.5094051752438404,1.2321463569376347,200
