warmup_steps,parameter,shape,mean_gradient_nuclear_rank,std_gradient_nuclear_rank,min_gradient_nuclear_rank,max_gradient_nuclear_rank,seeds
250,conv1.weight,64x3x3x3,3.743846347851968,0.5413954265267549,3.17361248248622,5.007433168770675,10
250,fc.weight,100x512,11.914234517104477,1.5955013058468397,9.737718614571838,14.90370188040514,10
250,layer1.0.conv1.weight,64x64x3x3,10.589986023850383,2.334080364612007,6.580245088034524,13.536798862683217,10
250,layer1.0.conv2.weight,64x64x3x3,13.751906028827529,3.2973811035739677,8.871448551200308,19.668786191513075,10
250,layer1.1.conv1.weight,64x64x3x3,11.705122325911033,3.2541360962807793,7.685416733655859,16.721044357848115,10
250,layer1.1.conv2.weight,64x64x3x3,12.916659646034063,3.9990501476082376,7.991515287010312,18.095601987622363,10
250,layer2.0.conv1.weight,128x64x3x3,16.060150713045832,5.466337890002156,8.951507648680536,25.06460030401107,10
250,layer2.0.conv2.weight,128x128x3x3,21.400844516198113,7.7821946214572835,12.68391092311474,33.5738719382087,10
250,layer2.0.downsample.0.weight,128x64x1x1,8.889200576072051,2.756716637559023,5.69944251020883,13.506189061914254,10
250,layer2.1.conv1.weight,128x128x3x3,21.673808270329296,7.141011953481539,13.593141514424564,31.610131030370248,10
250,layer2.1.conv2.weight,128x128x3x3,17.824346817997483,6.635651587843493,10.543726963328035,27.634948567901223,10
250,layer3.0.conv1.weight,256x128x3x3,23.609821067291698,8.599277760388105,14.48003846131436,35.69791134723167,10
250,layer3.0.conv2.weight,256x256x3x3,25.95714459989528,8.748364586055382,16.676034966096314,39.49708808307207,10
250,layer3.0.downsample.0.weight,256x128x1x1,11.028915333040008,3.0467641187087207,7.811382514535127,15.874481367526792,10
250,layer3.1.conv1.weight,256x256x3x3,25.486056046958765,8.385965751406351,16.506280939961346,37.21537220288968,10
250,layer3.1.conv2.weight,256x256x3x3,19.290687856023702,5.773073639723155,12.937612052072382,28.293381614189503,10
250,layer4.0.conv1.weight,512x256x3x3,20.375040640590495,5.335692087177824,14.849995436731636,28.8134075780699,10
250,layer4.0.conv2.weight,512x512x3x3,25.75831277049744,6.551862913821115,18.255559917580037,36.166148785918935,10
250,layer4.0.downsample.0.weight,512x256x1x1,11.169468289458973,2.5163101986250207,8.50082620227035,15.052820962443969,10
250,layer4.1.conv1.weight,512x512x3x3,24.328242751738134,5.611006498205287,18.683501283327896,34.45457490304758,10
250,layer4.1.conv2.weight,512x512x3x3,23.810899866772825,4.424632626039721,18.94698578532261,31.622930924077043,10
500,conv1.weight,64x3x3x3,4.376284702754493,0.3994030744104167,3.851816615019285,4.977304424263076,10
500,fc.weight,100x512,11.401754670619049,1.1409332407261474,10.154315021952907,14.008947491895537,10
500,layer1.0.conv1.weight,64x64x3x3,15.804087746748763,1.8202188059238629,13.166004171039488,19.76792951070507,10
500,layer1.0.conv2.weight,64x64x3x3,22.913882105201996,3.065461291329586,19.010503201708502,28.316386463318647,10
500,layer1.1.conv1.weight,64x64x3x3,21.480088926781114,2.954552626634175,16.70454217013017,26.222247793259434,10
500,layer1.1.conv2.weight,64x64x3x3,24.72185315132124,3.7221053368651824,19.047728070623545,30.41294988595317,10
500,layer2.0.conv1.weight,128x64x3x3,33.136888469461816,5.725628259451964,26.098793503434404,41.38842160264026,10
