comparison,correlation,estimate,ci95_low,ci95_high,n_points
mean_gradient_nuclear_rank_vs_log_tail_drift_sq_ratio,pearson,0.7593718024583481,0.6656542565359317,0.8807363730315068,40
mean_gradient_nuclear_rank_vs_log_tail_drift_sq_ratio,spearman,0.7365853658536586,0.5493119557802314,0.83832259729909,40
median_gradient_nuclear_rank_vs_log_tail_drift_sq_ratio,pearson,0.6250717122657589,0.42296473371770793,0.8758807931912078,40
median_gradient_nuclear_rank_vs_log_tail_drift_sq_ratio,spearman,0.75422138836773,0.5736038219014571,0.8570116535687372,40
tail_accuracy_before_vs_log_tail_drift_sq_ratio,pearson,0.8920717359520143,0.8318690851602216,0.9348757065351092,40
tail_accuracy_before_vs_log_tail_drift_sq_ratio,spearman,0.5776946925363058,0.2615707373587463,0.7829151490400105,40
