hidden_dim,num_samples,layer,algo,fro_fraction,fro_sq_fraction,efficiency,inner,fro_fraction_ratio_over_adam,fro_sq_fraction_ratio_over_adam,efficiency_ratio_over_adam,inner_ratio_over_adam
8,128,1,Muon,0.7071067811865476,0.5,0.024727624801656165,0.0006994028471955093,0.7740312092801546,0.5990928275011885,1.3352496772559423,0.9825830552223203
8,128,1,AdamFirstMuonSecond,0.9735962427923675,0.9479483920908065,0.013304492948372864,0.0005370062170977817,1.0657426815998523,1.135818165085773,0.718419988084703,0.7544338882592797
8,128,1,MuonFirstAdamSecond,0.3912215006073882,0.15422008105949964,0.03208777434619768,0.0005595783421748447,0.428248829269316,0.18478428883879625,1.7326852329445062,0.7861452084376505
8,128,2,Muon,0.7071067811865476,0.5,0.020779778896643206,0.0005877409027749411,1.7398420649542783,3.022886936463705,0.6661579954261698,1.111617379250679
8,128,2,AdamFirstMuonSecond,0.2253899039841817,0.05205160790919349,0.027645827629687435,0.00027316528680627357,0.5545737170129483,0.31469225114126376,0.8862697340184417,0.5166482012536163
8,128,2,MuonFirstAdamSecond,0.9195623504082137,0.8457799189405004,0.014449619737288073,0.0005723863053300202,2.2625907446450517,5.11339413617714,0.46322580075273057,1.0825766279764597
8,1024,1,Muon,0.7071067811865476,0.5,0.02064937711021297,0.0005840525832763946,0.7710663494852584,0.5945058921339219,1.4535218928730713,1.0940530158850628
8,1024,1,AdamFirstMuonSecond,0.9792232601974361,0.9589135632264001,0.010054067923874931,0.00039829577080843114,1.0677964413019758,1.1401595267704578,0.7077117998177912,0.7460915365235431
8,1024,1,MuonFirstAdamSecond,0.3629831041822245,0.13235542652643212,0.026755556475809236,0.00041357293308257547,0.39581582939561233,0.15737216185172456,1.883339477313149,0.7747088664331746
8,1024,2,Muon,0.7071067811865476,0.5,0.01880850816033461,0.0005319849465670049,1.775076524877051,3.145337707047212,0.8273021057739307,1.4410261698094309
8,1024,2,AdamFirstMuonSecond,0.20045435748828183,0.04108643677359992,0.019697835630853134,0.0001655011084038643,0.5032080496946743,0.25846143766443,0.8664196414556914,0.44830484373940344
8,1024,2,MuonFirstAdamSecond,0.9314289285945508,0.8676445734735678,0.013185891413426774,0.0005124107569682853,2.33820077777388,5.458070386522617,0.579988356324816,1.388004144192746
16,128,1,Muon,0.7844645405527362,0.6153846153846154,0.02455971110159687,0.000982388444063875,0.8603232583191751,0.7401109264481964,1.0230950911331,0.8169452517478951
16,128,1,AdamFirstMuonSecond,0.9830891508226617,0.9664879856472618,0.017026704284601804,0.00090469956410903,1.0781551207630722,1.1623760174949749,0.7092891890987425,0.7523398891988665
16,128,1,MuonFirstAdamSecond,0.3858876869037703,0.14982354818676835,0.03282616625119647,0.0007141752111443255,0.42320351651380117,0.18018982320993082,1.367454585006682,0.5939015785312635
16,128,2,Muon,0.6201736729460423,0.3846153846153846,0.025175050065637524,0.0007961049841618604,1.5118785328593634,2.2822614266913845,0.6602160222422699,0.924906499480273
16,128,2,AdamFirstMuonSecond,0.1808626646892418,0.0335120143527383,0.03577246972013181,0.00037618032042135746,0.4409125895984245,0.19885626198875492,0.9381334933924942,0.43704238794659445
16,128,2,MuonFirstAdamSecond,0.9219740789954562,0.8501764518132316,0.01638626696384829,0.0008251256628296,2.247616883290835,5.044844796822182,0.4297300687015683,0.9586224224466134
16,1024,1,Muon,0.7844645405527361,0.6153846153846153,0.0218031784441315,0.0008721271377652598,0.8570405419269497,0.7345041872120311,1.0775925772618544,0.8977291535052718
16,1024,1,AdamFirstMuonSecond,0.9878967710234612,0.9759463501211524,0.01440306488365485,0.0007393471506036788,1.0792936330930476,1.1648596060697138,0.7118519828756823,0.7610512996519375
16,1024,1,MuonFirstAdamSecond,0.3603775990322198,0.13032245074579218,0.029044278134881273,0.0005626138523666563,0.3937185134656108,0.15554887686084184,1.4354741264111848,0.5791298488081257
16,1024,2,Muon,0.6201736729460423,0.3846153846153847,0.02347977898979219,0.0007424958056511072,1.540387560764752,2.3715801369355405,0.7743642674398955,1.1635946010772271
16,1024,2,AdamFirstMuonSecond,0.15413050939552575,0.024053649878847685,0.028922158328917594,0.00024047092615465566,0.38282940692946693,0.14831741151104055,0.9538542060762032,0.37685151789406696
16,1024,2,MuonFirstAdamSecond,0.9325322117271553,0.8696775492542078,0.014951032638205176,0.0007359371966349368,2.316223796042903,5.362526003510154,0.4930857927319948,1.1533163449797397
32,128,1,Muon,0.8728715609439697,0.7619047619047619,0.02173586883434989,0.0012295664198200115,0.9569396149044455,0.9157011340309136,0.6566360576723974,0.5720984110753206
32,128,1,AdamFirstMuonSecond,0.9916622883740673,0.9833987670304595,0.02234970990084498,0.0015445154481036648,1.0871713214320837,1.1819054181038922,0.6751800680826817,0.7186393670955491
32,128,1,MuonFirstAdamSecond,0.38868962667391366,0.15200089600601444,0.03276127420309238,0.0009277237405206988,0.426125123453946,0.18268345311092937,0.9897112510656361,0.43165563837245796
32,128,2,Muon,0.4879500364742666,0.23809523809523805,0.031935372631024195,0.0010098851544024048,1.1911608129201279,1.4176152305617142,0.6145187649885004,0.6649043095872181
32,128,2,AdamFirstMuonSecond,0.127500855143598,0.01660123296954063,0.050173153709162574,0.0004812985929581291,0.31124912574705615,0.09884347495564111,0.9654606135072977,0.3168850509991835
32,128,2,MuonFirstAdamSecond,0.9207900303002744,0.8479991039939856,0.02140298172005944,0.0013833675933647121,2.247789566625163,5.048973070363156,0.4118484554930513,0.9108036399602163
32,1024,1,Muon,0.8728715609439697,0.7619047619047619,0.018397875937968208,0.0010407410268132907,0.9531631650180136,0.9085067823687119,0.6888002444132337,0.6087716425620829
32,1024,1,AdamFirstMuonSecond,0.9939647558385645,0.987967688869544,0.01810814491460201,0.0012330993313997766,1.0853951886883142,1.1780676417550977,0.6779529705006576,0.7212898176186916
