hidden_dim,num_samples,layer,algo,inner_ratio_over_adam,cosine_ratio_over_adam,nrG_ratio_over_adam
8,128,1,Muon,0.9825830552223203,1.0774292892760984,1.1254917560043398
8,128,1,AdamFirstMuonSecond,0.7544338882592797,0.9535288815842952,0.9959777694814991
8,128,1,MuonFirstAdamSecond,0.7861452084376505,1.0368076420390855,1.040255565821303
8,128,2,Muon,1.111617379250679,1.1172330409967688,1.3562345957123436
8,128,2,AdamFirstMuonSecond,0.5166482012536163,0.9415267410909328,0.9725366343642052
8,128,2,MuonFirstAdamSecond,1.0825766279764597,1.0377646753771246,1.3640082308807997
8,1024,1,Muon,1.0940530158850628,1.1109716176636018,1.1686796892502647
8,1024,1,AdamFirstMuonSecond,0.7460915365235431,0.9847752833008347,0.9993162434461142
8,1024,1,MuonFirstAdamSecond,0.7747088664331746,1.0425706882138708,1.0273090541090126
8,1024,2,Muon,1.4410261698094309,1.0233731654442177,1.2236505931139205
8,1024,2,AdamFirstMuonSecond,0.44830484373940344,0.8993417671404862,0.9516886474102413
8,1024,2,MuonFirstAdamSecond,1.388004144192746,1.0017719657010098,1.207414903909879
16,128,1,Muon,0.8169452517478951,0.9052512921218743,1.0943504948895904
16,128,1,AdamFirstMuonSecond,0.7523398891988665,0.9619920284651658,1.0527691059985653
16,128,1,MuonFirstAdamSecond,0.5939015785312635,0.8597308797802717,0.988630588003872
16,128,2,Muon,0.924906499480273,1.1152714755608644,1.2711429361623277
16,128,2,AdamFirstMuonSecond,0.43704238794659445,0.9884470915101046,1.004807568676757
16,128,2,MuonFirstAdamSecond,0.9586224224466134,0.969958131643192,1.2653794147099655
16,1024,1,Muon,0.8977291535052718,0.9086673785693765,1.0566425172750984
16,1024,1,AdamFirstMuonSecond,0.7610512996519375,0.9782563302594889,1.073381480923096
16,1024,1,MuonFirstAdamSecond,0.5791298488081257,0.8248526460072152,0.87161830500901
16,1024,2,Muon,1.1635946010772271,1.062777147780119,1.1798741816136862
16,1024,2,AdamFirstMuonSecond,0.37685151789406696,0.9830952974298461,1.0087391622354605
16,1024,2,MuonFirstAdamSecond,1.1533163449797397,0.9702528436696632,1.1231269337053467
32,128,1,Muon,0.5720984110753206,0.6936696403189488,1.1104593994502907
32,128,1,AdamFirstMuonSecond,0.7186393670955491,0.9435330123755535,1.0564291859803359
32,128,1,MuonFirstAdamSecond,0.43165563837245796,0.6587507546064304,1.0033509218571017
32,128,2,Muon,0.6649043095872181,1.1471150685710079,1.2597604883999827
32,128,2,AdamFirstMuonSecond,0.3168850509991835,1.0171267428012336,0.9967527377834869
32,128,2,MuonFirstAdamSecond,0.9108036399602163,0.9576020900238876,1.260196806649204
32,1024,1,Muon,0.6087716425620829,0.702052832856648,1.0595843120884094
32,1024,1,AdamFirstMuonSecond,0.7212898176186916,0.9657319837513517,1.0592291694506886
32,1024,1,MuonFirstAdamSecond,0.42600033161151407,0.6488087469360396,0.9067670600820469
32,1024,2,Muon,0.7878419174454018,1.1012655151905595,1.1519328798649542
32,1024,2,AdamFirstMuonSecond,0.2736334370059688,1.027176744884756,1.0030807862854731
32,1024,2,MuonFirstAdamSecond,1.0396504837354648,0.9480232005196013,1.1362285667237089
64,128,1,Muon,0.39993566773854405,0.5132051176273551,1.085462170372627
64,128,1,AdamFirstMuonSecond,0.704587046969177,0.9460901213925378,1.0684842226421347
64,128,1,MuonFirstAdamSecond,0.3128067636009965,0.48263186488882337,0.9636030609875297
64,128,2,Muon,0.45778040209294485,1.1612539686296468,1.2124381486020919
64,128,2,AdamFirstMuonSecond,0.23254556747015373,1.0526988447048582,1.000667341297843
64,128,2,MuonFirstAdamSecond,0.8552120996157012,0.9108358624025606,1.1892661939999358
64,1024,1,Muon,0.4233264533578421,0.5345545932032348,1.0692456280486693
64,1024,1,AdamFirstMuonSecond,0.7077520406797535,0.9621469893154508,1.0611942655580795
64,1024,1,MuonFirstAdamSecond,0.31726599891042606,0.4932873912247515,0.9128001458487928
64,1024,2,Muon,0.5180055721139851,1.130501016783934,1.1183371105457462
64,1024,2,AdamFirstMuonSecond,0.20661804529330174,1.0706293769454285,1.0040095250375838
64,1024,2,MuonFirstAdamSecond,0.9483075772996341,0.9137371236987943,1.105086520974379
128,128,1,Muon,0.4527395584544847,0.5332546465022504,1.0773229250657714
128,128,1,AdamFirstMuonSecond,0.7909665087288005,0.9501659364889914,1.0569871302558211
128,128,1,MuonFirstAdamSecond,0.22589987584985444,0.5004630047530184,0.9530450789668413
128,128,2,Muon,0.5858839421375167,1.1900233231688118,1.1659499142483802
128,128,2,AdamFirstMuonSecond,0.17140707247285225,1.0975200635465556,0.9954919019198064
128,128,2,MuonFirstAdamSecond,1.1110718757236386,0.9236921465778515,1.1577982468991739
128,1024,1,Muon,0.4699113882034159,0.5498419409273957,1.0477756829885978
128,1024,1,AdamFirstMuonSecond,0.8011453172054757,0.9696088256055324,1.058728806673615
128,1024,1,MuonFirstAdamSecond,0.22168268850749862,0.5025717160093117,0.8793479653038365
128,1024,2,Muon,0.6418585928136488,1.1520255007642293,1.0895005781512999
128,1024,2,AdamFirstMuonSecond,0.14857428490750324,1.104758486452105,1.0027038466774212
128,1024,2,MuonFirstAdamSecond,1.1774968493099454,0.9096433485111981,1.0800117152887814
