state_source,trajectory_step,direction,seeds,comparisons,geomean_tail_output_drift_sq_ratio_vs_fro,tail_output_drift_sq_ratio_vs_fro_ci95_low,tail_output_drift_sq_ratio_vs_fro_ci95_high,geomean_margin_delta_sq_ratio_vs_fro,margin_delta_sq_ratio_vs_fro_ci95_low,margin_delta_sq_ratio_vs_fro_ci95_high,mean_direction_cosine_to_polar_grad,direction_cosine_to_polar_grad_ci95_low,direction_cosine_to_polar_grad_ci95_high,mean_gradient_momentum_cosine,gradient_momentum_cosine_ci95_low,gradient_momentum_cosine_ci95_high
adamw_matrix_trajectory,0,ns_momentum,10,10,0.6205644774851461,0.5469560306525394,0.704079028540874,0.6230889571030458,0.5436185363219972,0.7141769872133246,0.6655793904009869,0.6573282742812656,0.6738305065207082,0.9999999976771055,0.9999999893073802,1.0000000060468308
adamw_matrix_trajectory,0,polar_grad,10,10,0.5009026676900497,0.387901850709309,0.6468220815142067,0.5091708484581986,0.38792292136143713,0.6683156334505116,1.0,0.9999999999999999,1.0000000000000002,0.9999999976771055,0.9999999893073802,1.0000000060468308
adamw_matrix_trajectory,0,polar_momentum,10,10,0.5008206459083195,0.38790522136972627,0.6466046486364762,0.508392564295835,0.387536873518502,0.6669378247408374,0.9999861896254558,0.999968160037561,1.0000042192133507,0.9999999976771055,0.9999999893073802,1.0000000060468308
adamw_matrix_trajectory,1,ns_momentum,10,10,0.9037311009903599,0.8382294830760354,0.974351200222771,0.865206110549152,0.8358355928881305,0.8956086820195784,0.40684035081391823,0.3878186323482395,0.42586206927959697,0.999380035031597,0.9984740199102327,1.0002860501529613
adamw_matrix_trajectory,1,polar_grad,10,10,0.5322334321295665,0.4617719274212694,0.6134466160780528,0.5242273523383019,0.47208949365337666,0.5821233487170203,1.0,0.9999999999999999,1.0,0.999380035031597,0.9984740199102327,1.0002860501529613
adamw_matrix_trajectory,1,polar_momentum,10,10,0.5339741347298224,0.46352502552510255,0.615130491039736,0.5263529405839823,0.4743595942415145,0.5840451451274954,0.9568226309877952,0.9228083074917283,0.9908369544838621,0.999380035031597,0.9984740199102327,1.0002860501529613
adamw_matrix_trajectory,2,ns_momentum,10,10,1.145292590513286,1.054130033695891,1.2443390055832981,1.0484216909192727,1.0111559985218361,1.0870607933858685,0.2611976320592361,0.23023840404192752,0.2921568600765446,0.6591241230488528,0.5814516978001394,0.7367965482975662
adamw_matrix_trajectory,2,polar_grad,10,10,0.5604704944575467,0.49419838004348543,0.6356297143868548,0.5418564966438365,0.4884782430155553,0.6010676363855619,1.0,0.9999999999999999,1.0,0.6591241230488528,0.5814516978001394,0.7367965482975662
adamw_matrix_trajectory,2,polar_momentum,10,10,0.6853040103812426,0.6178532051228138,0.760118395034078,0.648138107999753,0.5973351161017835,0.7032618637641237,0.5928421511524357,0.5486270922708285,0.6370572100340428,0.6591241230488528,0.5814516978001394,0.7367965482975662
ns_muon_matrix_trajectory,0,ns_momentum,10,10,0.6205644774851461,0.5469560306525394,0.704079028540874,0.6230889571030458,0.5436185363219972,0.7141769872133246,0.6655793904009869,0.6573282742812656,0.6738305065207082,0.9999999976771055,0.9999999893073802,1.0000000060468308
ns_muon_matrix_trajectory,0,polar_grad,10,10,0.5009026676900497,0.387901850709309,0.6468220815142067,0.5091708484581986,0.38792292136143713,0.6683156334505116,1.0,0.9999999999999999,1.0000000000000002,0.9999999976771055,0.9999999893073802,1.0000000060468308
ns_muon_matrix_trajectory,0,polar_momentum,10,10,0.5008206459083195,0.38790522136972627,0.6466046486364762,0.508392564295835,0.387536873518502,0.6669378247408374,0.9999861896254558,0.999968160037561,1.0000042192133507,0.9999999976771055,0.9999999893073802,1.0000000060468308
ns_muon_matrix_trajectory,1,ns_momentum,10,10,0.7136450815874387,0.6487609125305231,0.7850184754310098,0.7358472852376039,0.6684156468130874,0.8100816157928243,0.4962331995749893,0.485290343434784,0.5071760557151945,0.8804021158850948,0.8587868230513731,0.9020174087188164
ns_muon_matrix_trajectory,1,polar_grad,10,10,0.4944996974338119,0.3880665910847497,0.6301236859339142,0.5139912573318803,0.40774765614569175,0.6479179184274965,1.0,0.9999999999999999,1.0,0.8804021158850948,0.8587868230513731,0.9020174087188164
ns_muon_matrix_trajectory,1,polar_momentum,10,10,0.5357906358815098,0.435449949193806,0.6592528166091149,0.5599649744650235,0.4616271336338159,0.6792511743392132,0.6996917974226036,0.6827887185755602,0.7165948762696469,0.8804021158850948,0.8587868230513731,0.9020174087188164
ns_muon_matrix_trajectory,2,ns_momentum,10,10,0.859554062989639,0.8188356353066696,0.9022973052770098,0.8790993114979416,0.838605553674361,0.9215483919585956,0.4111086290274205,0.4035341454740262,0.4186831125808148,0.8097568775514177,0.7804646212674089,0.8390491338354265
ns_muon_matrix_trajectory,2,polar_grad,10,10,0.5054005520340055,0.39096788748499467,0.6533265932386348,0.5200266193245614,0.4007569706598491,0.6747922172404668,1.0,0.9999999999999999,1.0,0.8097568775514177,0.7804646212674089,0.8390491338354265
ns_muon_matrix_trajectory,2,polar_momentum,10,10,0.6025317752283404,0.5226049822878592,0.694682508709503,0.6236300654841418,0.5375759008984082,0.7234596229589029,0.5738352667176364,0.5555374165722367,0.5921331168630362,0.8097568775514177,0.7804646212674089,0.8390491338354265
