seed,state_source,trajectory_step,direction,warmup_steps,tail_eval_examples,tail_accuracy_before,tail_positive_margin_fraction_before,tail_output_drift_sq_ratio_vs_fro,centered_tail_output_drift_sq_ratio_vs_fro,margin_delta_sq_ratio_vs_fro,tail_output_drift_sq_ratio_vs_polar_grad,actual_head_loss_decrease_diff_vs_fro,tail_loss_increase_diff_vs_fro,tail_accuracy_drop_diff_vs_fro,tail_margin_drop_diff_vs_fro,actual_head_gain_relative_error_diff_vs_fro,direction_cosine_to_polar_grad,gradient_momentum_cosine,alignment_ratio_to_polar_grad,update_fro_norm_ratio_vs_fro,update_op_norm_ratio_vs_fro,mean_matrix_gradient_nuclear_rank,mean_matrix_update_nuclear_rank,less_tail_drift_than_fro,less_tail_drift_than_polar_grad,tail_prediction_changed_fraction,tail_margin_certified_preserved_fraction
0,adamw_matrix_trajectory,0,polar_grad,5000,2000,0.362,0.362,0.34686396413663706,0.3468351914917279,0.3442464366361996,1.0,6.556510925292969e-07,0.0002219676971435547,0.0010000000000000009,0.0001780986785888672,0.0006464180616258253,1.0000000000000002,1.000000009840743,1.0,2.6155266955314764,0.12510306799830778,35.49436767481823,210.23809510892974,True,False,0.001,0.9917127071823204
0,adamw_matrix_trajectory,0,polar_momentum,5000,2000,0.362,0.362,0.3468973247721731,0.3468673764493965,0.3442605516776497,1.0000961778650577,1.4901161193847656e-06,0.0002231597900390625,0.0010000000000000009,0.00017821788787841797,0.0014691319582405132,0.9999311376311272,1.000000009840743,0.9999994678400955,2.615526294035356,0.12510313518188038,35.49436767481823,210.2380951046158,True,False,0.001,0.9917127071823204
0,adamw_matrix_trajectory,0,ns_momentum,5000,2000,0.362,0.362,0.46422487994580913,0.4641471293222616,0.45857339800114183,1.3383485398988901,1.138448715209961e-05,0.00018095970153808594,0.0010000000000000009,0.00016868114471435547,0.01122416816095751,0.6655070884176466,1.000000009840743,0.5294594457088666,1.4761700907838657,0.23625104982730127,35.49436767481823,104.55160722896456,True,False,0.0015,0.9917127071823204
0,adamw_matrix_trajectory,1,polar_grad,5000,2000,0.02,0.02,0.46308302990151295,0.46745731907854476,0.47970800016626874,1.0,0.00034427642822265625,0.01665496826171875,0.0,0.017400741577148438,0.006443275968543962,1.0,0.9982887518244764,1.0,5.86109323816239,0.2313274975874565,7.324918948266967,210.2380951065155,True,False,0.0035,0.9750000000000001
0,adamw_matrix_trajectory,1,polar_momentum,5000,2000,0.02,0.02,0.4730872460893191,0.47905380165720945,0.4884447005110236,1.0216035042137774,0.00017547607421875,0.016475677490234375,0.0,0.017187118530273438,0.0032841074188700524,0.8931448456306791,0.9982887518244764,0.9841076676597353,5.955751688798894,0.23506339912863938,7.324918948266967,210.23809510420887,True,False,0.0035,0.9750000000000001
0,adamw_matrix_trajectory,1,ns_momentum,5000,2000,0.02,0.02,0.845506832390958,0.8526959044799147,0.8577163356564398,1.825821241108269,0.00026607513427734375,0.0044307708740234375,0.0,0.0045528411865234375,0.00497970635796057,0.4457150694091145,0.9982887518244764,0.5333041361272477,1.6009098059994757,0.4336971007813319,7.324918948266967,48.92171017320809,True,False,0.006,0.9750000000000001
0,adamw_matrix_trajectory,2,polar_grad,5000,2000,0.024,0.024,0.6243801287215275,0.6349387333902203,0.5632017119626294,1.0,-0.00019168853759765625,0.013105392456054688,0.0,0.013670921325683594,0.0034970117512643393,1.0000000000000002,0.8356605911855305,1.0,6.585884563899758,0.2346437306028008,6.016935089955478,210.2380950972975,True,False,0.0025,0.9791666666666666
0,adamw_matrix_trajectory,2,polar_momentum,5000,2000,0.024,0.024,0.7327361383625073,0.7307102862839546,0.6458936059329224,1.173541733083095,-0.0007162094116210938,0.0102691650390625,0.0,0.010730743408203125,0.013065949379102083,0.6528548413944845,0.8356605911855305,0.8258745600882708,7.97444803312358,0.2841171613543102,6.016935089955478,210.2380950997572,True,False,0.0025,0.9791666666666666
0,adamw_matrix_trajectory,2,ns_momentum,5000,2000,0.024,0.024,1.163304040890047,1.1478557539096477,1.012507646791993,1.8631343109397365,0.0006284713745117188,-0.0002307891845703125,0.0,-0.00023555755615234375,-0.0025103672914923384,0.31956526459388174,0.8356605911855305,0.4795854051331927,2.0422038631708705,0.48918326650792304,6.016935089955478,44.28790059823079,False,False,0.005,0.9583333333333333
0,ns_muon_matrix_trajectory,0,polar_grad,5000,2000,0.362,0.362,0.34686396413663706,0.3468351914917279,0.3442464366361996,1.0,6.556510925292969e-07,0.0002219676971435547,0.0010000000000000009,0.0001780986785888672,0.0006464180616258253,1.0000000000000002,1.000000009840743,1.0,2.6155266955314764,0.12510306799830778,35.49436767481823,210.23809510892974,True,False,0.001,0.9917127071823204
0,ns_muon_matrix_trajectory,0,polar_momentum,5000,2000,0.362,0.362,0.3468973247721731,0.3468673764493965,0.3442605516776497,1.0000961778650577,1.4901161193847656e-06,0.0002231597900390625,0.0010000000000000009,0.00017821788787841797,0.0014691319582405132,0.9999311376311272,1.000000009840743,0.9999994678400955,2.615526294035356,0.12510313518188038,35.49436767481823,210.2380951046158,True,False,0.001,0.9917127071823204
0,ns_muon_matrix_trajectory,0,ns_momentum,5000,2000,0.362,0.362,0.46422487994580913,0.4641471293222616,0.45857339800114183,1.3383485398988901,1.138448715209961e-05,0.00018095970153808594,0.0010000000000000009,0.00016868114471435547,0.01122416816095751,0.6655070884176466,1.000000009840743,0.5294594457088666,1.4761700907838657,0.23625104982730127,35.49436767481823,104.55160722896456,True,False,0.0015,0.9917127071823204
0,ns_muon_matrix_trajectory,1,polar_grad,5000,2000,0.3625,0.3625,0.29221220452332886,0.2913189586654345,0.32294588849764383,1.0,-0.00014163553714752197,0.0005786418914794922,0.0,0.0006924867630004883,0.06823884297474228,1.0,0.8642834788248807,1.0,2.657334262005656,0.13187034256804545,34.941586777198125,210.2380951061819,True,False,0.0,0.9958620689655172
0,ns_muon_matrix_trajectory,1,polar_momentum,5000,2000,0.3625,0.3625,0.3375106749557879,0.3363199450584659,0.3617341737319549,1.1550190913700957,-7.005035877227783e-05,0.0005602836608886719,0.0,0.0006380081176757812,0.0007490746146874699,0.6733537265109487,0.8642834788248807,0.8149510925657625,3.2607320344628086,0.16181490618532476,34.941586777198125,210.23809510865604,True,False,0.0,0.9958620689655172
0,ns_muon_matrix_trajectory,1,ns_momentum,5000,2000,0.3625,0.3625,0.49862087957902684,0.4972464082243748,0.5210218837520508,1.7063656885666432,-3.4436583518981934e-05,0.0003063678741455078,0.0,0.0003952980041503906,-0.032466456011675,0.5045469647403787,0.8642834788248807,0.40549922135478084,1.7762460674730252,0.32516354969667915,34.941586777198125,105.82517991967181,True,False,0.0005,0.9958620689655172
