direction,display_name,seeds,mean_relative_error,relative_error_ci95_low,relative_error_ci95_high,mean_jvp_fro,jvp_fro_ci95_low,jvp_fro_ci95_high,mean_residual_fro,residual_fro_ci95_low,residual_fro_ci95_high
frobenius_grad,Fro/GD,20,0.00014247255703440158,9.508758947963415e-05,0.00018985752458916901,0.7795748018310301,0.6733018948479714,0.8858477088140888,0.00012414413641795692,7.336082954389128e-05,0.00017492744329202257
polar_grad,$\polar(G_t)$,20,0.0013477432411054052,0.0006961032176647281,0.001999383264546082,0.5720420732888847,0.5016841920632403,0.642399954514529,0.0008620620184173454,0.0004025763761756286,0.0013215476606590621
polar_momentum,$\polar(M_t)$,20,0.00150701438185814,0.0009640950220177717,0.0020499337416985085,0.7258071603835845,0.5686582274850176,0.8829560932821514,0.00120102626169733,0.0006327611342774628,0.0017692913891171973
ns_momentum,NS$(M_t)$,20,0.0010660070521206148,0.000688312462994124,0.0014437016412471057,0.7720980254135533,0.5924860985986301,0.9517099522284765,0.0008998051631771149,0.0005077461512960923,0.0012918641750581375
