seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,warmup_steps
1,frobenius,layer4.1.conv1.weight,512x512x3x3,21.222584962908044,21.22245722964728,250
1,frobenius,layer4.1.conv2.weight,512x512x3x3,21.69037024933735,21.69039643740004,250
1,frobenius,fc.weight,100x512,10.670210066562857,10.670154016686935,250
1,spectral,conv1.weight,64x3x3x3,3.3635056519626834,26.999999999872575,250
1,spectral,layer1.0.conv1.weight,64x64x3x3,13.536798862683217,63.99999999849619,250
1,spectral,layer1.0.conv2.weight,64x64x3x3,16.450671042309693,63.99999999816008,250
1,spectral,layer1.1.conv1.weight,64x64x3x3,13.708463515532307,63.99999999793134,250
1,spectral,layer1.1.conv2.weight,64x64x3x3,15.025174309158434,63.999999998001876,250
1,spectral,layer2.0.conv1.weight,128x64x3x3,21.08574054045829,127.99999994771314,250
1,spectral,layer2.0.conv2.weight,128x128x3x3,23.889875767704243,127.9999999572905,250
1,spectral,layer2.0.downsample.0.weight,128x64x1x1,9.970368763423085,63.999999998037666,250
1,spectral,layer2.1.conv1.weight,128x128x3x3,24.011483204921362,127.99999994260348,250
1,spectral,layer2.1.conv2.weight,128x128x3x3,16.91399343358717,127.99999994480456,250
1,spectral,layer3.0.conv1.weight,256x128x3x3,21.19003302610448,255.99999989261184,250
1,spectral,layer3.0.conv2.weight,256x256x3x3,22.984443509924134,255.99999989746541,250
1,spectral,layer3.0.downsample.0.weight,256x128x1x1,10.071986761552141,127.99999994658046,250
1,spectral,layer3.1.conv1.weight,256x256x3x3,23.01436602622289,255.9999999067186,250
1,spectral,layer3.1.conv2.weight,256x256x3x3,17.0601363296021,255.9999998825039,250
1,spectral,layer4.0.conv1.weight,512x256x3x3,18.963681397309756,511.9999995113555,250
1,spectral,layer4.0.conv2.weight,512x512x3x3,22.749469748420648,511.99999950652324,250
1,spectral,layer4.0.downsample.0.weight,512x256x1x1,10.049898559358072,255.99999989643052,250
1,spectral,layer4.1.conv1.weight,512x512x3x3,21.222584962908044,511.99999950062596,250
1,spectral,layer4.1.conv2.weight,512x512x3x3,21.69037024933735,511.9999995113127,250
1,spectral,fc.weight,100x512,10.670210066562857,99.99999999344004,250
2,frobenius,conv1.weight,64x3x3x3,3.7204565224103954,3.7204572558551154,250
2,frobenius,layer1.0.conv1.weight,64x64x3x3,10.720798068362605,10.72084297163493,250
2,frobenius,layer1.0.conv2.weight,64x64x3x3,16.067998395161908,16.067963179193377,250
2,frobenius,layer1.1.conv1.weight,64x64x3x3,15.966363113516442,15.966358631602153,250
2,frobenius,layer1.1.conv2.weight,64x64x3x3,18.095601987622363,18.09552653289321,250
2,frobenius,layer2.0.conv1.weight,128x64x3x3,25.06460030401107,25.064801774871718,250
2,frobenius,layer2.0.conv2.weight,128x128x3x3,33.5738719382087,33.57458267736553,250
2,frobenius,layer2.0.downsample.0.weight,128x64x1x1,13.506189061914254,13.506268132403099,250
2,frobenius,layer2.1.conv1.weight,128x128x3x3,30.298396101690976,30.298664554717615,250
2,frobenius,layer2.1.conv2.weight,128x128x3x3,27.230460666232215,27.23056141581891,250
2,frobenius,layer3.0.conv1.weight,256x128x3x3,34.01129843740306,34.01131565864365,250
2,frobenius,layer3.0.conv2.weight,256x256x3x3,35.04109204809401,35.041678612272705,250
2,frobenius,layer3.0.downsample.0.weight,256x128x1x1,13.819722739262293,13.81990828533521,250
2,frobenius,layer3.1.conv1.weight,256x256x3x3,36.52210121993977,36.522273093662214,250
2,frobenius,layer3.1.conv2.weight,256x256x3x3,26.40352689787445,26.40367489071502,250
2,frobenius,layer4.0.conv1.weight,512x256x3x3,28.8134075780699,28.81363224844054,250
2,frobenius,layer4.0.conv2.weight,512x512x3x3,34.38664943207225,34.38683226261101,250
2,frobenius,layer4.0.downsample.0.weight,512x256x1x1,14.445785809199162,14.44594846656878,250
2,frobenius,layer4.1.conv1.weight,512x512x3x3,30.87887717840647,30.87882837723479,250
2,frobenius,layer4.1.conv2.weight,512x512x3x3,28.699374510847427,28.698888016261307,250
2,frobenius,fc.weight,100x512,13.095493647043385,13.095497464022108,250
2,spectral,conv1.weight,64x3x3x3,3.7204565224103954,26.9999999998363,250
2,spectral,layer1.0.conv1.weight,64x64x3x3,10.720798068362605,63.99999999820157,250
2,spectral,layer1.0.conv2.weight,64x64x3x3,16.067998395161908,63.99999999805922,250
2,spectral,layer1.1.conv1.weight,64x64x3x3,15.966363113516442,63.99999999844892,250
