algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,wd,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.01,0.005781456514232018,0.0036568724633270584,42,30.204179763793945,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.01,0.00614367833726375,0.004808428007933224,41,30.119481801986694,1,174352500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0,3.371170946000061e-32,2.811823112251676e-32,46,28.224833726882935,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0,3.5266581917211803e-32,2.638870691200503e-32,46,27.87713313102722,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0,2.9978989403145253e-32,2.47092598893129e-32,47,27.674060821533203,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0,4.22857930906046e-32,3.201931055843248e-32,47,27.57272434234619,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0,2.988909662299098e-32,2.6354617951989376e-32,48,27.742460250854492,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0,3.5922156433219063e-32,2.7510224066870326e-32,49,27.54617714881897,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0,4.0360606434805277e-32,2.964088036434592e-32,48,27.429030656814575,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0,2.9121408910096076e-32,2.530989725365652e-32,47,27.23839807510376,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,1e-05,1.2187703132491925e-13,1.216552305392567e-13,46,27.22130846977234,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,1e-05,1.097786958166343e-13,1.0934241618255503e-13,46,27.14323878288269,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,1e-05,1.0382735027433838e-13,1.0360164768660128e-13,47,26.901561975479126,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,1e-05,1.1791081149108564e-13,1.1755991690876672e-13,47,27.05894660949707,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,1e-05,1.1954808768453508e-13,1.1917342930580686e-13,48,26.888859510421753,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,1e-05,1.3238946893360986e-13,1.3134785662164183e-13,49,27.147769927978516,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,1e-05,1.250010267726948e-13,1.2491240369406484e-13,48,27.05643606185913,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,1e-05,1.1682099622413048e-13,1.1575179317735833e-13,47,26.608781337738037,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.0001,1.2187633074649125e-11,1.2128996153543089e-11,46,25.673710107803345,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.0001,1.0977809453474311e-11,1.0901594996883737e-11,46,26.601314067840576,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0001,1.0382680088184465e-11,1.0367297939492874e-11,47,25.75999116897583,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.0001,1.179101799199391e-11,1.1761702735218647e-11,47,25.654337882995605,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.0001,1.1954742503602737e-11,1.1928296571789572e-11,48,25.674261331558228,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.0001,1.3238867368626337e-11,1.310115913879377e-11,49,25.563095808029175,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0001,1.2500035924233592e-11,1.247760066300665e-11,48,25.48609948158264,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.0001,1.1682035802230737e-11,1.1661716469753191e-11,47,25.244011163711548,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.001,1.2186932535407154e-09,1.2155985509599065e-09,46,25.37393856048584,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.001,1.097720821718898e-09,1.0914023814907414e-09,46,25.488011121749878,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.001,1.0382130726929002e-09,1.0315574569432727e-09,47,25.862653017044067,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.001,1.1790386478670404e-09,1.1741865513881613e-09,47,25.450899124145508,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.001,1.1954079874356816e-09,1.1948364955870139e-09,48,25.52703595161438,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.001,1.323807217107703e-09,1.3168265018560469e-09,49,25.412308931350708,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.001,1.249936842672318e-09,1.247873999118926e-09,48,25.241950511932373,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.001,1.168139763636894e-09,1.1476238665728347e-09,47,24.96501636505127,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.01,1.2179931171233362e-07,1.2164341262062375e-07,46,24.656678915023804,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.01,1.0971199038752702e-07,1.0892966779985568e-07,46,24.94120168685913,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.01,1.0376639976343942e-07,1.0367027039877112e-07,47,26.192634344100952,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.01,1.1784074733934036e-07,1.1757038670331007e-07,47,26.259029626846313,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.01,1.194745726740908e-07,1.1836843454223407e-07,48,25.107202291488647,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.01,1.3230124943275744e-07,1.3166038400706928e-07,49,27.402967929840088,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.01,1.2492696956972935e-07,1.242870721781955e-07,48,26.876558303833008,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.01,1.1675019436072587e-07,1.1638608858052937e-07,47,27.055290699005127,1,117617500
