algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.0058637243470134725,0.005435544492076536,49,141.86246395111084,1,134872500
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.006141595527945643,0.00530777384618084,49,138.23732376098633,1,134872500
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.006312622247039949,0.00544266968827497,48,135.79962515830994,1,132120000
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.00652179968836598,0.005350368679593928,48,132.16639351844788,1,132120000
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.0059154175828878735,0.005460903703357463,50,137.22695636749268,1,137625000
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.006137556376531064,0.005411456187945023,50,145.65216827392578,1,137625000
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0060426078700762725,0.005439307286246449,49,145.5281536579132,1,134872500
Muon-Exact,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.005947715600743199,0.005393925584737906,50,139.92892241477966,1,137625000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.005751711559511247,0.0053334240879474885,56,140.6796178817749,1,238140000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.005986523264185882,0.005320780991158482,60,162.3121418952942,1,255150000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.005919729497123644,0.005468274193522865,59,134.85803079605103,1,250897500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.006167011928728849,0.005476091011837937,58,161.4959261417389,1,246645000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.005825848364297169,0.005523034927428099,58,148.4800841808319,1,246645000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.005843273959122568,0.005484432632880108,59,137.62074613571167,1,250897500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.006528344869895197,0.005397075772249164,59,139.3599603176117,1,250897500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.005832908347075732,0.005409778924240424,58,135.0584695339203,1,246645000
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.006151673831200449,0.005459836696380189,64,133.03644275665283,1,432160000
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.0061979495013715375,0.005396994891793251,65,133.49617338180542,1,438912500
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0060606766727014155,0.005531299233701848,65,134.78867077827454,1,438912500
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.0059145013193522234,0.005347088579724697,65,135.55393505096436,1,438912500
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.006115595357083572,0.005329079710848415,63,134.1878628730774,1,425407500
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.00607280254985432,0.005416810565285771,65,136.15939474105835,1,438912500
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.006196344520336758,0.00538189843285024,64,138.17814588546753,1,432160000
Muon-Exact,50,10,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.006332152821591457,0.005331179961019568,65,138.70367765426636,1,438912500
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.00603334929937147,0.0053775743215251975,73,142.75904202461243,1,1040432500
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.0061373686127077776,0.005458767584888215,74,139.39154887199402,1,1054685000
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.006080201020124051,0.0054221078490407455,74,138.5762906074524,1,1054685000
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.0057988659169731106,0.005410355370112739,75,137.27899408340454,1,1068937500
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.005935467766133197,0.0054229289739586685,72,152.71790027618408,1,1026180000
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.005973988415644784,0.00537804500859912,74,165.15755152702332,1,1054685000
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.006153914771189319,0.005301072569613338,73,133.6490342617035,1,1040432500
Muon-Exact,50,25,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.0060938687042696406,0.005394860451771155,74,134.0837206840515,1,1054685000
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.004931545047858401,0.004751980522013719,65,273.17705392837524,1,1738912500
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.005264490461083916,0.004695501613814616,65,291.44656133651733,1,1738912500
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.00531307088725936,0.004737664422608559,66,270.65230083465576,1,1765665000
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.00521539529563189,0.004746941995392079,66,269.75418972969055,1,1765665000
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.0051595984431781665,0.004618417780801045,66,264.82313871383667,1,1765665000
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.005052532414732702,0.004755980562243915,66,265.37665820121765,1,1765665000
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.005263455248014953,0.004721873262264956,65,293.298442363739,1,1738912500
Muon-Exact,50,50,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.005492271359218118,0.004712456974582229,65,272.68254470825195,1,1738912500
SGD,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,3.055875805497734e-05,3.055875805497734e-05,56,131.563157081604,1,56140000
SGD,50,2,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,4.150996541132219e-05,4.150996541132219e-05,58,130.30489563941956,1,58145000
