algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,100,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,1000,0.015599921495878735,0.011135809463244982,1001,102.5522072315216,0,34044010000
Muon-Exact,100,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,1000,0.019390614764015733,0.01318694635845774,1001,99.88431286811829,0,34044010000
Muon-Exact,100,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,1000,0.015567782225493954,0.011467951544854917,1001,99.53411030769348,0,34044010000
Muon-Exact,200,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,1000,0.029897634557164536,0.01198143758838099,1001,1493.773315191269,0,272312040000
Muon-Exact,200,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,1000,0.02456907224402612,0.015029913558339773,1001,1467.6088981628418,0,272312040000
Muon-Exact,200,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,1000,0.035834125492211266,0.01564035141075872,1001,1464.75448513031,0,272312040000
SGD,100,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,1000,7.793468714810496e-32,6.725039818862233e-32,49,100.7772274017334,1,980490000
SGD,100,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,1000,8.269964847910665e-32,6.940294538825488e-32,49,100.79637336730957,1,980490000
SGD,100,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,1000,7.432316526079679e-32,6.699964812839419e-32,49,100.44727969169617,1,980490000
SGD,200,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,1000,3.7435667739315217e-31,3.549246220332683e-31,54,1476.3506309986115,1,8642160000
SGD,200,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,1000,3.8307266594947107e-31,3.549205775803851e-31,54,1509.2144536972046,1,8642160000
SGD,200,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,1000,3.8542369678083316e-31,3.6454358284401314e-31,53,1482.8540427684784,1,8482120000
