algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,0,2000,0.004887887001686491,0.004408192010095682,40,28.30960726737976,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,1,2000,0.004811801327834312,0.004593939715851801,40,31.20746636390686,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,2,2000,0.0049313685891597845,0.004432890664851528,40,30.691710948944092,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,3,2000,0.005991198202018481,0.0045805797553993485,41,30.741483449935913,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,4,2000,0.006005675597540356,0.004635558628007683,41,30.310818195343018,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,5,2000,0.0058737529209794605,0.004514772323932758,42,30.719124794006348,1,178605000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,6,2000,0.0049958590859879,0.004686441277156847,42,30.59246301651001,1,178605000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,7,2000,0.004937909109008528,0.004480602408636794,41,30.541176557540894,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,8,2000,0.004930318004733876,0.004462561031751471,41,30.6833279132843,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,9,2000,0.0048619140309998764,0.004695623246968283,41,30.29024910926819,1,174352500
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,0,2000,0.006038241651405419,0.004481091022212841,40,30.727304220199585,1,170100000
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,1,2000,0.005993366272790677,0.004460300948906451,40,30.441894054412842,1,170100000
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,2,2000,0.004927935388752509,0.0044915690648505945,40,30.79101300239563,1,170100000
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,3,2000,0.00614762550511722,0.0043447578249622325,41,30.99187135696411,1,174352500
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,4,2000,0.006028105837380522,0.004561048648381748,41,30.93632197380066,1,174352500
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,5,2000,0.0059981798155749255,0.004704837189222244,42,30.783161640167236,1,178605000
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,6,2000,0.004976723132972557,0.004551339926339731,42,30.878953218460083,1,178605000
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,7,2000,0.006068357772036401,0.004638734154760989,41,30.99006986618042,1,174352500
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,8,2000,0.005971070655230441,0.004681674994124458,41,30.86855149269104,1,174352500
Muon-Exact,50,5,0.01,0.001,normal,hard-cutoff,1.0,0.01,9,2000,0.0060617335748799584,0.004409390836818955,41,30.96133852005005,1,174352500
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.01,0,2000,0.006219952306838701,0.004556439122818258,40,30.783682823181152,1,170100000
