algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,p,q,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,10,1,0.0017394319143164208,0.0012833070822228791,42,29.935561656951904,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,10,1,0.0016827435486652259,0.0013932254151220987,42,30.237539291381836,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,10,1,0.0017194822556051217,0.0013821052603651288,43,29.918509006500244,1,109757500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,10,1,0.0018198879230214811,0.001341478541818661,43,30.15080213546753,1,109757500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,10,2,0.0011912805627840221,0.0010230348529958622,40,29.8122398853302,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,10,2,0.0012905839763197658,0.0010469331936225168,40,29.857842922210693,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,10,2,0.0012572306284323383,0.0010104169130825268,40,30.022193431854248,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,10,2,0.0011468590451511667,0.001041123720275021,42,30.153751373291016,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,10,2,0.0013606276685649212,0.001000610592996273,42,29.894585847854614,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,10,2,0.0012714910057104697,0.0010087863661469756,41,29.96093249320984,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,10,2,0.0011695732239727467,0.0009907577382526947,41,29.830013513565063,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,10,2,0.0014111410896667446,0.001043373762346296,41,29.844258308410645,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,10,2,0.0013178608493105443,0.0010217401469723162,42,29.51584219932556,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,10,2,0.0013801199485797611,0.0010128990048319665,40,29.455241203308105,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,20,1,0.0017537188704052833,0.0014781040818869931,39,29.54016089439392,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,20,1,0.0018363744937861621,0.001487540644046566,39,29.406062841415405,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,20,1,0.0019336924365336635,0.0014215755052926658,40,29.567519426345825,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,20,1,0.0018339404146429502,0.0014949618870209638,40,29.411092042922974,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,20,1,0.001998377117691881,0.001537085392410686,41,33.53804564476013,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,20,1,0.001744538463457612,0.0014708895254717813,42,32.298346519470215,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,20,1,0.0019950852972480835,0.0014049886188720294,41,28.792147397994995,1,104652500
