algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.001,0,2000,0.005993663864709058,0.004570512651733369,41,27.345752239227295,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.001,1,2000,0.004905006531439337,0.004691643813621919,40,31.6815447807312,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.001,2,2000,0.005937988040809211,0.004245915471127609,40,31.14557647705078,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.001,3,2000,0.004987390063408507,0.004736624901735529,41,32.182085037231445,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.001,4,2000,0.005986082774935255,0.004539251537720588,41,32.16030931472778,1,174352500
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.001,0,2000,0.005956513601594401,0.004636000526849239,41,31.822644233703613,1,174352500
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.001,1,2000,0.005957579432280969,0.004582605101011902,40,32.75108289718628,1,170100000
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.001,2,2000,0.004934448856097869,0.004774537837922105,40,31.722364902496338,1,170100000
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.001,3,2000,0.00497990456025187,0.004620184146132361,42,31.554052352905273,1,178605000
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.001,4,2000,0.004954765066791082,0.0043816481406278125,41,32.51850342750549,1,174352500
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.001,0,2000,0.00597563536161765,0.004593024519369166,40,31.92482328414917,1,170100000
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.001,1,2000,0.00597942802369406,0.00461663614525917,40,31.91243863105774,1,170100000
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.001,2,2000,0.004773030194025177,0.004474752027711814,40,31.848912000656128,1,170100000
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.001,3,2000,0.004996013099209682,0.004574097350913539,41,31.963024377822876,1,174352500
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.001,4,2000,0.006008271310539654,0.004499882728872294,41,32.24218821525574,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,0,2000,0.004887887001686491,0.004408192010095682,40,32.05279469490051,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,1,2000,0.004811801327834312,0.004593939715851801,40,32.0355966091156,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,2,2000,0.0049313685891597845,0.004432890664851528,40,32.16902208328247,1,170100000
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,3,2000,0.005991198202018481,0.0045805797553993485,41,32.21652317047119,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.01,4,2000,0.006005675597540356,0.004635558628007683,41,32.017457485198975,1,174352500
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.01,0,2000,0.006219952306838701,0.004556439122818258,40,32.02428460121155,1,170100000
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.01,1,2000,0.005992827947296186,0.00439629036232603,40,32.27228879928589,1,170100000
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.01,2,2000,0.004852196187725589,0.00456320332029519,39,32.15906596183777,1,165847500
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.01,3,2000,0.004928586501507146,0.004421755111681487,41,32.24096465110779,1,174352500
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.01,4,2000,0.005001961937214996,0.0045713466989676585,41,32.164292335510254,1,174352500
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.01,0,2000,0.005021697963112661,0.004642344773133603,40,32.122400760650635,1,170100000
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.01,1,2000,0.00489780837365131,0.004671225991521711,40,32.09711527824402,1,170100000
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.01,2,2000,0.006090281772236685,0.004544874277760462,40,32.289193630218506,1,170100000
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.01,3,2000,0.004929263580174484,0.004323565896742207,41,31.41267991065979,1,174352500
Muon-Exact,50,5,0.01,0.1,normal,hard-cutoff,1.0,0.01,4,2000,0.006252270125703111,0.004709100190816894,41,31.123674392700195,1,174352500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.1,0,2000,0.005017065354741798,0.0046167256047046235,53,31.133498430252075,1,225382500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.1,1,2000,0.00484688523088833,0.004696966557031101,53,31.276471614837646,1,225382500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.1,2,2000,0.004808042310924594,0.004643254832177742,53,31.25697922706604,1,225382500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.1,3,2000,0.00493859802557824,0.004291030925816126,55,31.06994318962097,1,233887500
Muon-Exact,50,5,0.01,0,normal,hard-cutoff,1.0,0.1,4,2000,0.004825349465731992,0.004651094900466519,54,31.390763998031616,1,229635000
Muon-Exact,50,5,0.01,0.01,normal,hard-cutoff,1.0,0.1,0,2000,0.004823126010382815,0.004575743198103854,53,31.48932719230652,1,225382500
