algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.004887887001686491,0.004408192010095682,40,29.47613501548767,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.004811801327834312,0.004593939715851801,40,30.663366317749023,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0049313685891597845,0.004432890664851528,40,30.370068550109863,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.005991198202018481,0.0045805797553993485,41,30.17480206489563,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.006005675597540356,0.004635558628007683,41,30.08038830757141,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.0058737529209794605,0.004514772323932758,42,33.49537682533264,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0049958590859879,0.004686441277156847,42,37.64086198806763,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.004937909109008528,0.004480602408636794,41,37.378018379211426,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,0.004930318004733876,0.004462561031751471,41,37.159207582473755,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,0.0048619140309998764,0.004695623246968283,41,37.40192675590515,1,174352500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,3.371170946000061e-32,2.811823112251676e-32,46,35.54980945587158,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,3.5266581917211803e-32,2.638870691200503e-32,46,33.78210520744324,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,2.9978989403145253e-32,2.47092598893129e-32,47,28.20306086540222,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,4.22857930906046e-32,3.201931055843248e-32,47,27.516220092773438,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,2.988909662299098e-32,2.6354617951989376e-32,48,28.055811882019043,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,3.5922156433219063e-32,2.7510224066870326e-32,49,28.180299758911133,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,4.0360606434805277e-32,2.964088036434592e-32,48,27.80878210067749,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,2.9121408910096076e-32,2.530989725365652e-32,47,27.644766807556152,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,4.363377327585638e-32,2.9739885952865965e-32,49,27.78998303413391,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,3.8426683881148837e-32,2.647455523927609e-32,47,27.972753047943115,1,117617500
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.00036159573000708363,2.1697790139432823e-29,42,27.990424394607544,1,105105000
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.000501338763188828,7.40179679573346e-30,41,28.274494647979736,1,102602500
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.00128045128834568,9.456942825475998e-27,42,28.446706295013428,1,105105000
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.0010530507267740923,5.200070234366695e-25,42,28.47087001800537,1,105105000
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.00030676472786692586,4.955636699173073e-28,42,28.582138061523438,1,105105000
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.0006615894590646554,5.0746723622299344e-27,41,28.521072387695312,1,102602500
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0010937494923291351,4.567859111728244e-26,44,28.221458196640015,1,110110000
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.0011208159529988808,3.7739533023200916e-25,42,28.25246286392212,1,105105000
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,0.00025449657090157916,3.5391452015351203e-25,44,28.161640644073486,1,110110000
Adam,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,0.00026098799000196004,1.5697002778475765e-19,43,28.814543962478638,1,107607500
RMSprop,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.26627959921267075,0.1402221232804797,2001,29.06548261642456,0,5007502500
RMSprop,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.2254681142660249,0.15305496767062374,2001,29.47685670852661,0,5007502500
RMSprop,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.3318612019620981,0.1488013009365055,2001,29.0077166557312,0,5007502500
