seed,direction,head_classes,tail_classes,warmup_steps,hidden_dim,momentum_beta,momentum_history_steps,newton_schulz_steps,head_gradient_fro_norm,momentum_fro_norm,gradient_momentum_cosine,direction_cosine_to_polar_grad,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,update_fro_norm,update_op_norm,step_size,alignment
0,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3013913750301651,0.21297902783029085,0.9111453328692414,0.3641157635339725,0.08719843609093829,0.08548814202469239,0.0017102940662458987,0.0017439687218187658,12.431107949501623,12.43868054223786,0.007572592736236672,0.19,0.19,0.0,-11.462027261065277,-11.47693551283603,0.014908251770753722,0.8181453361695893,0.018294285871496185,0.005786392267012346,0.004832153805145979,0.005786392267012346,0.3013913750301652
0,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3013913750301651,0.21297902783029085,0.9111453328692414,1.0,0.08719843609093829,0.08547867329867884,0.0017197627922594522,0.0017439687218187658,12.431107949501623,12.437055070112073,0.00594712061045044,0.19,0.19,0.0,-11.462027261065277,-11.473279097682088,0.011251836616811062,0.5411414286638543,0.012100290199337312,0.015891628010970396,0.002452131438444149,0.002452131438444147,0.7112052374016691
0,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3013913750301651,0.21297902783029085,0.9111453328692414,0.4126269185026744,0.08719843609093829,0.08548154111907415,0.0017168949718641413,0.0017439687218187658,12.431107949501623,12.438509059362184,0.007401109860561306,0.19,0.19,0.0,-11.462027261065277,-11.475381157636143,0.013353896570865942,0.5791303927636938,0.012949749260557713,0.01743239019934058,0.0026898762056045927,0.0026898762056045905,0.6483453469661747
0,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3013913750301651,0.21297902783029085,0.9111453328692414,0.472069309799655,0.08719843609093829,0.08548254508789392,0.0017158910030443675,0.0017439687218187658,12.431107949501623,12.438855983610926,0.007748034109303248,0.19,0.19,0.0,-11.462027261065277,-11.476166661913053,0.014139400847776429,0.6204953990871127,0.013874698920846454,0.008695301124006101,0.0029314112367529333,0.002931411236752933,0.5949246219546207
1,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3958281437150824,0.17691035833746668,0.8621444738124778,0.38629200335922353,0.16273485107924687,0.15954270123365458,0.003192149845592296,0.0032546970215849374,10.53344960455768,10.530299172325416,-0.0031504322322639666,0.2,0.2,0.0,-9.405020229033603,-9.406148908637357,0.001128679603754179,0.8816589038143706,0.019714492418968804,0.008222500277614602,0.006417381684307498,0.0082225002776146,0.39582814371508246
1,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3958281437150824,0.17691035833746668,0.8621444738124778,1.0000000000000002,0.16273485107924687,0.15952482251926134,0.003210028559985534,0.0032546970215849374,10.53344960455768,10.533306675761674,-0.00014292879600574793,0.2,0.2,0.0,-9.405020229033603,-9.407933282794895,0.002913053761291806,0.6037472763091815,0.013500199510576781,0.021285711860745595,0.0032844566464408803,0.0032844566464408777,0.9909392547810949
1,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3958281437150824,0.17691035833746668,0.8621444738124778,0.4080264772341099,0.16273485107924687,0.1595451260766731,0.003189725002573779,0.0032546970215849374,10.53344960455768,10.539586790765739,0.006137186208059475,0.2,0.2,0.0,-9.405020229033603,-9.418668383830404,0.013648154796801037,0.7567473919956013,0.01692138610297845,0.026248186817119875,0.004050183156312419,0.004050183156312416,0.8035925527250112
1,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3958281437150824,0.17691035833746668,0.8621444738124778,0.40938050480619026,0.16273485107924687,0.1595443701344733,0.0031904809447735605,0.0032546970215849374,10.53344960455768,10.537821088192578,0.004371483634898254,0.2,0.2,0.0,-9.405020229033603,-9.417158539168152,0.012138310134549357,0.7680747716684554,0.01717467401253296,0.013830491098691711,0.004202634715233294,0.004202634715233293,0.7744420446030285
2,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4500191660927865,0.2759755000060825,0.6722340928587109,0.29659554505290775,0.07124342048000178,0.0698486842173335,0.0013947362626682697,0.0014248684096000355,11.725707451088237,11.721798701653425,-0.003908749434812009,0.2,0.2,0.0,-10.66165616108613,-10.65755923469859,-0.004096926387539668,0.405921966651342,0.009076691109928033,0.003166239389249148,0.002735613754664311,0.003166239389249148,0.4500191660927866
2,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4500191660927865,0.2759755000060825,0.6722340928587109,1.0000000000000002,0.07124342048000178,0.06983986496405102,0.0014035555159507551,0.0014248684096000355,11.725707451088237,11.722674729544156,-0.00303272154408063,0.2,0.2,0.0,-10.66165616108613,-10.659874212853854,-0.001781948232276065,0.348429658605026,0.007791124020178828,0.010675276288065432,0.0016472308930193828,0.0016472308930193817,0.8650083091801691
